party,constituency,name,margin,state,votes,color
Bharatiya Janata Party,Lauriya,Vinay Bihari,17573,Bihar,57351,#FB7B0D
Rashtriya Janata Dal,Madhepura,Chandra Shekhar,37642,Bihar,90974,#21610B
Bharatiya Janata Party,Madhuban,Rana Randhir,16222,Bihar,61054,#FB7B0D
Rashtriya Janata Dal,Madhubani,Samir Kumar Mahaseth,7307,Bihar,76823,#21610B
Janata Dal (United),Maharajganj,Hem Narayan Sah,20292,Bihar,68459,#594671
Rashtriya Janata Dal,Mahishi,Dr. Abdul Ghafoor,26135,Bihar,56436,#21610B
Janata Dal (United),Mahnar,Umesh Singh Kushwaha,26455,Bihar,69825,#594671
Rashtriya Janata Dal,Mahua,Tej Pratap Yadav,28155,Bihar,66927,#21610B
Rashtriya Janata Dal,Makhadumapur (SC),Subedar Das,26777,Bihar,66631,#21610B
Rashtriya Janata Dal,Maner,Bhai Virendra,22828,Bihar,89773,#21610B
Indian National Congress,Manihari (ST),Manohar Prasad Singh,13680,Bihar,61704,#019733
Indian National Congress,Manjhi,Vijay Shanker Dubey,8866,Bihar,29558,#019733
Rashtriya Janata Dal,Marhaura,Jeetendra Kumar Rai,16718,Bihar,66714,#21610B
Rashtriya Janata Dal,Masaurhi (SC),Rekha Devi (Vill- Pabheda),39186,Bihar,89657,#21610B
Janata Dal (United),Matihani,Narendra Kumar Singh Alias Bogo Singh,22688,Bihar,89297,#594671
Rashtriya Janata Dal,Minapur,Rajeev Kumar Urf Munna Yadav,23940,Bihar,80790,#21610B
Bharatiya Janata Party,Mohania (SC),Niranjan Ram,7581,Bihar,60911,#FB7B0D
Rashtriya Janata Dal,Mohiuddinnagar,Ejya Yadav,23431,Bihar,47137,#21610B
Independent,Mokama,Anant Kumar Singh,18348,Bihar,54005,#95b3d7
Janata Dal (United),Morwa,Vidya Sagar Singh Nishad,18816,Bihar,59206,#594671
Bharatiya Janata Party,Motihari,Pramod Kumar,18517,Bihar,79947,#FB7B0D
Rashtriya Janata Dal,Munger,Vijay Kumar 'Vijay',4365,Bihar,77216,#21610B
Bharatiya Janata Party,Muzaffarpur,Suresh Kumar Sharma,29739,Bihar,95594,#FB7B0D
Janata Dal (United),Nabinagar,Virendra Kumar Singh,5261,Bihar,42035,#594671
Janata Dal (United),Nalanda,Shrawon Kumar,2996,Bihar,72596,#594671
Rashtriya Janata Dal,Narkatia,Shamim Ahmad,19982,Bihar,75118,#21610B
Indian National Congress,Narkatiaganj,Vinay Varma,16061,Bihar,57212,#019733
Rashtriya Janata Dal,Narpatganj,Anil Kumar Yadav,25951,Bihar,90250,#21610B
Janata Dal (United),Nathnagar,Ajay Kumar Mandal,7825,Bihar,66485,#594671
Bharatiya Janata Party,Nautan,Narayan Prasad,14335,Bihar,66697,#FB7B0D
Rashtriya Janata Dal,Nawada,Rajballabh Prasad,16726,Bihar,88235,#21610B
Janata Dal (United),Nirmali,Anirudh Prasad Yadav,23951,Bihar,79600,#594671
Rashtriya Janata Dal,Nokha,Anita Devi,22998,Bihar,72780,#21610B
Rashtriya Janata Dal,Obra,Birendra Kumar Sinha,11396,Bihar,56042,#21610B
Rashtriya Janata Dal,Paliganj,Jay Vardhan Yadav Alias Bachcha Yadav,24453,Bihar,65932,#21610B
Janata Dal (United),Parbatta,Ramanad Prasad Singh,28924,Bihar,76248,#594671
Bharatiya Janata Party,Parihar,Gaytri Devi,4017,Bihar,66388,#FB7B0D
Bharatiya Janata Party,Paroo,Ashok Kumar Singh,13539,Bihar,80445,#FB7B0D
Rashtriya Janata Dal,Parsa,Chandrika Rai,42335,Bihar,77211,#21610B
Rashtriya Janata Dal,Patepur (SC),Prema Chaudhary,12461,Bihar,67548,#21610B
Bharatiya Janata Party,Patna Sahib,Nand Kishore Yadav,2792,Bihar,88108,#FB7B0D
Janata Dal (United),Phulparas,Guljar Devi,13415,Bihar,64368,#594671
Janata Dal (United),Phulwari (SC),Shyam Rajak,45713,Bihar,94094,#594671
Bharatiya Janata Party,Pipra,Shyambabu Prasad Yadav,3930,Bihar,65552,#FB7B0D
Rashtriya Janata Dal,Pipra,Yadubansh Kumar Yadav,36369,Bihar,85944,#21610B
Rashtriya Janata Dal,Pirpainti (SC),Ram Vilash Paswan,5144,Bihar,80058,#21610B
Bharatiya Janata Party,Pranpur,Binod Kumar Singh,8101,Bihar,47924,#FB7B0D
Bharatiya Janata Party,Purnia,Vijay Kumar Khemka,32815,Bihar,92020,#FB7B0D
Janata Dal (United),Rafiganj,Ashok Kumar Singh,9525,Bihar,62897,#594671
Rashtriya Janata Dal,Raghopur,Tejashwi Prasad Yadav,22733,Bihar,91236,#21610B
Rashtriya Janata Dal,Raghunathpur,Harishankar Yadav,10622,Bihar,61042,#21610B
Rashtriya Janata Dal,Raja Pakar (SC),Shivchandra Ram,15155,Bihar,61251,#21610B
Rashtriya Janata Dal,Rajauli (SC),Prakash Veer,4615,Bihar,70549,#21610B
Janata Dal (United),Rajgir (SC),Ravi Jyoti Kumar,5390,Bihar,62009,#594671
Bharatiya Janata Party,Rajnagar (SC),Ram Prit Paswan,6242,Bihar,71614,#FB7B0D
Janata Dal (United),Rajpur (SC),Santosh Kumar Nirala,32788,Bihar,84184,#594671
Bharatiya Janata Party,Ramgarh,Ashok Kumar Singh,8011,Bihar,57501,#FB7B0D
Bharatiya Janata Party,Ramnagar (SC),Bhagirathi Devi,17988,Bihar,82166,#FB7B0D
Janata Dal (United),Raniganj (SC),Achmit Rishidev,14930,Bihar,77717,#594671
Bharatiya Janata Party,Raxaul,Ajay Kumar Singh,3169,Bihar,64731,#FB7B0D
Indian National Congress,Riga,Amit Kumar,22856,Bihar,79217,#019733
Indian National Congress,Rosera (SC),Dr. Ashok Kumar,34361,Bihar,85506,#019733
Rashtriya Janata Dal,Runnisaidpur,Mangita Devi,14110,Bihar,55699,#21610B
Janata Dal (United),Rupauli,Bima Bharti,9672,Bihar,50945,#594671
Rashtriya Janata Dal,Saharsa,Arun Kumar,39206,Bihar,102850,#21610B
Rashtriya Janata Dal,Sahebganj,Ramvichar Rai,10660,Bihar,70583,#21610B
Rashtriya Janata Dal,Sahebpur Kamal,Shreenarayan Yadav,45474,Bihar,78225,#21610B
Rashtriya Janata Dal,Sakra (SC),Lal Babu Ram,13012,Bihar,75010,#21610B
Rashtriya Janata Dal,Samastipur,Akhtarul Islam Shaheen,31080,Bihar,82508,#21610B
Rashtriya Janata Dal,Sandesh,Arun Kumar,25427,Bihar,74306,#21610B
Janata Dal (United),Sarairanjan,Vijay Kumar Choudhary,34044,Bihar,81055,#594671
Rashtriya Janata Dal,Sasaram,Ashok Kumar,19612,Bihar,82766,#21610B
Rashtriya Janata Dal,Shahpur,Rahul Tiwary,14570,Bihar,69315,#21610B
Janata Dal (United),Sheikhpura,Randhir Kumar Soni,13101,Bihar,41755,#594671
Janata Dal (United),Sheohar,Sharfuddin,461,Bihar,44576,#594671
Janata Dal (United),Sherghati,Vinod Prasad Yadav,4834,Bihar,44579,#594671
Indian National Congress,Sikandra (SC),Sudhir Kumar Alias Banty Choudhary,7990,Bihar,59092,#019733
Janata Dal (United),Sikta,Khurshid Urf Firoj Ahmad,2835,Bihar,69870,#594671
Bharatiya Janata Party,Sikti,Vijay Kumar Mandal,8106,Bihar,76995,#FB7B0D
Janata Dal (United),Simri Bakhtiarpur,Dinesh Chandra Yadav,37806,Bihar,78514,#594671
Janata Dal (United),Singheshwar (SC),Ramesh Rishidev,50200,Bihar,83073,#594671
Rashtriya Janata Dal,Sitamarhi,Sunil Kumar,14722,Bihar,81557,#21610B
Bharatiya Janata Party,Siwan,Vyas Deo Prasad,3534,Bihar,55156,#FB7B0D
Janata Dal (United),Sonbarsha (SC),Ratnesh Sada,53763,Bihar,88789,#594671
Rashtriya Janata Dal,Sonepur,Dr. Ramanuj Prasad,36396,Bihar,86082,#21610B
Bharatiya Janata Party,Sugauli,Ramchandra Sahni,7756,Bihar,62384,#FB7B0D
Janata Dal (United),Sultanganj,Subodh Roy,14033,Bihar,63345,#594671
Janata Dal (United),Supaul,Bijendra Prasad Yadav,37397,Bihar,82295,#594671
Rashtriya Janata Dal,Sursand,Syed Abu Dojana,23234,Bihar,52857,#21610B
Rashtriya Janata Dal,Suryagarha,Prahlad Yadav,30030,Bihar,82490,#21610B
Rashtriya Janata Dal,Taraiya,Mudrika Prasad Roy,20440,Bihar,69012,#21610B
Janata Dal (United),Tarapur,M L Choudhary,11947,Bihar,66411,#594671
Communist Party of India (Marxist-Leninist) (Liberation),Tarari,Sudama Prasad,272,Bihar,44050,#DE0000
Rashtriya Janata Dal,Teghra,Birendra Kumar,15611,Bihar,68975,#21610B
Janata Dal (United),Thakurganj,Naushad Alam (Tatpauwa),8087,Bihar,74239,#594671
Janata Dal (United),Tikari,Abhay Kumar Sinha,31813,Bihar,86975,#594671
Janata Dal (United),Triveniganj (SC),Veena Bharti,52400,Bihar,89869,#594671
Rashtriya Janata Dal,Ujiarpur,Alok Kumar Mehta,47460,Bihar,85466,#21610B
Janata Dal (United),Vaishali,Raj Kishore Singh,31061,Bihar,79286,#594671
Independent,Valmiki Nagar,Dhirendra Pratap Singh Alias Rinku Singh,33580,Bihar,66860,#95b3d7
Janata Dal (United),Warisnagar,Ashok Kumar,58573,Bihar,92687,#594671
Bharatiya Janata Party,Warsaliganj,Aruna Devi,19527,Bihar,85912,#FB7B0D
Indian National Congress,Wazirganj,Awadhesh Kumar Singh,12759,Bihar,80107,#019733
Janata Dal (United),Ziradei,Ramesh Singh Kushwaha,6091,Bihar,40760,#594671
