title,thumbnail,url,author,visualizationType,description
Scatter-Plot,images/Scatter-plot.png,Scatter_plot,self,scatter plot,A scatter plot is a type of mathematical diagram using Cartesiancoordinates to display values for two variables .
Force-Layout,images/force.png,Force-Layout,self,force layout ,A flexible force-directed graph layout implementation usingposition Verlet integration to allow simple constraints
Histogram,images/histogram.png,Irregular-Histogram,self,bar chart,histogram of an Irwin–Hall distribution.The values are then binned at regular intervals using D3’s histogram layout. 
Difference-Chart,images/difference-chart.png,Difference-Analysis,self,sparkline,This variation of a bivariate area chart uses clipping to alternate colors.the difference between the two is filled in green and red. 
Negative_Bar-Chart,images/negative-bar.png,Negative-Bar,self,bar chart,dataset is an array of numbers with both positiveand negative values. Use two scales to construct the bar chart
build-graph,images/build-graph.png,Build-Graph,self,force layout ,"The nodes you can create by clicking on the free place , andcreate the link by placing 2 or more nodes on the circle ring "
Bivariate_Area-Chart,images/area-series.png,Bivariate-Area,self,area chart,This two-value area chart storing the daily high and lowtemperature in San Francisco 
Chord-Diagram,images/chord-diagram.png,Chord-Diagram,self,flow chart,"directed relationships among a group of entities,simple interactivity by using mouseover filtering. "
Mareys-Trains,images/marey-trains.png,Mareys-Trains,self,train flow," graphical train schedule. Stations are separated vertically in proportion to geography;,the slope of the line reflects the speed of the train"
Multiline-Chart,images/multi-line-chart.png,Multi-Line-Analysis,self,sparkline,"This line chart is constructed storing the daily averagetemperatures of Chennai, Delhi and Mumbai "
Zoomable-icicle,images/zoomable_icicle.png,Zoomable-icicle,self,icicle, This “icicle” diagram uses d3.layout.partition to divide space witharea proportional to the value of nodes in a tree. 
Marimekko_Bar-Chart,images/marimekko.png,Marimekko-Chart,self,bar chart,"A Marimekko Chart, inspired by Freakalytics. Thanks to Noah Iliinsky for the suggestion. "
Zoomable-Treemap,images/zoomable_treemap.png,Zoomable-treemap,self,tree map,"Chicago Data Portal, with the datasets grouped by categoriesand dimensions drawn based on the size of the individual datasets."
Un-Employment,images/un-employment.png,Un-Employment,self,sparkline,The distribution of unemployment for 380 U.S. metropolitan areas fromJanuary 2000 to December 2012. weighted each area equally
Cliped-Sparkline,images/cliped_sparkline.png,Cliped-Sparkline,self,sparkline,This variation of a threshold encoding demonstrates how to use clipping tochange the color of a line based on a y-threshold.
ZipDecode_Analysis,images/zipdecode.png,Zipdecode,self,cartogram,"Ben Fry’s zipdecode, inspired by Nelson Minar’s reimplementation.uses cross-fading canvas elements to render transitions efficiently."
Normalized-Stacked_Bar,images/normalized-stacked_bar.png,Normalized-Stacked_Bar,self,bar chart,This variation of a stacked bar chart shows percentages rather than absolute numbers.
Cluster-Plot,images/correlation.png,Correlation,self,cluster plot ,A cluster plot in general is a group or bunch of several discrete items that are close to each other
Circular-Heatmap,images/circular-heatmap.png,Circular-Heatmap,self,heat map,"A circular heat chart displays quantitative data as an array of circular segments, coloured according to value."
Coffee-wheel,images/coffee-wheel.png,Coffee-wheel,self,sun burst,The original coffee flavour wheel was created by the Specialty Coffee Association of America in poster form but it appears in various places on the Web.
Calender-map,images/calender-map.png,Calender-map,self,Calender map,"The values are visualized as colored cells per day. Days are arranged into columns by week, then grouped by month and years."
Sun-Burst,images/sun-burst.png,Sun-Burst,self,sun burst,"The SunBurst technique is an alternative, space-filling visualization that uses a radial rather than a rectangular layout, in a hierarchy are laid out radially"
