party,year,votes,color
BJKP,1996,633,#999
BJKVP,2009,11097,#999
BJMD,1989,2368,#999
BJP,1984,18202853,#FB7B0D
BJP,1985,263284,#FB7B0D
BJP,1989,34171477,#FB7B0D
BJP,1991,55345075,#FB7B0D
BJP,1992,497999,#FB7B0D
BJP,1996,67950851,#FB7B0D
BJP,1998,94266188,#FB7B0D
BJP,1999,86562209,#FB7B0D
BJP,2004,86371561,#FB7B0D
BJP,2009,78435381,#FB7B0D
BJS,1951,3246361,#999
BJS,1957,7193267,#999
BJS,1967,13580935,#999
BJS,1971,10777119,#999
BJS,1989,22446,#999
BJS,1991,19243,#999
BJS,1996,7338,#999
BJS,1998,1425,#999
BJSH,2009,1296,#999
BJTP,1996,1867,#999
BJTP,1998,9367,#999
BJTP,2009,6872,#999
BJVP,2004,543,#999
BKD,1971,3189821,#999
BKD,1996,6968,#999
BKD,1998,2466,#999
BKD,1999,1218,#999
BKD,2004,52669,#999
BKD(J),1996,11735,#999
BKD(J),1998,4525,#999
BKD(J),1999,3090,#999
BKKGP,1998,711080,#999
BKKP,1998,4852,#999
BKLJP,2004,2055,#999
BKLJP,2009,790,#999
BKRP,2004,12547,#999
BKS,1989,367,#999
BKS,1996,1439,#999
BKUS,1989,5895,#999
BKUS,1991,42504,#999
BKUS,1992,1349,#999
BKUS,1996,17744,#999
BLD,1977,78062828,#999
BLKD,1989,145,#999
BLKD,1999,2896,#999
BLKD,2004,2242,#999
BLKD,2009,5197,#999
BLLP,1998,9959,#999
BLMD,1991,10837,#999
BLP,1996,3550,#999
BLP,2004,1758,#999
BLPGL,2009,3359,#999
BLPY,1996,4018,#999
BLTMD,1996,5075,#999
BLTP,1996,857,#999
BMC,1989,1357,#999
BMC,1999,384,#999
BMF,1998,1045,#999
BMF,1999,737,#999
BMF,2009,13737,#999
BMM,2009,1211,#999
BMP(AI),1999,338,#999
BMP(AI),2004,566,#999
BMRD,1996,2796,#999
BMSM,1996,10657,#999
BMSM,1998,3030,#999
BMSM,1999,2151,#999
BMSM,2004,8200,#999
BMSM,2009,9871,#999
BMVP,2004,24176,#999
BND,1999,3895,#999
BNJD,2009,7194,#999
BNJP,1996,2024,#999
BNJS,1999,806,#999
BNP,2004,171080,#999
BNRP,2004,1580,#999
BNRP,2009,1464,#999
BOP,1996,2088,#999
BOP,1999,3120,#999
BOP,2009,47720,#999
BOPF,2009,656430,#999
BPC,2009,2798,#999
BPD,2009,14974,#999
BPF,1996,231,#999
BPI,1951,25792,#999
BPI,1996,4345,#999
BPJP,2009,9457,#999
BPM,1996,231,#999
BPM,1998,1111,#999
BPM,1999,508,#999
BPSGKD,2004,1689,#999
BPSP,1999,607810,#999
BPSP,2004,86418,#999
BPTP,2004,573,#999
BRC,1996,1967,#999
BRC,1998,6122,#999
BRD,1996,53,#999
BREM,2009,42386,#999
BRM,1996,3181,#999
BRM,2009,867,#999
BRP,1971,4982,#999
BRP,1989,572434,#999
BRP,1991,327941,#999
BRP,1996,3724,#999
BRP,2004,11459,#999
BRP,2009,1407,#999
BRPP,1999,40636,#999
BRPP,2004,16546,#999
BRPP,2009,25940,#999
BRVP,1998,11881,#999
BSA,2009,18844,#999
BSC,2009,4758,#999
BSD,1999,7607,#999
BSD,2009,5565,#999
BSDP,2004,427,#999
BSJM,2004,515,#999
BSK,1996,89,#999
BSK,2004,365,#999
BSK,2009,496,#999
BSKP,2009,15734,#999
BSKPB,2009,2822,#999
BSKRP,2009,5068,#999
BSNP,1991,120,#999
BSP,1980,39399,#77968E
BSP,1989,6213390,#77968E
BSP,1991,4420719,#77968E
BSP,1992,594628,#77968E
BSP,1996,13453235,#77968E
BSP,1998,17186779,#77968E
BSP,1999,15175845,#77968E
BSP,2004,20765229,#77968E
BSP,2009,25728920,#77968E
BSP(A),1996,52585,#999
BSP(A),1998,43402,#999
BSP(A),1999,39494,#999
BSP(AP),2009,10698,#999
BSP(K),2009,33010,#999
BSP(R),1996,3114,#999
BSRD,2009,6250,#999
BSSM,1996,535,#999
BSSP,2009,15948,#999
BSSPA,2009,11151,#999
BSVP,1996,805,#999
BUDM,2009,4210,#999
BUM,2009,15272,#999
BVA,2009,223234,#999
BVM,2009,5645,#999
BVP,1998,1833,#999
BVP,2004,4533,#999
BVP,2009,1435,#999
BVVP,2009,1774,#999
Bahujan Kranti Party (Marxwad-Ambedkarwad),2014,1174,#999
Bahujan Mukti Party,2014,785358,#999
Bahujan Samaj Party,2014,22946182,#77968E
Bahujan Samaj Party  (Ambedkar),2014,11104,#999
Bahujan Sangharsh Party (Kanshiram),2014,5416,#999
Bahujan Sangharshh Dal,2014,59813,#999
Bahujan Suraksha Dal,2014,1723,#999
Bahujan Vikas Aaghadi,2014,293681,#999
Bajjikanchal Vikas Party,2014,21524,#999
Bharat Bhrashtachar Mitao Party,2014,10160,#999
Bharat Ki Lok Jimmedar Party,2014,3392,#999
Bharat Nav Nirman Party,2014,2533,#999
Bharat Nirman Party,2014,2000,#999
Bharat Vikas Morcha,2014,45667,#999
Bharat Vishal Party,2014,161,#999
Bharatiya Bahujan Congress,2014,7197,#999
Bharatiya Bahujan Party,2014,4653,#999
Bharatiya Dr. B.R.Ambedkar Janta Party,2014,9481,#999
Bharatiya Ekta Dal,2014,90315,#999
Bharatiya Gaon Taj Dal,2014,5761,#999
Bharatiya Inqalab Party,2014,5362,#999
Bharatiya Jan Kranti Dal (Democratic),2014,14685,#999
Bharatiya Janata Party,2014,171657549,#FB7B0D
Bharatiya Jawala Shakti Paksha,2014,1337,#999
Bharatiya Kisan Parivartan Party,2014,7342,#999
Bharatiya Kisan Sena Loktantrik,2014,3826,#999
Bharatiya Minorities Suraksha Mahasangh,2014,3441,#999
Bharatiya Momin Front,2014,16182,#999
Bharatiya Mool Niwasi Samaj Party,2014,877,#999
Bharatiya National Janta Dal,2014,20209,#999
Bharatiya Nav Kranti Party,2014,502,#999
Bharatiya Navyuvak Party,2014,1408,#999
Bharatiya Peoples Party,2014,4291,#999
Bharatiya Rashtriya Bahujan Samaj Vikas Party,2014,3238,#999
Bharatiya Rashtriya Mazdoor Dal,2014,1607,#999
Bharatiya Republican Paksha,2014,8226,#999
Bharatiya Samaj Dal,2014,1096,#999
Bharatiya Sant Mat Party,2014,15940,#999
Bharatiya Sarvodaya Kranti Party,2014,2409,#999
Bharatiya Yuva Shakti,2014,38633,#999
Bharipa Bahujan Mahasangh,2014,360854,#999
Bharti Jan Suraksha Party,2014,3336,#999
Bhartiya  Sarvjan Party,2014,5845,#999
Bhartiya Chaitanya Party,2014,802,#999
Bhartiya Ekta Manch Party,2014,8729,#999
Bhartiya Jan Manch,2014,325,#999
Bhartiya Jan Yug Party,2014,2000,#999
Bhartiya Janta Dal (Integrated),2014,1118,#999
Bhartiya Jantantrik Janata Dal,2014,4664,#999
Bhartiya Krishak Dal,2014,4250,#999
Bhartiya Naujawan Inklav Party,2014,1440,#999
Bhartiya Navjawan Sena (Paksha),2014,1862,#999
Bhartiya Party,2014,1635,#999
Bhartiya Pragatisheel Congress,2014,2571,#999
Bhartiya Republican Party (Insan),2014,2138,#999
Bhartiya Samajik Kranti Dal,2014,1423,#999
Bhartiya Satya Sangharsh Party,2014,4956,#999
Bhartiya Shakti Chetna Party,2014,79359,#999
Bhartiya Shramik Dal Socialist,2014,924,#999
Bhartiya Vanchitsamaj Party,2014,4144,#999
Bhartiya Vikas Party,2014,1152,#999
Bhrashtachar Mukti Morcha,2014,1413,#999
Bihar Janta Party,2014,6765,#999
Biju Janata Dal,2014,9491497,#000000
Bodoland Peoples Front,2014,330106,#999
Braj Vikas Party,2014,4411,#999
Brihattar Bharat Prajatantra Sewa Party,2014,1679,#999
Bundelkhand Congress,2014,5371,#999
CDF,2009,1300,#999
CGVP,2009,18394,#999
CKN,1991,383,#999
CMK,1999,385,#999
CMM,1996,60361,#999
CMM,1998,20928,#999
CMM,1999,15526,#999
CNSPJP,1951,236094,#999
CNSPJP,1957,501359,#999
COP,1996,1850,#999
CP,1951,8947,#999
CPI,1951,3487401,#DE0000
CPI,1957,10754075,#DE0000
CPI,1962,11450037,#DE0000
CPI,1967,7458396,#DE0000
CPI,1971,6933627,#DE0000
CPI,1977,5322088,#DE0000
CPI,1980,4927342,#DE0000
CPI,1984,6363430,#DE0000
CPI,1985,369687,#DE0000
CPI,1989,7734697,#DE0000
CPI,1991,6851114,#DE0000
CPI,1992,47226,#DE0000
CPI,1996,6582263,#DE0000
CPI,1998,6429569,#DE0000
CPI,1999,5395119,#DE0000
CPI,2004,5484111,#DE0000
CPI,2009,5951888,#DE0000
CPI(ML),1989,38937,#999
CPI(ML),1991,27730,#999
CPI(ML)(L),1996,808065,#999
CPI(ML)(L),1998,912698,#999
CPI(ML)(L),1999,1220698,#999
CPI(ML)(L),2004,1281688,#999
CPI(ML)(L),2009,1044510,#999
CPM,1967,6246522,#DE0000
CPM,1971,7510089,#DE0000
CPM,1977,8113659,#DE0000
CPM,1980,12352331,#DE0000
CPM,1984,13809950,#DE0000
CPM,1985,462576,#DE0000
CPM,1989,19691309,#DE0000
CPM,1991,16954797,#DE0000
CPM,1992,119902,#DE0000
CPM,1996,20496810,#DE0000
CPM,1998,18991867,#DE0000
CPM,1999,19695767,#DE0000
CPM,2004,22070614,#DE0000
CPM,2009,22219111,#DE0000
CSP,1999,13097,#999
CSP,2004,24696,#999
CSP,2009,11972,#999
CVP,1999,56561,#999
CWL,1951,325398,#999
Chhattisgarh Swabhiman Manch,2014,41911,#999
Chhattisgarhiya Party,2014,4265,#999
Communist Party of India,2014,4327298,#DE0000
Communist Party of India  (Marxist),2014,17986773,#DE0000
Communist Party of India  (Marxist-Leninist)  (Liberation),2014,1007274,#999
Communist Party of India (Marxist-Leninist) Red Star,2014,114323,#999
DBM,1991,1792,#999
DBP,1991,1521,#999
DBP,1996,1148,#999
DBP,1999,173,#999
DBP,2004,912,#999
DBP,2009,531,#999
DBSM,1999,236962,#999
DBSP,2004,6717,#999
DBSP,2009,7817,#999
DCL,1951,11789,#999
DCP,2009,2497,#999
DDP,1984,508426,#999
DDP,1989,1338566,#999
DDP,1991,466869,#999
DESEP,2009,30532,#999
DGPP,2009,5660,#999
DKP,1989,3059,#999
DKP,1991,4508,#999
DLP,1989,2944,#999
DMDK,2009,3126117,#999
DMK,1962,2315610,#800000
DMK,1967,5529405,#800000
DMK,1971,5622758,#800000
DMK,1977,3323320,#800000
DMK,1980,4236537,#800000
DMK,1984,5695179,#800000
DMK,1989,7196099,#800000
DMK,1991,5741910,#800000
DMK,1996,7151381,#800000
DMK,1998,5308388,#800000
DMK,1999,6298832,#800000
DMK,2004,7064393,#800000
DMK,2009,7625397,#800000
DMM,1989,120159,#999
DMM,1991,5888,#999
DNC,1967,30788,#999
DNC,1989,1332,#999
DND,1991,5436,#999
DP,1989,43667,#999
DPI,1991,359,#999
DPI,2009,494,#999
DPK,2009,2154,#999
DPP,1991,11967,#999
DTMK,1999,3748,#999
Dalit Vikas Party(Bharat),2014,950,#999
Dalita Bahujana Party,2014,7746,#999
Democratic Bharatiya Samaj Party,2014,5240,#999
Democratic Congress Party,2014,833,#999
Democratic Prajakranthi Party Secularist,2014,1342,#999
Democratic Secular Party,2014,1262,#999
Deshbhakt Nirman Party,2014,5485,#999
Desiya Forward Bloc,2014,17474,#999
Desiya Murpokku Dravida Kazhagam,2014,2079392,#999
Dharam Nirpeksh Dal,2014,4130,#999
Dharmarajya Paksha,2014,2175,#999
Dr. Ambedkar Samajvadi Democratic Party,2014,1949,#999
Dravida Munnetra Kazhagam,2014,9636430,#800000
EIT,1962,12574,#999
EKD(UP),1996,1409,#999
EKD(UP),1998,1246,#999
EKD(UP),2004,1939,#999
EKSP,2009,31983,#999
ES,2004,126924,#999
ESP,1996,1852,#999
EU,1999,1578,#999
EU,2004,6512,#999
Eklavya Samaj Party,2014,5341,#999
Ex-Sainik Kissan Party,2014,2988,#999
Ezhuchi Tamilargal Munnetra Kazhagam,2014,3023,#999
FB,1962,826588,#999
FB(S),1996,172685,#999
FB(S),1998,272974,#999
FBL,1967,627910,#999
FBL,1971,962971,#999
FBL,1977,633644,#999
FBL,1980,1011564,#999
FBL,1984,1055556,#999
FBL,1989,1261310,#999
FBL,1991,1145015,#999
FBL,1996,1279492,#999
FBL,1998,1213965,#999
FBL,1999,1288060,#999
FBL(MG),1951,963058,#999
FBL(RG),1951,133936,#999
FBM,1957,665341,#999
FCI,2004,1037,#999
FCI,2009,684,#999
FOS,1996,142,#999
FPM,1996,120557,#999
FPM,1999,30039,#999
FPM,2004,88179,#999
GAVP,1996,166003,#999
GGP,1996,9985,#999
GGP,1998,196662,#999
GGP,1999,180804,#999
GGP,2004,720189,#999
GGP,2009,220741,#999
GIP,1998,3002,#999
GJJP,1996,266,#999
GJP,1989,1577,#999
GKC,1984,217104,#999
GL,1962,46127,#999
GLP,1991,1983,#999
GMK,1991,1030,#999
GMS,2009,85355,#999
GNC,1998,16280,#999
GNC,1999,4561,#999
GNLF,1989,435070,#999
GNP,1991,3605,#999
GOL(BG),1989,4426,#999
GP,1951,959749,#999
GP,1957,1291141,#999
GP,1962,342970,#999
GPI,1989,2142,#999
GRC,1999,1163,#999
GRIP,2009,18161,#999
GSP,1996,962,#999
GSP,1998,2009,#999
GSP,1999,4725,#999
GSS,1951,7196,#999
GVP,1999,1407,#999
GYVP,1999,2217,#999
Gareeb Aadmi Party,2014,23505,#999
Goa Su-Raj Party,2014,783,#999
Goemcarancho Otrec Astro,2014,530,#999
Gondvana Gantantra Party,2014,301366,#999
Gorkha Rashtriya Congress,2014,2906,#999
Great India Party,2014,2594,#999
HDVP,1999,1641,#999
HDVP,2009,532,#999
HEAP,2004,620,#999
HIP,1998,883,#999
HJCBL,2009,816395,#999
HJD,1989,6663,#999
HJKP,1996,30220,#999
HJP,1989,1361,#999
HJP,1991,15406,#999
HJP,1996,9208,#999
HJP,1998,9476,#999
HJP,2004,17410,#999
HJP,2009,7054,#999
HKMP,1996,131,#999
HKMP,1998,614,#999
HKSP,1991,12820,#999
HLC,1962,91850,#999
HLD(R),1998,1956087,#999
HLS,1962,118667,#999
HM,1998,590,#999
HM,2004,1459,#999
HMS,1951,1003034,#999
HMS,1957,1032322,#999
HMS,1962,747861,#999
HMS,1971,73191,#999
HMS,1977,35419,#999
HMS,1989,217514,#999
HMS,1991,67495,#999
HNP,1996,496,#999
HPDP,1998,62144,#999
HPDP,1999,40301,#999
HPI,1989,122947,#999
HPP,1951,17350,#999
HPP,1996,332,#999
HR,1951,1468,#999
HSD,1971,65925,#999
HSD,1991,193,#999
HSH,1991,325,#999
HSPDP,2009,97613,#999
HSPP,1951,7646,#999
HSS,1989,160,#999
HSS,1991,5325,#999
HVC,1998,85046,#999
HVC,1999,264002,#999
HVP,1991,331794,#999
HVP,1996,1156322,#999
HVP,1998,875803,#999
HVP,1999,188731,#999
HVP,2004,506122,#999
Haryana Janhit Congress (BL),2014,703698,#999
Himachal Swabhiman Party,2014,997,#999
Hindustan Ekta Party,2014,566,#999
Hindustan Janta Party,2014,46761,#999
Hindustan Kranti Dal,2014,2762,#999
Hindustan Krantikari Dal,2014,6703,#999
Hindustan Swaraj Congress Party,2014,888,#999
Hindustan Vikas Dal,2014,7921,#999
Hindusthan Nirman Dal,2014,8889,#999
Hindusthan Praja Paksha,2014,8853,#999
IBSP,1996,1376,#999
IBSP,1998,1162,#999
IBSP,2004,972,#999
IBSP,2009,1780,#999
ICJ,1984,1511515,#999
ICJ(TG),1989,12539,#999
ICS,1984,3577377,#999
ICS,1985,457705,#999
ICS,1996,404261,#999
ICS,1998,36677,#999
ICS(SCS),1989,978377,#999
ICS(SCS),1991,982954,#999
ICSP,2009,1853,#999
IDP,1991,2078,#999
IDP,1996,5084,#999
IDPP,1996,1438,#999
IFDP,2004,256411,#999
IGC,1989,7635,#999
IGL,1971,72131,#999
IGL,1977,12509,#999
IJP,1989,1428,#999
IJP,2004,67914,#999
IJP,2009,177759,#999
ILP,1977,17191,#999
ILP,1980,14720,#999
ILP,1989,406,#999
IML,1980,196820,#999
IML,1984,224155,#999
IML,1989,687,#999
IML,1991,31387,#999
INC,1951,47665951,#019733
INC,1957,57579589,#019733
INC,1962,51509084,#019733
INC,1967,59490701,#019733
INC,1971,64033274,#019733
INC,1977,65211589,#019733
INC,1984,115478267,#019733
INC,1985,4628777,#019733
INC,1989,118894702,#019733
INC,1991,99799403,#019733
INC,1992,1486289,#019733
INC,1996,96455493,#019733
INC,1998,95111131,#019733
INC,1999,103120330,#019733
INC,2004,103408949,#019733
INC,2009,119111019,#019733
INC(I),1980,84455313,#999
INC(O),1989,1735,#999
INC(U),1980,10449859,#999
IND,1951,16850089,#95b3d7
IND,1957,23284249,#95b3d7
IND,1962,12722488,#95b3d7
IND,1967,20106050,#95b3d7
IND,1971,12279629,#95b3d7
IND,1977,10393617,#95b3d7
IND,1980,12717510,#95b3d7
IND,1984,18623803,#95b3d7
IND,1985,4864958,#95b3d7
IND,1989,15793781,#95b3d7
IND,1991,11441688,#95b3d7
IND,1992,121009,#95b3d7
IND,1996,21041557,#95b3d7
IND,1998,8719952,#95b3d7
IND,1999,9996386,#95b3d7
IND,2004,16549900,#95b3d7
IND,2009,21647686,#95b3d7
INGP,1999,594,#999
INL,1996,15954,#999
INL,1998,86697,#999
INL,2004,20159,#999
INLD,1999,2002700,#999
INLD,2004,1936703,#999
INLD,2009,1286573,#999
IPF,1989,737551,#999
IPF,1991,644891,#999
IPFB,2009,2686,#999
IPP,2009,18726,#999
IRF,1998,118,#999
ISC,1996,2136,#999
ISP,1971,38713,#999
IUML,1996,786,#999
IUML,1998,3763,#999
IUML,1999,20523,#999
IUML,2009,7553,#999
IVD,2009,4439,#999
Independent,2014,16743719,#95b3d7
Indian Bahujan Samajwadi Party,2014,1059,#999
Indian Bahujan Sandesh Party (Kanshiram),2014,1952,#999
Indian Christian Secular Party,2014,14353,#999
Indian Gandhiyan Party,2014,546,#999
Indian Justice Party,2014,1103,#999
