Answers,Year,Total,Delhi,Mumbai,Chennai,Kolkata,Bangalore,Hyderabad,Gurgaon,Noida,Chandigarh,Lucknow,Jaipur,Pune,Ahmedabad,Indore,Bhubaneshwar,Guwahati,Patna,Ranchi,Kochi,Hissar,Moradabad,Kota,Kohlapur,Jamnagar,Ratlam,Salem,Kottayam,Guntur,Asansol,Baleshwar,Aizawl,Male,Female,Metros,Non-Metros,Metros-Male,Non-Metros-Male,Metros-Female,Non-Metros-Female,Yes,No,15-17 Years,18-25 Years,26-35 Years,36-40 Years,41-50 Years,Unmarried,Engaged,Married,Divorced/Separated/Widowed,Love marriage,Arranged marriage,yes,no,Virgin,Non Virgin,"Married, living with spouse",Married but living without spouse,In a live in relationship,Not in any committed relationship,Only spouse,Spouse and children,"Spouse, children and more members",Alone,Parents/Sibling/Other Relative,None,1-2 children,More than 2,NA,Housewife,Businessperson,Self-employed professional,Private Job,Govt Job,Unemployed,Others,HSC,Graduate- General,Graduate – Professional,PG General,PG Professional,Other Education,15000 to 30000,30001 to 50000,50001 to 75000,75001 to 100000,More than 100000
Base: All coding 1 in QB47,2012,459,58,35,11,24,,,,,,,,,,,,,,,,41,18,72,42,27,0,12,33,47,6,29,4,196,263,128,331,61,135,67,196,241,218,0,72,123,119,145,0,0,427,32,86,341,388,71,3,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB49,2012,410,44,50,12,19,,,,,,,,,,,,,,,,44,3,43,17,33,41,7,22,35,4,28,8,320,90,125,285,86,234,39,51,334,76,0,56,124,108,122,0,0,377,33,76,301,338,72,0,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB54,2012,606,64,60,46,29,,,,,,,,,,,,,,,,48,11,81,25,37,29,11,17,67,7,26,48,478,128,199,407,141,337,58,70,504,102,0,112,166,146,182,0,0,569,37,160,409,477,129,1,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB64,2012,1840,172,198,94,91,,,,,,,,,,,,,,,,125,17,247,65,90,203,52,80,95,44,203,64,1242,598,555,1285,419,823,136,462,1210,630,129,396,444,430,441,711,16,995,118,225,770,904,209,343,1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QC2,2012,214,59,5,23,15,,,,,,,,,,,,,,,,11,5,29,6,3,8,10,5,5,5,15,10,144,70,102,112,64,80,38,32,142,72,14,50,65,45,40,98,0,107,9,35,72,105,11,14,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QC2 and who are not a Virgin,2012,198,56,5,23,14,,,,,,,,,,,,,,,,9,4,26,4,2,8,8,5,5,5,14,10,135,63,98,100,64,71,34,29,134,64,11,45,59,43,40,84,0,105,9,35,70,103,11,0,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are Married/Divorced/Widowed/Separated AND those who have children,2012,2396,143,148,173,124,,,,,,,,,,,,,,,,145,148,158,153,134,180,145,131,206,133,138,137,1091,1305,588,1808,286,805,302,1003,1408,988,1,229,635,708,823,0,0,2147,249,484,1663,2396,0,11,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QD2,2012,2343,195,185,146,190,,,,,,,,,,,,,,,,158,45,182,201,100,161,142,90,119,106,197,126,1364,979,716,1627,393,971,323,656,1428,915,175,501,576,539,552,882,22,1344,95,345,999,1168,271,508,1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are female and All those who are not Virgin,2012,1743,102,107,111,110,,,,,,,,,,,,,,,,89,98,128,111,106,125,119,89,147,87,89,125,0,1743,430,1313,0,0,430,1313,522,1221,24,315,446,463,495,249,4,1301,189,317,984,1289,201,0,1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are female and coding 1 in QD4  and All those who are not Virgin,2012,222,34,22,0,12,,,,,,,,,,,,,,,,7,11,37,20,8,8,15,5,14,0,7,22,0,222,68,154,0,0,68,154,77,145,1,24,50,72,75,32,0,174,16,50,124,177,13,0,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are working,2012,2833,168,209,225,179,,,,,,,,,,,,,,,,128,142,178,158,174,167,195,190,149,145,144,282,2090,743,781,2052,557,1533,224,519,2833,0,47,510,832,732,712,1035,49,1556,193,443,1113,1408,341,529,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents,2010,5369,487,491,491,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705,2664,,,,,,,3163,2206,,1181,1156,1115,990,2282,82,2765,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are not Virgin,2010,4459,377,482,405,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2009,,,,,,,2780,1679,,823,896,974,895,1429,56,2740,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB27,2010,2737,232,362,261,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806,931,,,,,,,1995,742,,640,621,651,468,1208,52,1392,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents,2009,5371,486,498,487,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704,2667,,,,,,,,,,1207,1139,1090,1001,1987,135,2735,514,,,,,1149,4222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are not Virgin,2009,4222,371,460,348,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,1916,,,,,,,,,,823,974,932,895,81,2719,495,1503,,,,,4222,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents,2011,5365,498,482,489,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680,2685,,,,,,,2990,2375,,1199,1000,1108,1041,2154,101,2680,430,,,2581,529,1236,4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are Married/Divorced/Widowed/Separated AND those who have children,2011,2581,267,228,220,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,1396,,,,,,,1393,1188,,109,304,628,742,0,0,2258,323,,,2581,0,5,2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are Married/Divorced/Widowed/Separated,2011,2680,251,231,244,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,1354,,,,,,,1493,1187,,276,377,581,683,0,0,2680,0,,,2258,422,7,2665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are not Virgin,2011,4005,415,381,353,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073,1932,,,,,,,2372,1633,,586,682,908,914,854,81,2665,405,,,2566,504,0,4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB27,2011,2547,169,259,334,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586,961,,,,,,,1696,851,,600,524,547,511,1014,82,1273,178,,,1175,276,458,2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB41,2011,2670,224,281,331,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759,911,,,,,,,1805,865,,610,557,624,514,1106,79,1316,169,,,1206,279,439,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QA7,2011,2068,185,207,246,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,396,,,,,,,1666,402,,465,428,460,401,922,71,938,137,,,833,242,376,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QC2 and who are not a Virgin,2011,373,38,55,57,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,125,,,,,,,271,102,,73,74,82,87,132,24,171,46,,,170,47,0,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QD2,2011,3029,234,301,314,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,1396,,,,,,,1747,1282,,748,601,592,589,1273,53,1524,179,,,1392,311,716,2272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are female and All those who are not Virgin,2011,2685,242,240,249,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2685,,,,,,,671,2014,,604,462,553,534,1015,29,1354,287,,,1396,245,667,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Only Male Respondents,2013,1999,125,126,100,123,125,100,101,100,103,100,102,101,100,100,99,100,100,100,100,,,,,,,,,,,,,1999,2015,474,1525,474,1525,486,1527,,,,426,762,306,506,288,0,1670,41,,,,,,,1607,77,10,305,179,1015,416,117,265,267,1208,229,287,611,352,127,689,113,60,40,529,1009,227,135,78,14,888,776,241,68,20
Base: All Respondents,2013,4014,250,255,200,252,250,200,201,199,201,200,202,201,202,200,200,200,201,200,200,,,,,,,,,,,,,1999,2015,957,3057,474,1525,486,1527,,,,855,1528,614,1017,578,0,3352,69,,,,,,,3229,154,20,11,360,2046,840,235,533,538,2435,463,578,1232,712,255,1387,229,120,79,1067,2036,456,272,156,27,1790,1564,485,136,39
Base: Only Female Respondents,2013,2015,125,129,100,132,125,100,100,100,98,100,100,100,102,100,101,100,101,100,100,,,,,,,,,,,,,1999,2015,486,1527,474,1525,486,1527,,,,429,768,308,510,290,0,1683,42,,,,,,,1620,77,11,306,181,1028,421,119,268,270,1223,232,290,619,357,129,697,115,60,40,536,1022,230,137,79,14,899,786,244,69,20
