Nebraska, 2nd	CD	121,889	45.78%	–	140,976	52.95%	1	3,393	1.27%	–	0	0.00%	–	N/A	N/A	–	–19,087	−7.17%	266,258	NE–2
Nebraska, 3rd	CD	72,110	27.94%	–	182,067	70.56%	1	3,869	1.50%	–	0	0.00%	–	N/A	N/A	–	–109,957	−42.61%	258,046	NE–3
Nevada	WTA	531,373	52.36%	6	463,567	45.68%	–	10,968	1.08%	–	0	0.00%	–	9,010	0.89%	–	67,806	6.68%	1,014,918	NV
New Hampshire	WTA	369,561	51.98%	4	329,918	46.40%	–	8,212	1.16%	–	324	0.05%	–	2,957	0.42%	–	39,643	5.58%	710,972	NH
New Jersey[121]	WTA	2,125,101	58.38%	14	1,477,568	40.59%	–	21,045	0.58%	–	9,888	0.27%	–	6,690	0.18%	–	647,533	17.81%	3,640,292	NJ
New Mexico	WTA	415,335	52.99%	5	335,788	42.84%	–	27,788	3.55%	–	2,691	0.34%	–	2,156	0.28%	–	79,547	10.15%	783,758	NM
New York[122]	WTA	4,485,741	63.35%	29	2,490,431	35.17%	–	47,256	0.67%	–	39,982	0.56%	–	17,749	0.25%	–	1,995,310	28.18%	7,081,159	NY
North Carolina	WTA	2,178,391	48.35%	–	2,270,395	50.39%	15	44,515	0.99%	–	0	0.00%	–	12,071	0.27%	–	–92,004	−2.04%	4,505,372	NC
North Dakota	WTA	124,827	38.69%	–	188,163	58.32%	3	5,231	1.62%	–	1,361	0.42%	–	3,045	0.94%	–	–63,336	−19.63%	322,627	ND
Ohio[123]	WTA	2,827,710	50.67%	18	2,661,433	47.69%	–	49,493	0.89%	–	18,574	0.33%	–	23,630	0.42%	–	166,277	2.98%	5,580,840	OH
Oklahoma	WTA	443,547	33.23%	–	891,325	66.77%	7	0	0.00%	–	0	0.00%	–	0	0.00%	–	–447,778	−33.54%	1,334,872	OK
Oregon	WTA	970,488	54.24%	7	754,175	42.15%	–	24,089	1.35%	–	19,427	1.09%	–	21,091	1.18%	–	216,313	12.09%	1,789,270	OR
Pennsylvania	WTA	2,990,274	51.97%	20	2,680,434	46.59%	–	49,991	0.87%	–	21,341	0.37%	–	11,630	0.20%	–	309,840	5.39%	5,753,670	PA
Rhode Island	WTA	279,677	62.70%	4	157,204	35.24%	–	4,388	0.98%	–	2,421	0.54%	–	2,359	0.53%	–	122,473	27.46%	446,049	RI
South Carolina	WTA	865,941	44.09%	–	1,071,645	54.56%	9	16,321	0.83%	–	5,446	0.28%	–	4,765	0.24%	–	–205,704	−10.47%	1,964,118	SC
South Dakota	WTA	145,039	39.87%	–	210,610	57.89%	3	5,795	1.59%	–	0	0.00%	–	2,371	0.65%	–	–65,571	−18.02%	363,815	SD
Tennessee	WTA	960,709	39.08%	–	1,462,330	59.48%	11	18,623	0.76%	–	6,515	0.26%	–	10,400	0.42%	–	–501,621	−20.40%	2,458,577	TN
Texas	WTA	3,308,124	41.38%	–	4,569,843	57.17%	38	88,580	1.11%	–	24,657	0.31%	–	2,647	0.03%	–	–1,261,719	−15.78%	7,993,851	TX
Utah	WTA	251,813	24.75%	–	740,600	72.79%	6	12,572	1.24%	–	3,817	0.38%	–	8,638	0.85%	–	–488,787	−48.04%	1,017,440	UT
Vermont	WTA	199,239	66.57%	3	92,698	30.97%	–	3,487	1.17%	–	594	0.20%	–	3,272	1.09%	–	106,541	35.60%	299,290	VT
Virginia	WTA	1,971,820	51.16%	13	1,822,522	47.28%	–	31,216	0.81%	–	8,627	0.22%	–	20,304	0.53%	–	149,298	3.87%	3,854,489	VA
Washington	WTA	1,755,396	56.16%	12	1,290,670	41.29%	–	42,202	1.35%	–	20,928	0.67%	–	16,320	0.52%	–	464,726	14.87%	3,125,516	WA
West Virginia	WTA	238,269	35.54%	–	417,655	62.30%	5	6,302	0.94%	–	4,406	0.66%	–	3,806	0.57%	–	–179,386	−26.76%	670,438	WV
Wisconsin[124]	WTA	1,620,985	52.83%	10	1,407,966	45.89%	–	20,439	0.67%	–	7,665	0.25%	–	11,379	0.37%	–	213,019	6.94%	3,068,434	WI
Wyoming	WTA	69,286	27.82%	–	170,962	68.64%	3	5,326	2.14%	–	0	0.00%	–	3,487	1.40%	–	–101,676	−40.82%	249,061	WY
U.S. Total	–	65,915,796	51.06%	332	60,933,500	47.20%	206	1,275,971	0.99%	–	469,628	0.36%	–	490,508	0.38%	–	4,982,296	3.86%	129,085,403	US
