constituency,S,District,Group,candidate,party,Alliance,votes,rank,name,location,slr
Thiruvottiyur,N,Thiruvallur,1,Bal Raj.P,ADMK,ADMK+,4135,5,Bal Raj.P,,
Shozhinganallur,N,Kancheepuram,3,Seetha Lakshmi,IMKMK,BJP+,64244,1,Seetha Lakshmi,,
Shozhinganallur,N,Kancheepuram,3,Rajan.C,NTK,NTK+,62639,2,Rajan.C,,
Shozhinganallur,N,Kancheepuram,3,Aravindha Swamy,DMK,DMK+,56986,3,Aravindha Swamy,,
Shozhinganallur,N,Kancheepuram,3,Ram Kumar.K,PMK,PMK+,40939,4,Ram Kumar.K,,
Shozhinganallur,N,Kancheepuram,3,Leo N.Sundaram,ADMK,ADMK+,32902,5,Leo N.Sundaram,,
Shozhinganallur,N,Kancheepuram,3,Paneer Das.Era,VC,PWF+,29245,6,Paneer Das.Era,,
Alandur,N,Kancheepuram,3,Chandran,DMDK,PWF+,59984,1,Chandran,,
Alandur,N,Kancheepuram,3,Pandrutty S.Ramachandran,ADMK,ADMK+,44189,2,Pandrutty S.Ramachandran,,
Alandur,N,Kancheepuram,3,Dhananjayan.R,NTK,NTK+,24158,3,Dhananjayan.R,,
Alandur,N,Kancheepuram,3,Dhamo Anbarasan,DMK,DMK+,23648,4,Dhamo Anbarasan,,
Alandur,N,Kancheepuram,3,Sathya Narayanan.D.R,BJP,BJP+,12970,5,Sathya Narayanan.D.R,,
Alandur,N,Kancheepuram,3,Srinivasan.R,PMK,PMK+,11882,6,Srinivasan.R,,
Sriperumbudur,S,Kancheepuram,3,Muthu Raman.C,PMK,PMK+,14089,1,Muthu Raman.C,,
Sriperumbudur,S,Kancheepuram,3,Veera Kumar,VC,PWF+,10990,2,Veera Kumar,,
Sriperumbudur,S,Kancheepuram,3,Manoharan,BJP,BJP+,9008,3,Manoharan,,
Sriperumbudur,S,Kancheepuram,3,Palani.K,ADMK,ADMK+,8557,4,Palani.K,,
Sriperumbudur,S,Kancheepuram,3,Sivaranjani.P,NTK,NTK+,2312,5,Sivaranjani.P,,
Pallavaram,N,Kancheepuram,3,Venkateshan.R,PMK,PMK+,66648,1,Venkateshan.R,,
Pallavaram,N,Kancheepuram,3,Karunanithi.E,DMK,DMK+,60226,2,Karunanithi.E,,
Pallavaram,N,Kancheepuram,3,Veera Lakshmi,MDMK,PWF+,48010,3,Veera Lakshmi,,
Pallavaram,N,Kancheepuram,3,Dr.Gopi Ayya Swamy,BJP,BJP+,47144,4,Dr.Gopi Ayya Swamy,,
Pallavaram,N,Kancheepuram,3,Seenivasa Kumar,NTK,NTK+,25208,5,Seenivasa Kumar,,
Pallavaram,N,Kancheepuram,3,Saraswathi.C.R,ADMK,ADMK+,2301,6,Saraswathi.C.R,,
Tambaram,N,Kancheepuram,3,Chezhian,DMDK,PWF+,64113,1,Chezhian,,
Tambaram,N,Kancheepuram,3,Vetha Subramanaian,BJP,BJP+,56489,2,Vetha Subramanaian,,
Tambaram,N,Kancheepuram,3,Suresh.R,PMK,PMK+,54252,3,Suresh.R,,
Tambaram,N,Kancheepuram,3,Chitla Pakkam S.Rajendran,ADMK,ADMK+,41564,4,Chitla Pakkam S.Rajendran,,
Tambaram,N,Kancheepuram,3,Raja.S.R,DMK,DMK+,20335,5,Raja.S.R,,
Chengalpattu,N,Kancheepuram,3,Muthamizh Selvan,IJK,BJP+,63222,1,Muthamizh Selvan,,
Chengalpattu,N,Kancheepuram,3,Murugeshan,DMDK,PWF+,54314,2,Murugeshan,,
Chengalpattu,N,Kancheepuram,3,Sanjeevi Nathan,NTK,NTK+,39655,3,Sanjeevi Nathan,,
Chengalpattu,N,Kancheepuram,3,Vara Lakshmi Mathu Suthanan,DMK,DMK+,23416,4,Vara Lakshmi Mathu Suthanan,,
Chengalpattu,N,Kancheepuram,3,Kamala Kannan.R,ADMK,ADMK+,7923,5,Kamala Kannan.R,,
Thiruporur,N,Kancheepuram,3,Viswanathan,DMK,DMK+,69467,1,Viswanathan,,
Thiruporur,N,Kancheepuram,3,Ellalan Yusuff,NTK,NTK+,60670,2,Ellalan Yusuff,,
Thiruporur,N,Kancheepuram,3,Vasu.P.V.K,PMK,PMK+,55783,3,Vasu.P.V.K,,
Thiruporur,N,Kancheepuram,3,Kothanda Pani.M,ADMK,ADMK+,24687,4,Kothanda Pani.M,,
Thiruporur,N,Kancheepuram,3,Mallai Sathya,MDMK,PWF+,12235,5,Mallai Sathya,,
Cheyyur,S,Kancheepuram,3,Sambath Raj.P,BJP,BJP+,50095,1,Sambath Raj.P,,
Cheyyur,S,Kancheepuram,3,Ezhil Caroline,VC,PWF+,45864,2,Ezhil Caroline,,
Cheyyur,S,Kancheepuram,3,Sadaiyappan,PMK,PMK+,26828,3,Sadaiyappan,,
Cheyyur,S,Kancheepuram,3,Arasu,DMK,DMK+,23675,4,Arasu,,
Cheyyur,S,Kancheepuram,3,Munu Swamy.A,ADMK,ADMK+,3956,5,Munu Swamy.A,,
Cheyyur,S,Kancheepuram,3,Dhasarathan.A,NTK,NTK+,552,6,Dhasarathan.A,,
Maduranthakam,S,Kancheepuram,3,Puhalendhi,DMK,DMK+,56251,1,Puhalendhi,,
Maduranthakam,S,Kancheepuram,3,Tamil Arasan.C.K,RPI,ADMK+,38496,2,Tamil Arasan.C.K,,
Maduranthakam,S,Kancheepuram,3,Aathi Kesavan.A,PMK,PMK+,35953,3,Aathi Kesavan.A,,
Maduranthakam,S,Kancheepuram,3,Thennarasu,DMDK,PWF+,11450,4,Thennarasu,,
Maduranthakam,S,Kancheepuram,3,Vetri Selvam,NTK,NTK+,7038,5,Vetri Selvam,,
Kancheepuram,N,Kancheepuram,3,Maithili Thirunavukkarasu,ADMK,ADMK+,56304,1,Maithili Thirunavukkarasu,,
Kancheepuram,N,Kancheepuram,3,Usha,NTK,NTK+,41152,2,Usha,,
Kancheepuram,N,Kancheepuram,3,Mahesh Kumar.P,PMK,PMK+,26271,3,Mahesh Kumar.P,,
Kancheepuram,N,Kancheepuram,3,Vasan,BJP,BJP+,23551,4,Vasan,,
Kancheepuram,N,Kancheepuram,3,Ezhilarasan,DMK,DMK+,23404,5,Ezhilarasan,,
Arakkonam,S,Vellore,3,Ilan Cheghuvara,VC,PWF+,60319,1,Ilan Cheghuvara,,
Arakkonam,S,Vellore,3,Ravi,ADMK,ADMK+,38711,2,Ravi,,
Arakkonam,S,Vellore,3,Vijayan.C,BJP,BJP+,32077,3,Vijayan.C,,
Arakkonam,S,Vellore,3,Arputham.R,PMK,PMK+,23544,4,Arputham.R,,
Arakkonam,S,Vellore,3,Raj Kumar.N,DMK,DMK+,16589,5,Raj Kumar.N,,
Arakkonam,S,Vellore,3,Saravanan.M,NTK,NTK+,12799,6,Saravanan.M,,
Sholingur,N,Vellore,3,Senthil Kumar,NTK,NTK+,62470,1,Senthil Kumar,,
Sholingur,N,Vellore,3,Manoharan,DMDK,PWF+,41758,2,Manoharan,,
Sholingur,N,Vellore,3,Parthiban.N.G,ADMK,ADMK+,32925,3,Parthiban.N.G,,
Sholingur,N,Vellore,3,Muni Rathnam,INC,DMK+,28507,4,Muni Rathnam,,
Sholingur,N,Vellore,3,Saravanan.K,PMK,PMK+,24506,5,Saravanan.K,,
Sholingur,N,Vellore,3,Gokul,IMKMK,BJP+,6595,6,Gokul,,
Katpadi,N,Vellore,3,Appu.S.R.K,ADMK,ADMK+,63578,1,Appu.S.R.K,,
Katpadi,N,Vellore,3,Sivanantham.T.V,TMC,PWF+,56878,2,Sivanantham.T.V,,
Katpadi,N,Vellore,3,Puviyarasan.L.,NTK,NTK+,7300,3,Puviyarasan.L.,,
Ranipet,N,Vellore,3,Navash Khan,NTK,NTK+,67396,1,Navash Khan,,
Ranipet,N,Vellore,3,Nithyanantham,DMDK,PWF+,40018,2,Nithyanantham,,
Ranipet,N,Vellore,3,Murali.K.K,PMK,PMK+,33342,3,Murali.K.K,,
Ranipet,N,Vellore,3,Sumai Thanghi S. Elumalai,ADMK,ADMK+,32576,4,Sumai Thanghi S. Elumalai,,
Arcot,N,Vellore,3,Karikalan.K,PMK,PMK+,62704,1,Karikalan.K,,
Arcot,N,Vellore,3,Ram Das.K.V,ADMK,ADMK+,51802,2,Ram Das.K.V,,
Arcot,N,Vellore,3,Easwarappan,DMK,DMK+,30756,3,Easwarappan,,
Arcot,N,Vellore,3,Arul Raman,IMKMK,BJP+,23660,4,Arul Raman,,
Arcot,N,Vellore,3,Udhaya Kumar,MDMK,PWF+,9919,5,Udhaya Kumar,,
Vellore,N,Vellore,3,Karthikeyan,DMK,DMK+,55415,1,Karthikeyan,,
Vellore,N,Vellore,3,Abdhul Rahman,VC,PWF+,41018,2,Abdhul Rahman,,
Vellore,N,Vellore,3,Elangovan.S,BJP,BJP+,11507,3,Elangovan.S,,
Vellore,N,Vellore,3,Durai Lakshmi Narayanan,PMK,PMK+,7191,4,Durai Lakshmi Narayanan,,
Vellore,N,Vellore,3,Haroon Rasheeth,MJK,ADMK+,4955,5,Haroon Rasheeth,,
Anaicut,N,Vellore,3,Nantha Kumar,DMK,DMK+,30929,1,Nantha Kumar,,
Anaicut,N,Vellore,3,Palani.P.S,TMC,PWF+,27651,2,Palani.P.S,,
Anaicut,N,Vellore,3,Vijaya Kumar,IMKMK,BJP+,24999,3,Vijaya Kumar,,
Anaicut,N,Vellore,3,Kalai Arasu.M,ADMK,ADMK+,19505,4,Kalai Arasu.M,,
Anaicut,N,Vellore,3,Sivaraj @ Siva,NTK,NTK+,5159,5,Sivaraj @ Siva,,
Gudiyattam,S,Vellore,3,Jeyanthi Padmanabhan.C,ADMK,ADMK+,65747,1,Jeyanthi Padmanabhan.C,,
Gudiyattam,S,Vellore,3,Vel @ Raj Kumar,NTK,NTK+,25786,2,Vel @ Raj Kumar,,
Gudiyattam,S,Vellore,3,Dheeba.P,PMK,PMK+,24439,3,Dheeba.P,,
Gudiyattam,S,Vellore,3,Raja Marthandan,DMK,DMK+,12612,4,Raja Marthandan,,
Vaniyambadi,N,Vellore,3,Kirubakaran.R,PMK,PMK+,60488,1,Kirubakaran.R,,
Vaniyambadi,N,Vellore,3,Kalliloor Rahman,NTK,NTK+,58554,2,Kalliloor Rahman,,
Vaniyambadi,N,Vellore,3,Venkateshan.G,BJP,BJP+,49584,3,Venkateshan.G,,
Vaniyambadi,N,Vellore,3,Syed Farook,IUML,DMK+,34381,4,Syed Farook,,
Vaniyambadi,N,Vellore,3,Dr. Nilofer Kabeel,ADMK,ADMK+,22046,5,Dr. Nilofer Kabeel,,
Vaniyambadi,N,Vellore,3,Gnana Sekaran.C,TMC,PWF+,18269,6,Gnana Sekaran.C,,
Ambur,N,Vellore,3,Venkateshan.KO,BJP,BJP+,66852,1,Venkateshan.KO,,
Ambur,N,Vellore,3,Ameen Batcha.M,PMK,PMK+,44387,2,Ameen Batcha.M,,
Ambur,N,Vellore,3,Vasu,DMDK,PWF+,42499,3,Vasu,,
Ambur,N,Vellore,3,Kalai Kamaraj,NTK,NTK+,35471,4,Kalai Kamaraj,,
Ambur,N,Vellore,3,Bala Subramani.R,ADMK,ADMK+,30997,5,Bala Subramani.R,,
Ambur,N,Vellore,3,Nazeer Ahmed,MMK,DMK+,15978,6,Nazeer Ahmed,,
Jolarpet,N,Vellore,3,Kavitha Dhandapani,DMK,DMK+,69869,1,Kavitha Dhandapani,,
Jolarpet,N,Vellore,3,Then Mozhi,NTK,NTK+,65523,2,Then Mozhi,,
Jolarpet,N,Vellore,3,Byas Batcha,DMDK,PWF+,49652,3,Byas Batcha,,
Jolarpet,N,Vellore,3,Oviyar Ranjan,IMKMK,BJP+,47953,4,Oviyar Ranjan,,
Jolarpet,N,Vellore,3,Ponnu Swamy.K,PMK,PMK+,19560,5,Ponnu Swamy.K,,
Jolarpet,N,Vellore,3,Veera Mani.K.C,ADMK,ADMK+,8826,6,Veera Mani.K.C,,
Tiruppattur,N,Vellore,3,Govindha Rajan,BJP,BJP+,52109,1,Govindha Rajan,,
Tiruppattur,N,Vellore,3,Kumar.T.T,ADMK,ADMK+,37867,2,Kumar.T.T,,
Tiruppattur,N,Vellore,3,Gunasekaran,NTK,NTK+,32834,3,Gunasekaran,,
Tiruppattur,N,Vellore,3,Nalla Thambi,DMK,DMK+,30490,4,Nalla Thambi,,
Tiruppattur,N,Vellore,3,Hari Krishnan,DMDK,PWF+,25137,5,Hari Krishnan,,
Tiruppattur,N,Vellore,3,Raja.T.K,PMK,PMK+,22548,6,Raja.T.K,,
Pennagaram,N,Dharmapuri,3,Innbarasan,DMK,DMK+,59803,1,Innbarasan,,
Pennagaram,N,Dharmapuri,3,Anbu Mani Rama Das,PMK,PMK+,59555,2,Anbu Mani Rama Das,,
Pennagaram,N,Dharmapuri,3,N.Nanjappan,CPM,PWF+,50465,3,N.Nanjappan,,
Pennagaram,N,Dharmapuri,3,Kanda Swamy.K.P,BJP,BJP+,31885,4,Kanda Swamy.K.P,,
Pennagaram,N,Dharmapuri,3,Munu Swamy.K.P,ADMK,ADMK+,26978,5,Munu Swamy.K.P,,
Pennagaram,N,Dharmapuri,3,Siva Kumar.,NTK,NTK+,13096,6,Siva Kumar.,,
Dharmapuri,N,Dharmapuri,3,Dr.Senthil.R,PMK,PMK+,33190,1,Dr.Senthil.R,,
Dharmapuri,N,Dharmapuri,3,Dr.Elangovan,DMDK,PWF+,25789,2,Dr.Elangovan,,
Dharmapuri,N,Dharmapuri,3,Rukku Mani Devi.R,NTK,NTK+,24647,3,Rukku Mani Devi.R,,
Dharmapuri,N,Dharmapuri,3,Subramanian,DMK,DMK+,5944,4,Subramanian,,
Dharmapuri,N,Dharmapuri,3,Elangovan.P.T,ADMK,ADMK+,1931,5,Elangovan.P.T,,
Pappireddippatti,N,Dharmapuri,3,Palaniappan,ADMK,ADMK+,58211,1,Palaniappan,,
Pappireddippatti,N,Dharmapuri,3,Sundara Moorthy,IJK,BJP+,39571,2,Sundara Moorthy,,
Pappireddippatti,N,Dharmapuri,3,Mooventhan,NTK,NTK+,38527,3,Mooventhan,,
Pappireddippatti,N,Dharmapuri,3,Sathya Moorthy.A,PMK,PMK+,36628,4,Sathya Moorthy.A,,
Pappireddippatti,N,Dharmapuri,3,Prabhu Rajasekar,DMK,DMK+,35492,5,Prabhu Rajasekar,,
Pappireddippatti,N,Dharmapuri,3,Basker,DMDK,PWF+,14733,6,Basker,,
Kilpennathur,N,Tiruvannamalai,3,Pitchandi,DMK,DMK+,61680,1,Pitchandi,,
Kilpennathur,N,Tiruvannamalai,3,Ethiroli Manian.K,PMK,PMK+,58461,2,Ethiroli Manian.K,,
Kilpennathur,N,Tiruvannamalai,3,Ramesh Babu.R,NTK,NTK+,50684,3,Ramesh Babu.R,,
Kilpennathur,N,Tiruvannamalai,3,Selva Mani.K,ADMK,ADMK+,32015,4,Selva Mani.K,,
Kilpennathur,N,Tiruvannamalai,3,Jothi.K,CPM,PWF+,27588,5,Jothi.K,,
Kilpennathur,N,Tiruvannamalai,3,Subhu Rayan,IMKMK,BJP+,10389,6,Subhu Rayan,,
Kalasapakkam,N,Tiruvannamalai,3,Kali Das.R,PMK,PMK+,69627,1,Kali Das.R,,
Kalasapakkam,N,Tiruvannamalai,3,Nehru,DMDK,PWF+,43588,2,Nehru,,
Kalasapakkam,N,Tiruvannamalai,3,Balaji,NTK,NTK+,15514,3,Balaji,,
Kalasapakkam,N,Tiruvannamalai,3,Paneer Selvam,ADMK,ADMK+,8238,4,Paneer Selvam,,
Arani,N,Tiruvannamalai,3,Babu.S,DMK,DMK+,69015,1,Babu.S,,
Arani,N,Tiruvannamalai,3,Gopi.P,BJP,BJP+,61921,2,Gopi.P,,
Arani,N,Tiruvannamalai,3,Chevur S.Ramachandran,ADMK,ADMK+,44397,3,Chevur S.Ramachandran,,
Arani,N,Tiruvannamalai,3,Rajasekar.S,PMK,PMK+,43791,4,Rajasekar.S,,
Arani,N,Tiruvannamalai,3,Mohan Raj,NTK,NTK+,39123,5,Mohan Raj,,
Cheyyar,N,Tiruvannamalai,3,Vishnu Prasath,INC,DMK+,69427,1,Vishnu Prasath,,
Cheyyar,N,Tiruvannamalai,3,Baskaran.B,BJP,BJP+,63980,2,Baskaran.B,,
Cheyyar,N,Tiruvannamalai,3,Thulasi K.Mohan,ADMK,ADMK+,63372,3,Thulasi K.Mohan,,
Cheyyar,N,Tiruvannamalai,3,Seenivasan.S,PMK,PMK+,33196,4,Seenivasan.S,,
Cheyyar,N,Tiruvannamalai,3,Rajesh,NTK,NTK+,32294,5,Rajesh,,
Cheyyar,N,Tiruvannamalai,3,Saravanan,DMDK,PWF+,30035,6,Saravanan,,
Uthiramerur,N,Kancheepuram,3,Rajendran,DMDK,PWF+,69254,1,Rajendran,,
Uthiramerur,N,Kancheepuram,3,Purushothaman,IMKMK,BJP+,40821,2,Purushothaman,,
Uthiramerur,N,Kancheepuram,3,Susai Raj,NTK,NTK+,32113,3,Susai Raj,,
Uthiramerur,N,Kancheepuram,3,Sundar,DMK,DMK+,12756,4,Sundar,,
Kilvaithinankuppam,S,Vellore,3,Devi Ammal,DMDK,PWF+,63796,1,Devi Ammal,,
Kilvaithinankuppam,S,Vellore,3,Vimala Rama Chandran,BJP,BJP+,63097,2,Vimala Rama Chandran,,
Kilvaithinankuppam,S,Vellore,3,Archana.Nila,NTK,NTK+,58474,3,Archana.Nila,,
Kilvaithinankuppam,S,Vellore,3,Amalu,DMK,DMK+,15873,4,Amalu,,
Kilvaithinankuppam,S,Vellore,3,Kusala Kumari.C,PMK,PMK+,9825,5,Kusala Kumari.C,,
Harur,S,Dharmapuri,3,Murali.S,PMK,PMK+,59511,1,Murali.S,,
Harur,S,Dharmapuri,3,Rajendran,DMK,DMK+,53352,2,Rajendran,,
Harur,S,Dharmapuri,3,Vediappan,BJP,BJP+,50751,3,Vediappan,,
Harur,S,Dharmapuri,3,Kovendhan,VC,PWF+,37964,4,Kovendhan,,
Harur,S,Dharmapuri,3,Ramesh,NTK,NTK+,11285,5,Ramesh,,
Chengam,S,Tiruvannamalai,3,Ujkakar Singh,IMKMK,BJP+,67972,1,Ujkakar Singh,,
Chengam,S,Tiruvannamalai,3,Kalai Arasi,DMDK,PWF+,62796,2,Kalai Arasi,,
Chengam,S,Tiruvannamalai,3,Giri,DMK,DMK+,61778,3,Giri,,
Chengam,S,Tiruvannamalai,3,Venilla,NTK,NTK+,58886,4,Venilla,,
Tiruvannamalai,N,Tiruvannamalai,3,Velu.A.Va,DMK,DMK+,60476,1,Velu.A.Va,,
Tiruvannamalai,N,Tiruvannamalai,3,Venkatajalapathi,IMKMK,BJP+,36504,2,Venkatajalapathi,,
Tiruvannamalai,N,Tiruvannamalai,3,Pandiyan.Ela.,PMK,PMK+,21746,3,Pandiyan.Ela.,,
Tiruvannamalai,N,Tiruvannamalai,3,Kamala Kannan,NTK,NTK+,12009,4,Kamala Kannan,,
Polur,N,Tiruvannamalai,3,Kanthan,NTK,NTK+,65978,1,Kanthan,,
Polur,N,Tiruvannamalai,3,Sekaran,DMK,DMK+,61842,2,Sekaran,,
Polur,N,Tiruvannamalai,3,Velayutham.A,PMK,PMK+,46545,3,Velayutham.A,,
Polur,N,Tiruvannamalai,3,Selvan.P,CPI,PWF+,34070,4,Selvan.P,,
Polur,N,Tiruvannamalai,3,Tamilarasi Devadhas,BJP,BJP+,10966,5,Tamilarasi Devadhas,,
Vandavasi,S,Tiruvannamalai,3,Vadivel Ravanan,PMK,PMK+,66814,1,Vadivel Ravanan,,
Vandavasi,S,Tiruvannamalai,3,Ambethkumar,DMK,DMK+,57579,2,Ambethkumar,,
Vandavasi,S,Tiruvannamalai,3,Sudha,IJK,BJP+,17744,3,Sudha,,
Vandavasi,S,Tiruvannamalai,3,Metha Ramesh,VC,PWF+,9089,4,Metha Ramesh,,
Palacodu,N,Dharmapuri,3,Venkatesan,NTK,NTK+,63244,1,Venkatesan,,
Palacodu,N,Dharmapuri,3,Mannan,PMK,PMK+,49259,2,Mannan,,
Palacodu,N,Dharmapuri,3,Najjappan,IJK,BJP+,35672,3,Najjappan,,
Palacodu,N,Dharmapuri,3,Kaveri Varman,DMDK,PWF+,15988,4,Kaveri Varman,,
Dr. Radhakrishnan Nagar,N,Chennai,2,Vasanthi Devi,VC,PWF+,55811,1,Vasanthi Devi,,
Dr. Radhakrishnan Nagar,N,Chennai,2,Aakinesh.P,PMK,PMK+,43458,2,Aakinesh.P,,
Dr. Radhakrishnan Nagar,N,Chennai,2,Raja..M.N,BJP,BJP+,38264,3,Raja..M.N,,
Dr. Radhakrishnan Nagar,N,Chennai,2,Devi,NTK,NTK+,35909,4,Devi,,
Dr. Radhakrishnan Nagar,N,Chennai,2,Simla Muthu Cholan,DMK,DMK+,16739,5,Simla Muthu Cholan,,
Dr. Radhakrishnan Nagar,N,Chennai,2,Jaya Lalitha.J,ADMK,ADMK+,16241,6,Jaya Lalitha.J,,
Perambur,N,Chennai,2,Dhanabal,PeMK,DMK+,65882,1,Dhanabal,,
Perambur,N,Chennai,2,Vetri Tamilan.C,NTK,NTK+,60142,2,Vetri Tamilan.C,,
Perambur,N,Chennai,2,Venkateshan Perumal.M,PMK,PMK+,50214,3,Venkateshan Perumal.M,,
Perambur,N,Chennai,2,Vetri Vel.P,ADMK,ADMK+,34399,4,Vetri Vel.P,,
Perambur,N,Chennai,2,Prakash,BJP,BJP+,27759,5,Prakash,,
Perambur,N,Chennai,2,Soundar Rajan.A,CPI,PWF+,1863,6,Soundar Rajan.A,,
Kolathur,N,Chennai,2,Gopal.S,PMK,PMK+,52813,1,Gopal.S,,
Kolathur,N,Chennai,2,Mathi Vanan,DMDK,PWF+,31118,2,Mathi Vanan,,
Kolathur,N,Chennai,2,Raghavan.K.T,BJP,BJP+,30064,3,Raghavan.K.T,,
Kolathur,N,Chennai,2,Seviar Felix,NTK,NTK+,29772,4,Seviar Felix,,
