"sport","sport_id","disipline","disipline_id","event","event_id","event_updated_date","medals__medal","medals__medal_id","medals__team_id","medals__team","medals__team_short","medals__player_id","medals__player","medals__awarded_date","event_type"
"Athletics",18,"Athletics",3,"Women's 4 × 400 metres relay",120,"8/20/2016","Silver",2,127,"Jamaica","JAM","null","null","8/20/2016","Team"
"Athletics",18,"Athletics",3,"Women's 4 × 400 metres relay",120,"8/20/2016","Bronze",3,274,"Great Britain","GBR","null","null","8/20/2016","Team"
"Taekwondo",45,"Taekwondo",46,"Women's Heavyweight",502,"8/20/2016","Gold",1,63,"China","CHN","null","Zheng Shuyin","8/20/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Heavyweight",502,"8/20/2016","Silver",2,158,"Mexico","MEX","null","María Espinoza","8/20/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Heavyweight",502,"8/20/2016","Bronze",3,20,"United States","USA","null","Jackie Galloway","8/20/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Heavyweight",502,"8/20/2016","Bronze",3,274,"Great Britain","GBR","null","Bianca Walkden","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Javelin throw",76,"8/20/2016","Gold",1,102,"Germany","GER","null","Thomas Röhler","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Javelin throw",76,"8/20/2016","Silver",2,14,"Kenya","KEN","null","Julius Yego","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Javelin throw",76,"8/20/2016","Bronze",3,234,"Trinidad And Tobago","TRI","null","Keshorn Walcott","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's High jump",122,"8/20/2016","Gold",1,216,"Spain","ESP","null","Ruth Beitia","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's High jump",122,"8/20/2016","Silver",2,52,"Bulgaria","BUL","null","Mirela Demireva","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's High jump",122,"8/20/2016","Bronze",3,72,"Croatia","CRO","null","Blanka Vlašic","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 800 metres",111,"8/20/2016","Gold",1,7,"South Africa","RSA","null","Caster Semenya","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 800 metres",111,"8/20/2016","Silver",2,54,"Burundi","BDI","null","Francine Niyonsaba","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 800 metres",111,"8/20/2016","Bronze",3,14,"Kenya","KEN","null","Margaret Wambui","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's 1500 metres",58,"8/20/2016","Gold",1,20,"United States","USA","null","Matthew Centrowitz Jr.","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's 1500 metres",58,"8/20/2016","Silver",2,24,"Algeria","ALG","null","Taoufik Makhloufi","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's 1500 metres",58,"8/20/2016","Bronze",3,5,"New Zealand","NZL","null","Nick Willis","8/20/2016","Individual"
"Football",2,"Football",19,"Men's Football",205,"8/20/2016","Gold",1,48,"Brazil","BRA","null","null","8/20/2016","Team"
"Football",2,"Football",19,"Men's Football",205,"8/20/2016","Silver",2,102,"Germany","GER","null","null","8/20/2016","Team"
"Football",2,"Football",19,"Men's Football",205,"8/20/2016","Bronze",3,176,"Nigeria","NGR","null","null","8/20/2016","Team"
"Aquatics",16,"Water polo",55,"Men's Water polo",557,"8/20/2016","Gold",1,207,"Serbia","SRB","null","null","8/20/2016","Team"
"Aquatics",16,"Water polo",55,"Men's Water polo",557,"8/20/2016","Silver",2,72,"Croatia","CRO","null","null","8/20/2016","Team"
"Aquatics",16,"Water polo",55,"Men's Water polo",557,"8/20/2016","Bronze",3,125,"Italy","ITA","null","null","8/20/2016","Team"
"Modern pentathlon",35,"Modern pentathlon",29,"Men's individual",261,"8/20/2016","Gold",1,278,"Russia","RUS","null","Alexsander Lesun","8/20/2016","Individual"
"Modern pentathlon",35,"Modern pentathlon",29,"Men's individual",261,"8/20/2016","Silver",2,241,"Ukraine","UKR","null","Pavlo Tymoshchenko","8/20/2016","Individual"
"Modern pentathlon",35,"Modern pentathlon",29,"Men's individual",261,"8/20/2016","Bronze",3,158,"Mexico","MEX","null","Ismael Hernandez Uscanga","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Super Heavyweight-125 kg",909,"8/20/2016","Gold",1,236,"Turkey","TUR","null","Taha Akgül","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Super Heavyweight-125 kg",909,"8/20/2016","Silver",2,122,"Iran","IRI","null","Komeil Ghasemi","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Super Heavyweight-125 kg",909,"8/20/2016","Bronze",3,101,"Georgia","GEO","null","Geno Petriashvili","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Super Heavyweight-125 kg",909,"8/20/2016","Bronze",3,39,"Belarus","BLR","null","Ibragim Saidov","8/20/2016","Individual"
"Aquatics",16,"Diving",13,"Men's 10 metre platform",168,"8/20/2016","Gold",1,63,"China","CHN","null","Chen Aisen","8/20/2016","Individual"
"Aquatics",16,"Diving",13,"Men's 10 metre platform",168,"8/20/2016","Silver",2,158,"Mexico","MEX","null","Germán Sánchez","8/20/2016","Individual"
"Aquatics",16,"Diving",13,"Men's 10 metre platform",168,"8/20/2016","Bronze",3,20,"United States","USA","null","David Boudia","8/20/2016","Individual"
"Gymnastics",29,"Rhythmic",33,"Women's individual all-around",639,"8/20/2016","Gold",1,278,"Russia","RUS","null","Margarita Mamun","8/20/2016","Individual"
"Gymnastics",29,"Rhythmic",33,"Women's individual all-around",639,"8/20/2016","Silver",2,278,"Russia","RUS","null","Yana Kudryavtseva","8/20/2016","Individual"
"Gymnastics",29,"Rhythmic",33,"Women's individual all-around",639,"8/20/2016","Bronze",3,241,"Ukraine","UKR","null","Ganna Rizatdinova","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Middleweight-86 kg",908,"8/20/2016","Gold",1,278,"Russia","RUS","null","Abdulrashid Sadulaev","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Middleweight-86 kg",908,"8/20/2016","Silver",2,236,"Turkey","TUR","null","Selim Yasar","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Middleweight-86 kg",908,"8/20/2016","Bronze",3,20,"United States","USA","null","J'den Cox","8/20/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Middleweight-86 kg",908,"8/20/2016","Bronze",3,35,"Azerbaijan","AZE","null","Sharif Sharifov","8/20/2016","Individual"
"Handball",30,"Handball",23,"Women's Handball",238,"8/20/2016","Gold",1,278,"Russia","RUS","null","null","8/20/2016","Team"
"Handball",30,"Handball",23,"Women's Handball",238,"8/20/2016","Silver",2,93,"France","FRA","null","null","8/20/2016","Team"
"Handball",30,"Handball",23,"Women's Handball",238,"8/20/2016","Bronze",3,180,"Norway","NOR","null","null","8/20/2016","Team"
"Basketball",20,"Basketball",6,"Women's Basketball",142,"8/20/2016","Gold",1,20,"United States","USA","null","null","8/20/2016","Team"
"Basketball",20,"Basketball",6,"Women's Basketball",142,"8/20/2016","Silver",2,216,"Spain","ESP","null","null","8/20/2016","Team"
"Basketball",20,"Basketball",6,"Women's Basketball",142,"8/20/2016","Bronze",3,207,"Serbia","SRB","null","null","8/20/2016","Team"
"Boxing",22,"Boxing",10,"Men's Middleweight-75 kg",717,"8/20/2016","Gold",1,73,"Cuba","CUB","null","Arlen Lopez","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Middleweight-75 kg",717,"8/20/2016","Silver",2,246,"Uzbekistan","UZB","null","Bektemir Melikuziev","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Middleweight-75 kg",717,"8/20/2016","Bronze",3,158,"Mexico","MEX","null","Misael Rodriguez","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Middleweight-75 kg",717,"8/20/2016","Bronze",3,35,"Azerbaijan","AZE","null","Kamran Shakhsuvarly","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Bantamweight-56 kg",654,"8/20/2016","Gold",1,73,"Cuba","CUB","null","Robeisy Ramirez","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Bantamweight-56 kg",654,"8/20/2016","Silver",2,20,"United States","USA","null","Shakur Stevenson","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Bantamweight-56 kg",654,"8/20/2016","Bronze",3,246,"Uzbekistan","UZB","null","Murodjon Akhmadaliev","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Bantamweight-56 kg",654,"8/20/2016","Bronze",3,278,"Russia","RUS","null","Vladimir Nikitin","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Flyweight-51 kg",737,"8/20/2016","Gold",1,274,"Great Britain","GBR","null","Nicola Adams","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Flyweight-51 kg",737,"8/20/2016","Silver",2,93,"France","FRA","null","Sarah Ourahmoune","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Flyweight-51 kg",737,"8/20/2016","Bronze",3,66,"Colombia","COL","null","Ingrid Lorena Valencia","8/20/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Flyweight-51 kg",737,"8/20/2016","Bronze",3,63,"China","CHN","null","Ren Cancan","8/20/2016","Individual"
"Cycling",25,"Mountain biking",30,"Women's cross-country",265,"8/20/2016","Gold",1,224,"Sweden","SWE","null","Jenny Rissveds","8/20/2016","Individual"
"Cycling",25,"Mountain biking",30,"Women's cross-country",265,"8/20/2016","Silver",2,189,"Poland","POL","null","Maja Wloszczowska","8/20/2016","Individual"
"Cycling",25,"Mountain biking",30,"Women's cross-country",265,"8/20/2016","Bronze",3,12,"Canada","CAN","null","Catharine Pendrel","8/20/2016","Individual"
"Golf",13,"Golf",21,"Women's Individual",224,"8/20/2016","Gold",1,281,"Republic of Korea","KOR","null","Inbee Park","8/20/2016","Individual"
"Golf",13,"Golf",21,"Women's Individual",224,"8/20/2016","Silver",2,5,"New Zealand","NZL","null","Lydia Ko","8/20/2016","Individual"
"Golf",13,"Golf",21,"Women's Individual",224,"8/20/2016","Bronze",3,63,"China","CHN","null","Shanshan Feng","8/20/2016","Individual"
"Triathlon",46,"Triathlon",50,"Women's individual",548,"8/20/2016","Gold",1,20,"United States","USA","null","Gwen Jorgensen","8/20/2016","Individual"
"Triathlon",46,"Triathlon",50,"Women's individual",548,"8/20/2016","Silver",2,225,"Switzerland","SUI","null","Nicola Spirig","8/20/2016","Individual"
"Triathlon",46,"Triathlon",50,"Women's individual",548,"8/20/2016","Bronze",3,274,"Great Britain","GBR","null","Vicky Holland","8/20/2016","Individual"
"Badminton",6,"Badminton",4,"Men's singles",135,"8/20/2016","Gold",1,63,"China","CHN","null","Chen Long","8/20/2016","Individual"
"Badminton",6,"Badminton",4,"Men's singles",135,"8/20/2016","Silver",2,149,"Malaysia","MAS","null","Lee Chong Wei","8/20/2016","Individual"
"Badminton",6,"Badminton",4,"Men's singles",135,"8/20/2016","Bronze",3,76,"Denmark","DEN","null","Viktor Axelsen","8/20/2016","Individual"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-4 1000 m",425,"8/20/2016","Gold",1,102,"Germany","GER","null","null","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-4 1000 m",425,"8/20/2016","Silver",2,211,"Slovakia","SVK","null","null","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-4 1000 m",425,"8/20/2016","Bronze",3,75,"Czech Republic","CZE","null","null","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Women's K-4 500 m",440,"8/20/2016","Gold",1,119,"Hungary","HUN","null","null","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Women's K-4 500 m",440,"8/20/2016","Silver",2,102,"Germany","GER","null","null","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Women's K-4 500 m",440,"8/20/2016","Bronze",3,39,"Belarus","BLR","null","null","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Men's C-2 1000 m",420,"8/20/2016","Gold",1,102,"Germany","GER","null","Jan Vandrey / Sebastian Brendel","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Men's C-2 1000 m",420,"8/20/2016","Silver",2,48,"Brazil","BRA","null","Isaquias Queiroz dos Santos / Erlon Silva","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Men's C-2 1000 m",420,"8/20/2016","Bronze",3,241,"Ukraine","UKR","null","Dmytro Ianchuk / Taras Mishchuk","8/20/2016","Team"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-1 200 m",421,"8/20/2016","Gold",1,274,"Great Britain","GBR","null","Liam Heath","8/20/2016","Individual"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-1 200 m",421,"8/20/2016","Silver",2,93,"France","FRA","null","Maxime Beaumont","8/20/2016","Individual"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-1 200 m",421,"8/20/2016","Bronze",3,102,"Germany","GER","null","Ronald Rauhe","8/20/2016","Individual"
"Canoeing and kayaking",23,"Sprint",42,"Men's K-1 200 m",421,"8/20/2016","Bronze",3,216,"Spain","ESP","null","Saul Craviotto","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's Pole vault",123,"8/19/2016","Gold",1,105,"Greece","GRE","null","Ekaterini Stefanidi","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Women's Pole vault",123,"8/19/2016","Silver",2,20,"United States","USA","null","Sandi Morris","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Women's Pole vault",123,"8/19/2016","Bronze",3,5,"New Zealand","NZL","null","Eliza McCartney","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Hammer throw",75,"8/19/2016","Gold",1,228,"Tajikistan","TJK","null","Dilshod Nazarov","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Hammer throw",75,"8/19/2016","Silver",2,39,"Belarus","BLR","null","Ivan Tsikhan","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Hammer throw",75,"8/19/2016","Bronze",3,189,"Poland","POL","null","Wojciech Nowicki","8/19/2016","Individual"
"Cycling",25,"BMX",9,"Men's BMX",146,"8/19/2016","Gold",1,20,"United States","USA","null","Connor Fields","8/19/2016","Individual"
"Cycling",25,"BMX",9,"Men's BMX",146,"8/19/2016","Silver",2,15,"Netherlands","NED","null","Jelle van Gorkom","8/19/2016","Individual"
"Cycling",25,"BMX",9,"Men's BMX",146,"8/19/2016","Bronze",3,66,"Colombia","COL","null","Carlos Ramirez","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Welterweight",649,"8/19/2016","Gold",1,126,"Ivory Coast","CIV","null","Cheick Sallah Cisse","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Welterweight",649,"8/19/2016","Silver",2,274,"Great Britain","GBR","null","Lutalo Muhammad","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Welterweight",649,"8/19/2016","Bronze",3,35,"Azerbaijan","AZE","null","Milad Beigi Harchegani","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Welterweight",649,"8/19/2016","Bronze",3,235,"Tunisia","TUN","null","Oussama Oueslati","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Welterweight",651,"8/19/2016","Gold",1,281,"Republic of Korea","KOR","null","Oh Hyeri","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Welterweight",651,"8/19/2016","Silver",2,93,"France","FRA","null","Haby Niare","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Welterweight",651,"8/19/2016","Bronze",3,236,"Turkey","TUR","null","Nur Tatar","8/19/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Women's Welterweight",651,"8/19/2016","Bronze",3,126,"Ivory Coast","CIV","null","Ruth Gbagbi","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 5000 metres",113,"8/19/2016","Gold",1,14,"Kenya","KEN","null","Vivian Cheruiyot","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 5000 metres",113,"8/19/2016","Silver",2,14,"Kenya","KEN","null","Hellen Onsando Obiri","8/19/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 5000 metres",113,"8/19/2016","Bronze",3,88,"Ethiopia","ETH","null","Almaz Ayana","8/19/2016","Individual"
