AC_NO,party_name,ST_CD,O.S.N.,NAME,EVM Votes,Postal Votes,VOTES,vote_percent,ST_NAME,AC_NAME,Migrant Votes,polled_votes,#,Vote %,Deposit Threshold,color_code,YEAR,PARTY,a_constituency,Category,District,p_constituency,Region
7,Indian National Congress,S01,2,Kottakotla Simhadri Naidu,2126,9,2135,1.09,Andhra Pradesh,Etcherla,0,195372,5,1.0927870933398849,0,#3498DB,2019,INC,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Yuvajana Sramika Rythu Congress Party,S01,3,Gorle. Kiran Kumar,99070,602,99672,51.02,Andhra Pradesh,Etcherla,0,195372,1,51.016522326638416,1,#08406F,2019,YSRCP,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Bharatiya Janata Party,S01,4,Rokkam. Suryaprakash Rao,988,34,1022,0.52,Andhra Pradesh,Etcherla,0,195372,6,0.5231046414020433,0,#00A951,2019,BJP,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Pyramid Party of India,S01,5,Kari. Siva Rao,195,0,195,0.1,Andhra Pradesh,Etcherla,0,195372,10,0.099809594,0,#004274,2019,PPI,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Janasena Party,S01,6,Badana. Venkata Janardhana Rao,4992,76,5068,2.59,Andhra Pradesh,Etcherla,0,195372,3,2.594025755993694,0,#D22215,2019,JP,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Independent,S01,7,Ananth Mahanthi,269,0,269,0.14,Andhra Pradesh,Etcherla,0,195372,9,0.1376860553201072,0,#CEB58C,2019,IND,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Independent,S01,8,Mahanthi. Satyanarayana.,782,0,782,0.4,Andhra Pradesh,Etcherla,0,195372,7,0.4002620641647728,0,#CEB58C,2019,IND,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,Independent,S01,9,Mudili Venkata Ramana,640,0,640,0.33,Andhra Pradesh,Etcherla,0,195372,8,0.3275802059660545,0,#CEB58C,2019,IND,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
7,None of the Above,S01,10,NOTA,4623,5,4628,2.37,Andhra Pradesh,Etcherla,0,195372,4,2.368814364392032,0,#DDD1CA,2019,NOTA,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
8,Indian National Congress,S01,1,Dola Udayabhaskara Rao,5235,0,5235,3.16,Andhra Pradesh,Narasannapeta,0,165449,3,3.1641170390875737,0,#3498DB,2019,INC,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Yuvajana Sramika Rythu Congress Party,S01,2,DHARMANA KRISHNA DAS,85622,0,85622,51.75,Andhra Pradesh,Narasannapeta,0,165449,1,51.75129496098496,1,#08406F,2019,YSRCP,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Telugu Desam,S01,3,Baggu Ramana Murthy,66597,0,66597,40.25,Andhra Pradesh,Narasannapeta,0,165449,2,40.25228318091981,1,#AB9005,2019,TDP,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Bharatiya Janata Party,S01,4,Reddi Bhagya Lakshmi,758,0,758,0.46,Andhra Pradesh,Narasannapeta,0,165449,6,0.4581472236157365,0,#00A951,2019,BJP,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Jana Jagruti Party,S01,5,Dandupati Koteshwar Rao,334,0,334,0.2,Andhra Pradesh,Narasannapeta,0,165449,9,0.2018748980048232,0,#004274,2019,Others,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Janasena Party,S01,6,Metta Vaikunta Rao,2373,0,2373,1.43,Andhra Pradesh,Narasannapeta,0,165449,5,1.434278841213909,0,#D22215,2019,JP,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Independent,S01,7,Naidugari Rajasekhar,255,0,255,0.15,Andhra Pradesh,Narasannapeta,0,165449,10,0.1541260448839219,0,#CEB58C,2019,IND,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Independent,S01,8,Bheri Venkata Ramana,339,0,339,0.2,Andhra Pradesh,Narasannapeta,0,165449,8,0.2048969773162726,0,#CEB58C,2019,IND,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,Independent,S01,9,Satya Tadi,451,0,451,0.27,Andhra Pradesh,Narasannapeta,0,165449,7,0.2725915538927403,0,#CEB58C,2019,IND,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
8,None of the Above,S01,10,NOTA,3485,0,3485,2.11,Andhra Pradesh,Narasannapeta,0,165449,4,2.1063892800802666,0,#DDD1CA,2019,NOTA,Narasannapeta,GEN,Srikakulam,Srikakulam,Coastal Andhra
9,Yuvajana Sramika Rythu Congress Party,S01,1,KAMBALA JOGULU,82569,992,83561,51.41,Andhra Pradesh,Rajam,0,162534,1,51.41139700001231,1,#08406F,2019,YSRCP,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
9,Indian National Congress,S01,2,KAMBALA RAJAVARDHANA,2205,9,2214,1.36,Andhra Pradesh,Rajam,0,162534,5,1.362176529218502,0,#3498DB,2019,INC,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
9,Telugu Desam,S01,3,KONDRU MURALI MOHAN,66272,441,66713,41.05,Andhra Pradesh,Rajam,0,162534,2,41.04556585083736,1,#AB9005,2019,TDP,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
9,Bharatiya Janata Party,S01,4,CHAITANYA KUMAR MANNENA,924,43,967,0.59,Andhra Pradesh,Rajam,0,162534,6,0.5949524407200955,0,#00A951,2019,BJP,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
9,Praja Shanthi Party,S01,5,MANNENA RAMESH,505,0,505,0.31,Andhra Pradesh,Rajam,0,162534,7,0.3107042218858823,0,#004274,2019,PRSP,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
9,Janasena Party,S01,6,MUTCHA SRINIVASA RAO,4924,63,4987,3.07,Andhra Pradesh,Rajam,0,162534,3,3.068281098108703,0,#D22215,2019,JP,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
9,None of the Above,S01,7,NOTA,3583,4,3587,2.21,Andhra Pradesh,Rajam,0,162534,4,2.2069228592171486,0,#DDD1CA,2019,NOTA,Rajam,SC,Vizianagaram,Vizianagaram,Coastal Andhra
10,Telugu Desam,S01,1,JAYAKRISHNA NIMMAKA,53622,452,54074,39.55,Andhra Pradesh,Palakonda,0,136712,2,39.55322137047224,1,#AB9005,2019,TDP,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,Yuvajana Sramika Rythu Congress Party,S01,2,VISWASARAYI KALAVATHI,70778,1276,72054,52.7,Andhra Pradesh,Palakonda,0,136712,1,52.70495640470478,1,#08406F,2019,YSRCP,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,Communist Party of India,S01,3,DVG SANKARA RAO,3283,60,3343,2.45,Andhra Pradesh,Palakonda,0,136712,4,2.445286441570601,0,#F27A67,2019,CPI,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,Bharatiya Janata Party,S01,4,SUNEETHA THADANGI,1121,48,1169,0.86,Andhra Pradesh,Palakonda,0,136712,5,0.855082217,0,#00A951,2019,BJP,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,Indian National Congress,S01,5,H. PRASAD RAO,994,7,1001,0.73,Andhra Pradesh,Palakonda,0,136712,6,0.7321961495698988,0,#3498DB,2019,INC,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,Independent,S01,6,ARIKA KRISHNA RAO,786,5,791,0.58,Andhra Pradesh,Palakonda,0,136712,7,0.5785885657440459,0,#CEB58C,2019,IND,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,Independent,S01,7,GANGAMMA SAVARA,730,2,732,0.54,Andhra Pradesh,Palakonda,0,136712,8,0.535432149,0,#CEB58C,2019,IND,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
10,None of the Above,S01,8,NOTA,3544,4,3548,2.6,Andhra Pradesh,Palakonda,0,136712,3,2.595236701972029,0,#DDD1CA,2019,NOTA,Palakonda,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,Communist Party of India  (Marxist),S01,1,AVINASH KUMAR KOLAKA,8551,54,8605,6.01,Andhra Pradesh,Kurupam,0,143258,3,6.006645353139092,0,#F27A67,2019,CPI(M),Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,Bharatiya Janata Party,S01,2,NIMMAKA. JAYARAJU.,4137,67,4204,2.93,Andhra Pradesh,Kurupam,0,143258,5,2.9345656089014227,0,#00A951,2019,BJP,Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,Indian National Congress,S01,3,NIMMAKA SIMHACHALAM,2198,6,2204,1.54,Andhra Pradesh,Kurupam,0,143258,6,1.5384830166552654,0,#3498DB,2019,INC,Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,Yuvajana Sramika Rythu Congress Party,S01,4,PUSHPASREEVANI . PAMULA,73863,664,74527,52.02,Andhra Pradesh,Kurupam,0,143258,1,52.02292367616468,1,#08406F,2019,YSRCP,Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,Telugu Desam,S01,5,VEERA VARA THODRAMAL NARA SIMHA PRIYA THATRAJ,47607,318,47925,33.45,Andhra Pradesh,Kurupam,0,143258,2,33.453629116698544,1,#AB9005,2019,TDP,Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,Independent,S01,6,NIMMAKA VASUDEVARAO,1257,1,1258,0.88,Andhra Pradesh,Kurupam,0,143258,7,0.8781359505228329,0,#CEB58C,2019,IND,Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
11,None of the Above,S01,7,NOTA,4534,1,4535,3.17,Andhra Pradesh,Kurupam,0,143258,4,3.165617277918162,0,#DDD1CA,2019,NOTA,Kurupam,ST,Parvathipuram Manyam,Araku,Coastal Andhra
12,Yuvajana Sramika Rythu Congress Party,S01,1,ALAJANGI JOGARAO,74223,1081,75304,53.53,Andhra Pradesh,Parvathipuram,0,140675,1,53.530478052248085,1,#08406F,2019,YSRCP,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,Telugu Desam,S01,2,Bobbili Chiranjeevulu,50661,444,51105,36.33,Andhra Pradesh,Parvathipuram,0,140675,2,36.32841656299982,1,#AB9005,2019,TDP,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,Indian National Congress,S01,3,RAMUDU HARIYALA,1964,6,1970,1.4,Andhra Pradesh,Parvathipuram,0,140675,5,1.4003909720988093,0,#3498DB,2019,INC,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,Bharatiya Janata Party,S01,4,SURAGALA UMA MAHESWARA RAO,960,26,986,0.7,Andhra Pradesh,Parvathipuram,0,140675,6,0.7009063444108762,0,#00A951,2019,BJP,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,Janasena Party,S01,5,GONGADA GOWRI SANKARA RAO,6538,71,6609,4.7,Andhra Pradesh,Parvathipuram,0,140675,3,4.698062910964991,0,#D22215,2019,JP,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,Independent,S01,6,JAYARATNA KUMAR SAILA,714,1,715,0.51,Andhra Pradesh,Parvathipuram,0,140675,7,0.508263728,0,#CEB58C,2019,IND,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,Independent,S01,7,HARIYALA PRAMEELA,465,0,465,0.33,Andhra Pradesh,Parvathipuram,0,140675,8,0.3305491380842367,0,#CEB58C,2019,IND,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
12,None of the Above,S01,8,NOTA,3515,6,3521,2.5,Andhra Pradesh,Parvathipuram,0,140675,4,2.502932291,0,#DDD1CA,2019,NOTA,Parvathipuram,SC,Parvathipuram Manyam,Araku,Coastal Andhra
13,Bharatiya Janata Party,S01,1,KONDAGORRI. UDAY KUMAR,3247,21,3268,2.15,Andhra Pradesh,Salur,0,151713,5,2.1540672190253964,0,#00A951,2019,BJP,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Yuvajana Sramika Rythu Congress Party,S01,2,PEEDIKA. RAJANNA DORA,77616,814,78430,51.7,Andhra Pradesh,Salur,0,151713,1,51.69629497801771,1,#08406F,2019,YSRCP,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Telugu Desam,S01,3,R. P. BHANJ DEO,58085,316,58401,38.49,Andhra Pradesh,Salur,0,151713,2,38.49439402028831,1,#AB9005,2019,TDP,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Indian National Congress,S01,4,RAYALA. SUNDARA RAO,1731,6,1737,1.14,Andhra Pradesh,Salur,0,151713,6,1.1449249569911608,0,#3498DB,2019,INC,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Janasena Party,S01,5,BONELA. GOVINDAMMA,3257,51,3308,2.18,Andhra Pradesh,Salur,0,151713,4,2.1804327908616927,0,#D22215,2019,JP,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Independent,S01,6,JANNI. SIMHACHALAM,361,0,361,0.24,Andhra Pradesh,Salur,0,151713,9,0.2379492858225728,0,#CEB58C,2019,IND,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Independent,S01,7,M. PARAMMA,498,0,498,0.33,Andhra Pradesh,Salur,0,151713,8,0.3282513693618872,0,#CEB58C,2019,IND,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,Independent,S01,8,LACHAYYA. TELUGU,836,0,836,0.55,Andhra Pradesh,Salur,0,151713,7,0.5510404513785898,0,#CEB58C,2019,IND,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
13,None of the Above,S01,9,NOTA,4871,3,4874,3.21,Andhra Pradesh,Salur,0,151713,3,3.212644928252688,0,#DDD1CA,2019,NOTA,Salur,ST,Parvathipuram Manyam,Araku,Coastal Andhra
14,Bharatiya Janata Party,S01,1,DWARAPUREDDI RAMA MOHANA RAO,3080,45,3125,1.79,Andhra Pradesh,Bobbili,0,174457,4,1.7912723479138126,0,#00A951,2019,BJP,Bobbili,GEN,Vizianagaram,Vizianagaram,Coastal Andhra
14,Indian National Congress,S01,2,Dr. NARAYANA RAO VENGALA,2142,6,2148,1.23,Andhra Pradesh,Bobbili,0,174457,6,1.231248961062038,0,#3498DB,2019,INC,Bobbili,GEN,Vizianagaram,Vizianagaram,Coastal Andhra
