Rank,Name,Title,Organization,Age,url,image,,,
13,Warren Buffett,CEO,Berkshire Hathaway,83,http://www.forbes.com/profile/warren-buffett/,http://i.forbesimg.com/media/lists/people/warren-buffett_50x50.jpg,,,
14,Li Keqiang,Premier,China,58,http://www.forbes.com/profile/li-keqiang/,http://i.forbesimg.com/media/lists/people/li-keqiang_50x50.jpg,,,
15,Jeff Bezos,CEO,Amazon.com,50,http://www.forbes.com/profile/jeff-bezos/,http://i.forbesimg.com/media/lists/people/jeff-bezos_50x50.jpg,,,
16,Rex Tillerson,CEO,Exxon Mobil,62,http://www.forbes.com/profile/rex-tillerson/,http://i.forbesimg.com/media/lists/people/rex-tillerson_50x50.jpg,,,
17,Sergey Brin,"Cofounder, Director Of Special Projects",Google,40,http://www.forbes.com/profile/sergey-brin/,http://i.forbesimg.com/media/lists/people/sergey-brin_50x50.jpg,,,
17,Larry Page,CEO,Google,41,http://www.forbes.com/profile/larry-page/,http://i.forbesimg.com/media/lists/people/larry-page_50x50.jpg,,,
18,Francois Hollande,President,France,59,http://www.forbes.com/profile/francois-hollande/,http://i.forbesimg.com/media/lists/people/francois-hollande_50x50.jpg,,,
19,Timothy Cook,CEO,Apple,53,http://www.forbes.com/profile/timothy-cook/,http://i.forbesimg.com/media/lists/people/timothy-cook_50x50.jpg,,,
20,Dilma Rousseff,President,Brazil,66,http://www.forbes.com/profile/dilma-rousseff/,http://i.forbesimg.com/media/lists/people/dilma-rousseff_50x50.jpg,,,
21,Sonia Gandhi,"President, Indian National Congress",India,67,http://www.forbes.com/profile/sonia-gandhi/,http://i.forbesimg.com/media/lists/people/sonia-gandhi_50x50.jpg,,,
22,Jamie Dimon,CEO,JPMorgan Chase,58,http://www.forbes.com/profile/jamie-dimon/,http://i.forbesimg.com/media/lists/people/jamie-dimon_50x50.jpg,,,
23,Ali Hoseini-Khamenei,Grand Ayatollah,Iran,74,http://www.forbes.com/profile/ali-hoseini-khamenei/,http://i.forbesimg.com/media/lists/people/ali-hoseini-khamenei_50x50.jpg,,,
24,Mark Zuckerberg,"Cofounder, Chairman and CEO",Facebook,30,http://www.forbes.com/profile/mark-zuckerberg/,http://i.forbesimg.com/media/lists/people/mark-zuckerberg_50x50.jpg,,,
25,Jeffrey Immelt,CEO,General Electric,58,http://www.forbes.com/profile/jeffrey-immelt/,http://i.forbesimg.com/media/lists/people/jeffrey-immelt_50x50.jpg,,,
26,Benjamin Netanyahu,Prime Minister,Israel,64,http://www.forbes.com/profile/benjamin-netanyahu/,http://i.forbesimg.com/media/lists/people/benjamin-netanyahu_50x50.jpg,,,
27,Lloyd Blankfein,CEO,Goldman Sachs Group,59,http://www.forbes.com/profile/lloyd-blankfein/,http://i.forbesimg.com/media/lists/people/lloyd-blankfein_50x50.jpg,,,
28,Manmohan Singh,Prime Minister,India,81,http://www.forbes.com/profile/manmohan-singh/,http://i.forbesimg.com/media/lists/people/manmohan-singh_50x50.jpg,,,
29,Michael Bloomberg,"Mayor, New York City",United States,72,http://www.forbes.com/profile/michael-bloomberg/,http://i.forbesimg.com/media/lists/people/michael-bloomberg_50x50.jpg,,,
30,Li Ka-shing,Chairman,Hutchison Whampoa,85,http://www.forbes.com/profile/li-ka-shing/,http://i.forbesimg.com/media/lists/people/li-ka-shing_50x50.jpg,,,
31,Charles Koch,CEO,Koch Industries,78,http://www.forbes.com/profile/charles-koch/,http://i.forbesimg.com/media/lists/people/charles-koch_50x50.jpg,,,
31,David Koch,Executive Vice President,Koch Industries,74,http://www.forbes.com/profile/david-koch/,http://i.forbesimg.com/media/lists/people/david-koch_50x50.jpg,,,
32,Ban Ki-moon,Secretary-General,United Nations,69,http://www.forbes.com/profile/ban-ki-moon/,http://i.forbesimg.com/media/lists/people/ban-ki-moon_50x50.jpg,,,
33,Rupert Murdoch & family,Chairman and CEO,News Corp,83,http://www.forbes.com/profile/rupert-murdoch/,http://i.forbesimg.com/media/lists/people/rupert-murdoch_50x50.jpg,,,
34,Khalifa bin Zayed Al-Nahyan,President,United Arab Emirates,66,http://www.forbes.com/profile/khalifa-bin-zayed-al-nahyan/,http://i.forbesimg.com/media/lists/people/khalifa-bin-zayed-al-nahyan_50x50.jpg,,,
35,Christine Lagarde,Managing Director,International Monetary Fund,58,http://www.forbes.com/profile/christine-lagarde/,http://i.forbesimg.com/media/lists/people/christine-lagarde_50x50.jpg,,,
36,Xuedong Ding,"Chairman, China Investment Corp",China,54,http://www.forbes.com/profile/xuedong-ding/,http://i.forbesimg.com/media/lists/people/xuedong-ding_50x50.jpg,,,
37,Enrique Pena Nieto,President,Mexico,47,http://www.forbes.com/profile/enrique-pena-nieto/,http://i.forbesimg.com/media/lists/people/enrique-pena-nieto_50x50.jpg,,,
38,Mukesh Ambani,Chairman,Reliance Industries,57,http://www.forbes.com/profile/mukesh-ambani/,http://i.forbesimg.com/media/lists/people/mukesh-ambani_50x50.jpg,,,
39,Haruhiko Kuroda,"Governor, Bank of Japan",Japan,69,http://www.forbes.com/profile/haruhiko-kuroda/,http://i.forbesimg.com/media/lists/people/haruhiko-kuroda_50x50.jpg,,,
40,Ali Al-Naimi,Oil Minister,Saudi Arabia,79,http://www.forbes.com/profile/ali-al-naimi/,http://i.forbesimg.com/media/lists/people/ali-al-naimi_50x50.jpg,,,
41,Lee Kun-Hee,Chairman,Samsung Group,72,http://www.forbes.com/profile/lee-kun-hee/,http://i.forbesimg.com/media/lists/people/lee-kun-hee_50x50.jpg,,,
42,Larry Fink,"Cofounder, CEO",BlackRock,61,http://www.forbes.com/profile/larry-fink/,http://i.forbesimg.com/media/lists/people/larry-fink_50x50.jpg,,,
43,Bill Clinton,Chairman,Clinton Global Initiative,67,http://www.forbes.com/profile/bill-clinton/,http://i.forbesimg.com/media/lists/people/bill-clinton_50x50.jpg,,,
44,Akio Toyoda,CEO,Toyota Motor,58,http://www.forbes.com/profile/akio-toyoda/,http://i.forbesimg.com/media/lists/people/akio-toyoda_50x50.jpg,,,
45,Masayoshi Son,CEO,Softbank,56,http://www.forbes.com/profile/masayoshi-son/,http://i.forbesimg.com/media/lists/people/masayoshi-son_50x50.jpg,,,
46,Kim Jong-un,Supreme Leader,North Korea,31,http://www.forbes.com/profile/kim-jong-un/,http://i.forbesimg.com/media/lists/people/kim-jong-un_50x50.jpg,,,
47,Elon Musk,"Founder, CEO",Space Exploration Technologies Corp.,42,http://www.forbes.com/profile/elon-musk/,http://i.forbesimg.com/media/lists/people/elon-musk_50x50.jpg,,,
48,Terry Gou,CEO,Hon Hai Precision,63,http://www.forbes.com/profile/terry-gou/,http://i.forbesimg.com/media/lists/people/terry-gou_50x50.jpg,,,
49,Martin Winterkorn,Chairman,Volkswagen Group,67,http://www.forbes.com/profile/martin-winterkorn/,http://i.forbesimg.com/media/lists/people/martin-winterkorn_50x50.jpg,,,
50,Jim Yong Kim,President,World Bank,54,http://www.forbes.com/profile/jim-yong-kim/,http://i.forbesimg.com/media/lists/people/jim-yong-kim_50x50.jpg,,,
51,Lakshmi Mittal,Chairman and CEO,ArcelorMittal,63,http://www.forbes.com/profile/lakshmi-mittal/,http://i.forbesimg.com/media/lists/people/lakshmi-mittal_50x50.jpg,,,
52,Geun-hye Park,President,South Korea,62,http://www.forbes.com/profile/geun-hye-park/,http://i.forbesimg.com/media/lists/people/geun-hye-park_50x50.jpg,,,
53,Dmitry Medvedev,Prime Minister,Russia,48,http://www.forbes.com/profile/dmitry-medvedev/,http://i.forbesimg.com/media/lists/people/dmitry-medvedev_50x50.jpg,,,
54,Bernard Arnault & family,Chairman and CEO,LVMH Moet Hennessy Louis Vuitton,65,http://www.forbes.com/profile/bernard-arnault/,http://i.forbesimg.com/media/lists/people/bernard-arnault_50x50.jpg,,,
55,Bill Gross,Cofounder and Co-Chief Investment Officer,Pacific Investment Management Company LLC,70,http://www.forbes.com/profile/bill-gross/,http://i.forbesimg.com/media/lists/people/bill-gross_50x50.jpg,,,
56,Virginia Rometty,CEO,IBM,56,http://www.forbes.com/profile/virginia-rometty/,http://i.forbesimg.com/media/lists/people/virginia-rometty_50x50.jpg,,,
57,Shinzo Abe,Prime Minister,Japan,59,http://www.forbes.com/profile/shinzo-abe/,http://i.forbesimg.com/media/lists/people/shinzo-abe_50x50.jpg,,,
58,Larry Ellison,CEO and Founder,Oracle,69,http://www.forbes.com/profile/larry-ellison/,http://i.forbesimg.com/media/lists/people/larry-ellison_50x50.jpg,,,
59,Margaret Chan,Director-General,World Health Organization,66,http://www.forbes.com/profile/margaret-chan/,http://i.forbesimg.com/media/lists/people/margaret-chan_50x50.jpg,,,
60,Igor Sechin,Chairman,Rosneft,53,http://www.forbes.com/profile/igor-sechin/,http://i.forbesimg.com/media/lists/people/igor-sechin_50x50.jpg,,,
61,Robin Li,Founder and CEO,Baidu,45,http://www.forbes.com/profile/robin-li/,http://i.forbesimg.com/media/lists/people/robin-li_50x50.jpg,,,
62,John Roberts,"Chief Justice, U.S. Supreme Court",United States,59,http://www.forbes.com/profile/john-roberts/,http://i.forbesimg.com/media/lists/people/john-roberts_50x50.jpg,,,
63,Alisher Usmanov,Founder,Metalloinvest,60,http://www.forbes.com/profile/alisher-usmanov/,http://i.forbesimg.com/media/lists/people/alisher-usmanov_50x50.jpg,,,
64,Aliko Dangote,CEO,Dangote Group,57,http://www.forbes.com/profile/aliko-dangote/,http://i.forbesimg.com/media/lists/people/aliko-dangote_50x50.jpg,,,
65,Reid Hoffman,Chairman and Cofounder,LinkedIn,46,http://www.forbes.com/profile/reid-hoffman/,http://i.forbesimg.com/media/lists/people/reid-hoffman_50x50.jpg,,,
66,John Boehner,"Speaker, U.S. House of Representatives",United States,64,http://www.forbes.com/profile/john-boehner/,http://i.forbesimg.com/media/lists/people/john-boehner_50x50.jpg,,,
67,Joaquin Guzman Loera,Drug Trafficker,Sinaloa Cartel,57,http://www.forbes.com/profile/joaquin-guzman-loera/,http://i.forbesimg.com/media/lists/people/joaquin-guzman-loera_50x50.jpg,,,
68,Jill Abramson,Executive Editor,New York Times Co.,60,http://www.forbes.com/profile/jill-abramson/,http://i.forbesimg.com/media/lists/people/jill-abramson_50x50.jpg,,,
69,Joseph Blatter,President,FIFA,78,http://www.forbes.com/profile/joseph-blatter/,http://i.forbesimg.com/media/lists/people/joseph-blatter_50x50.jpg,,,
70,Yngve Slyngstad,"CEO, Norges Bank Investment Management",Norway,51,http://www.forbes.com/profile/yngve-slyngstad/,http://i.forbesimg.com/media/lists/people/yngve-slyngstad_50x50.jpg,,,
71,Mohammed Ibrahim,Founder,Mo Ibrahim Foundation,68,http://www.forbes.com/profile/mohammed-ibrahim/,http://i.forbesimg.com/media/lists/people/mohammed-ibrahim_50x50.jpg,,,
72,Janet Yellen,"Vice Chairman, Federal Reserve","Washington, United States",67,http://www.forbes.com/profile/janet-yellen/,http://i.forbesimg.com/media/lists/people/janet-yellen_50x50.jpg,,,
