party,year,votes
BJMD,1989,2368
BJP,1984,18202853
BJP,1985,263284
BJP,1989,34171477
BJP,1991,55345075
BJP,1992,497999
BJP,1996,67950851
BJP,1998,94266188
BJP,1999,86562209
BJP,2004,86371561
BJP,2009,78435381
BJS,1951,3246361
BJS,1957,7193267
BJS,1967,13580935
BJS,1971,10777119
BJS,1989,22446
BJS,1991,19243
BJS,1996,7338
BJS,1998,1425
BJSH,2009,1296
BJTP,1996,1867
BJTP,1998,9367
BJTP,2009,6872
BJVP,2004,543
BKD,1971,3189821
BKD,1996,6968
BKD,1998,2466
BKD,1999,1218
BKD,2004,52669
BKD(J),1996,11735
BKD(J),1998,4525
BKD(J),1999,3090
BKKGP,1998,711080
BKKP,1998,4852
BKLJP,2004,2055
BKLJP,2009,790
BKRP,2004,12547
BKS,1989,367
BKS,1996,1439
BKUS,1989,5895
BKUS,1991,42504
BKUS,1992,1349
BKUS,1996,17744
BLD,1977,78062828
BLKD,1989,145
BLKD,1999,2896
BLKD,2004,2242
BLKD,2009,5197
BLLP,1998,9959
BLMD,1991,10837
BLP,1996,3550
BLP,2004,1758
BLPGL,2009,3359
BLPY,1996,4018
BLTMD,1996,5075
BLTP,1996,857
BMC,1989,1357
BMC,1999,384
BMF,1998,1045
BMF,1999,737
BMF,2009,13737
BMM,2009,1211
BMP(AI),1999,338
BMP(AI),2004,566
BMRD,1996,2796
BMSM,1996,10657
BMSM,1998,3030
BMSM,1999,2151
BMSM,2004,8200
BMSM,2009,9871
BMVP,2004,24176
BND,1999,3895
BNJD,2009,7194
BNJP,1996,2024
BNJS,1999,806
BNP,2004,171080
BNRP,2004,1580
BNRP,2009,1464
BOP,1996,2088
BOP,1999,3120
BOP,2009,47720
BOPF,2009,656430
BPC,2009,2798
BPD,2009,14974
BPF,1996,231
BPI,1951,25792
BPI,1996,4345
BPJP,2009,9457
BPM,1996,231
BPM,1998,1111
BPM,1999,508
BPSGKD,2004,1689
BPSP,1999,607810
BPSP,2004,86418
BPTP,2004,573
BRC,1996,1967
BRC,1998,6122
BRD,1996,53
BREM,2009,42386
BRM,1996,3181
BRM,2009,867
BRP,1971,4982
BRP,1989,572434
BRP,1991,327941
BRP,1996,3724
BRP,2004,11459
BRP,2009,1407
BRPP,1999,40636
BRPP,2004,16546
BRPP,2009,25940
BRVP,1998,11881
BSA,2009,18844
BSC,2009,4758
BSD,1999,7607
BSD,2009,5565
BSDP,2004,427
BSJM,2004,515
BSK,1996,89
BSK,2004,365
BSK,2009,496
BSKP,2009,15734
BSKPB,2009,2822
BSKRP,2009,5068
BSNP,1991,120
BSP,1980,39399
BSP,1989,6213390
BSP,1991,4420719
BSP,1992,594628
BSP,1996,13453235
BSP,1998,17186779
BSP,1999,15175845
BSP,2004,20765229
BSP,2009,25728920
BSP(A),1996,52585
BSP(A),1998,43402
BSP(A),1999,39494
BSP(AP),2009,10698
BSP(K),2009,33010
BSP(R),1996,3114
BSRD,2009,6250
BSSM,1996,535
BSSP,2009,15948
BSSPA,2009,11151
BSVP,1996,805
BUDM,2009,4210
BUM,2009,15272
BVA,2009,223234
BVM,2009,5645
BVP,1998,1833
BVP,2004,4533
BVP,2009,1435
BVVP,2009,1774
Bahujan Kranti Party (Marxwad-Ambedkarwad),2014,1174
Bahujan Mukti Party,2014,785358
Bahujan Samaj Party,2014,22946182
Bahujan Samaj Party  (Ambedkar),2014,11104
Bahujan Sangharsh Party (Kanshiram),2014,5416
Bahujan Sangharshh Dal,2014,59813
Bahujan Suraksha Dal,2014,1723
Bahujan Vikas Aaghadi,2014,293681
Bajjikanchal Vikas Party,2014,21524
Bharat Bhrashtachar Mitao Party,2014,10160
Bharat Ki Lok Jimmedar Party,2014,3392
Bharat Nav Nirman Party,2014,2533
Bharat Nirman Party,2014,2000
Bharat Vikas Morcha,2014,45667
Bharat Vishal Party,2014,161
Bharatiya Bahujan Congress,2014,7197
Bharatiya Bahujan Party,2014,4653
Bharatiya Dr. B.R.Ambedkar Janta Party,2014,9481
Bharatiya Ekta Dal,2014,90315
Bharatiya Gaon Taj Dal,2014,5761
Bharatiya Inqalab Party,2014,5362
Bharatiya Jan Kranti Dal (Democratic),2014,14685
Bharatiya Janata Party,2014,171657549
Bharatiya Jawala Shakti Paksha,2014,1337
Bharatiya Kisan Parivartan Party,2014,7342
Bharatiya Kisan Sena Loktantrik,2014,3826
Bharatiya Minorities Suraksha Mahasangh,2014,3441
Bharatiya Momin Front,2014,16182
Bharatiya Mool Niwasi Samaj Party,2014,877
Bharatiya National Janta Dal,2014,20209
Bharatiya Nav Kranti Party,2014,502
Bharatiya Navyuvak Party,2014,1408
Bharatiya Peoples Party,2014,4291
Bharatiya Rashtriya Bahujan Samaj Vikas Party,2014,3238
Bharatiya Rashtriya Mazdoor Dal,2014,1607
Bharatiya Republican Paksha,2014,8226
Bharatiya Samaj Dal,2014,1096
Bharatiya Sant Mat Party,2014,15940
Bharatiya Sarvodaya Kranti Party,2014,2409
Bharatiya Yuva Shakti,2014,38633
Bharipa Bahujan Mahasangh,2014,360854
Bharti Jan Suraksha Party,2014,3336
Bhartiya  Sarvjan Party,2014,5845
Bhartiya Chaitanya Party,2014,802
Bhartiya Ekta Manch Party,2014,8729
Bhartiya Jan Manch,2014,325
Bhartiya Jan Yug Party,2014,2000
Bhartiya Janta Dal (Integrated),2014,1118
Bhartiya Jantantrik Janata Dal,2014,4664
Bhartiya Krishak Dal,2014,4250
Bhartiya Naujawan Inklav Party,2014,1440
Bhartiya Navjawan Sena (Paksha),2014,1862
Bhartiya Party,2014,1635
Bhartiya Pragatisheel Congress,2014,2571
Bhartiya Republican Party (Insan),2014,2138
Bhartiya Samajik Kranti Dal,2014,1423
Bhartiya Satya Sangharsh Party,2014,4956
Bhartiya Shakti Chetna Party,2014,79359
Bhartiya Shramik Dal Socialist,2014,924
Bhartiya Vanchitsamaj Party,2014,4144
Bhartiya Vikas Party,2014,1152
Bhrashtachar Mukti Morcha,2014,1413
Bihar Janta Party,2014,6765
Biju Janata Dal,2014,9491497
Bodoland Peoples Front,2014,330106
Braj Vikas Party,2014,4411
Brihattar Bharat Prajatantra Sewa Party,2014,1679
Bundelkhand Congress,2014,5371
CDF,2009,1300
CGVP,2009,18394
CKN,1991,383
CMK,1999,385
CMM,1996,60361
CMM,1998,20928
CMM,1999,15526
CNSPJP,1951,236094
CNSPJP,1957,501359
COP,1996,1850
CP,1951,8947
CPI,1951,3487401
CPI,1957,10754075
CPI,1962,11450037
CPI,1967,7458396
CPI,1971,6933627
CPI,1977,5322088
CPI,1980,4927342
CPI,1984,6363430
CPI,1985,369687
CPI,1989,7734697
CPI,1991,6851114
CPI,1992,47226
CPI,1996,6582263
CPI,1998,6429569
CPI,1999,5395119
CPI,2004,5484111
CPI,2009,5951888
CPI(ML),1989,38937
CPI(ML),1991,27730
CPI(ML)(L),1996,808065
CPI(ML)(L),1998,912698
CPI(ML)(L),1999,1220698
CPI(ML)(L),2004,1281688
CPI(ML)(L),2009,1044510
CPM,1967,6246522
CPM,1971,7510089
CPM,1977,8113659
CPM,1980,12352331
CPM,1984,13809950
CPM,1985,462576
CPM,1989,19691309
CPM,1991,16954797
CPM,1992,119902
CPM,1996,20496810
CPM,1998,18991867
CPM,1999,19695767
CPM,2004,22070614
CPM,2009,22219111
CSP,1999,13097
CSP,2004,24696
CSP,2009,11972
CVP,1999,56561
CWL,1951,325398
Chhattisgarh Swabhiman Manch,2014,41911
Chhattisgarhiya Party,2014,4265
Communist Party of India,2014,4327298
Communist Party of India  (Marxist),2014,17986773
Communist Party of India  (Marxist-Leninist)  (Liberation),2014,1007274
Communist Party of India (Marxist-Leninist) Red Star,2014,114323
DBM,1991,1792
DBP,1991,1521
DBP,1996,1148
DBP,1999,173
DBP,2004,912
DBP,2009,531
DBSM,1999,236962
DBSP,2004,6717
DBSP,2009,7817
DCL,1951,11789
DCP,2009,2497
DDP,1984,508426
DDP,1989,1338566
DDP,1991,466869
DESEP,2009,30532
DGPP,2009,5660
DKP,1989,3059
DKP,1991,4508
DLP,1989,2944
DMDK,2009,3126117
DMK,1962,2315610
DMK,1967,5529405
DMK,1971,5622758
DMK,1977,3323320
DMK,1980,4236537
DMK,1984,5695179
DMK,1989,7196099
DMK,1991,5741910
DMK,1996,7151381
DMK,1998,5308388
DMK,1999,6298832
DMK,2004,7064393
DMK,2009,7625397
DMM,1989,120159
DMM,1991,5888
DNC,1967,30788
DNC,1989,1332
DND,1991,5436
DP,1989,43667
DPI,1991,359
DPI,2009,494
DPK,2009,2154
DPP,1991,11967
DTMK,1999,3748
Dalit Vikas Party(Bharat),2014,950
Dalita Bahujana Party,2014,7746
Democratic Bharatiya Samaj Party,2014,5240
Democratic Congress Party,2014,833
Democratic Prajakranthi Party Secularist,2014,1342
Democratic Secular Party,2014,1262
Deshbhakt Nirman Party,2014,5485
Desiya Forward Bloc,2014,17474
Desiya Murpokku Dravida Kazhagam,2014,2079392
Dharam Nirpeksh Dal,2014,4130
Dharmarajya Paksha,2014,2175
Dr. Ambedkar Samajvadi Democratic Party,2014,1949
Dravida Munnetra Kazhagam,2014,9636430
EIT,1962,12574
EKD(UP),1996,1409
EKD(UP),1998,1246
EKD(UP),2004,1939
EKSP,2009,31983
ES,2004,126924
ESP,1996,1852
EU,1999,1578
EU,2004,6512
Eklavya Samaj Party,2014,5341
Ex-Sainik Kissan Party,2014,2988
Ezhuchi Tamilargal Munnetra Kazhagam,2014,3023
FB,1962,826588
FB(S),1996,172685
FB(S),1998,272974
FBL,1967,627910
FBL,1971,962971
FBL,1977,633644
FBL,1980,1011564
FBL,1984,1055556
FBL,1989,1261310
FBL,1991,1145015
FBL,1996,1279492
FBL,1998,1213965
FBL,1999,1288060
FBL(MG),1951,963058
FBL(RG),1951,133936
FBM,1957,665341
FCI,2004,1037
FCI,2009,684
FOS,1996,142
FPM,1996,120557
FPM,1999,30039
FPM,2004,88179
GAVP,1996,166003
GGP,1996,9985
GGP,1998,196662
GGP,1999,180804
GGP,2004,720189
GGP,2009,220741
GIP,1998,3002
GJJP,1996,266
GJP,1989,1577
GKC,1984,217104
GL,1962,46127
GLP,1991,1983
GMK,1991,1030
GMS,2009,85355
GNC,1998,16280
GNC,1999,4561
GNLF,1989,435070
GNP,1991,3605
GOL(BG),1989,4426
GP,1951,959749
GP,1957,1291141
GP,1962,342970
GPI,1989,2142
GRC,1999,1163
GRIP,2009,18161
GSP,1996,962
GSP,1998,2009
GSP,1999,4725
GSS,1951,7196
GVP,1999,1407
GYVP,1999,2217
Gareeb Aadmi Party,2014,23505
Goa Su-Raj Party,2014,783
Goemcarancho Otrec Astro,2014,530
Gondvana Gantantra Party,2014,301366
Gorkha Rashtriya Congress,2014,2906
Great India Party,2014,2594
HDVP,1999,1641
HDVP,2009,532
HEAP,2004,620
HIP,1998,883
HJCBL,2009,816395
HJD,1989,6663
HJKP,1996,30220
HJP,1989,1361
HJP,1991,15406
HJP,1996,9208
HJP,1998,9476
HJP,2004,17410
HJP,2009,7054
HKMP,1996,131
HKMP,1998,614
HKSP,1991,12820
HLC,1962,91850
HLD(R),1998,1956087
HLS,1962,118667
HM,1998,590
HM,2004,1459
HMS,1951,1003034
HMS,1957,1032322
HMS,1962,747861
HMS,1971,73191
HMS,1977,35419
HMS,1989,217514
HMS,1991,67495
HNP,1996,496
HPDP,1998,62144
HPDP,1999,40301
HPI,1989,122947
HPP,1951,17350
HPP,1996,332
HR,1951,1468
HSD,1971,65925
HSD,1991,193
HSH,1991,325
HSPDP,2009,97613
HSPP,1951,7646
HSS,1989,160
HSS,1991,5325
HVC,1998,85046
HVC,1999,264002
HVP,1991,331794
HVP,1996,1156322
HVP,1998,875803
HVP,1999,188731
HVP,2004,506122
Haryana Janhit Congress (BL),2014,703698
Himachal Swabhiman Party,2014,997
Hindustan Ekta Party,2014,566
Hindustan Janta Party,2014,46761
Hindustan Kranti Dal,2014,2762
Hindustan Krantikari Dal,2014,6703
Hindustan Swaraj Congress Party,2014,888
Hindustan Vikas Dal,2014,7921
Hindusthan Nirman Dal,2014,8889
Hindusthan Praja Paksha,2014,8853
IBSP,1996,1376
IBSP,1998,1162
IBSP,2004,972
IBSP,2009,1780
ICJ,1984,1511515
ICJ(TG),1989,12539
ICS,1984,3577377
ICS,1985,457705
ICS,1996,404261
ICS,1998,36677
ICS(SCS),1989,978377
ICS(SCS),1991,982954
ICSP,2009,1853
IDP,1991,2078
IDP,1996,5084
IDPP,1996,1438
IFDP,2004,256411
IGC,1989,7635
IGL,1971,72131
IGL,1977,12509
IJP,1989,1428
IJP,2004,67914
IJP,2009,177759
ILP,1977,17191
ILP,1980,14720
ILP,1989,406
IML,1980,196820
IML,1984,224155
IML,1989,687
IML,1991,31387
INC,1951,47665951
INC,1957,57579589
INC,1962,51509084
INC,1967,59490701
INC,1971,64033274
INC,1977,65211589
INC,1984,115478267
INC,1985,4628777
INC,1989,118894702
INC,1991,99799403
INC,1992,1486289
INC,1996,96455493
INC,1998,95111131
INC,1999,103120330
INC,2004,103408949
INC,2009,119111019
INC(I),1980,84455313
INC(O),1989,1735
INC(U),1980,10449859
IND,1951,16850089
IND,1957,23284249
IND,1962,12722488
IND,1967,20106050
IND,1971,12279629
IND,1977,10393617
IND,1980,12717510
IND,1984,18623803
IND,1985,4864958
IND,1989,15793781
IND,1991,11441688
IND,1992,121009
IND,1996,21041557
IND,1998,8719952
IND,1999,9996386
IND,2004,16549900
IND,2009,21647686
INGP,1999,594
INL,1996,15954
INL,1998,86697
INL,2004,20159
INLD,1999,2002700
INLD,2004,1936703
INLD,2009,1286573
IPF,1989,737551
IPF,1991,644891
IPFB,2009,2686
IPP,2009,18726
IRF,1998,118
ISC,1996,2136
ISP,1971,38713
IUML,1996,786
IUML,1998,3763
IUML,1999,20523
IUML,2009,7553
IVD,2009,4439
Independent,2014,16743719
Indian Bahujan Samajwadi Party,2014,1059
Indian Bahujan Sandesh Party (Kanshiram),2014,1952
Indian Christian Secular Party,2014,14353
Indian Gandhiyan Party,2014,546
Indian Justice Party,2014,1103
Indian Krantikari Lehar,2014,5084
Indian Labour Party (Ambedkar Phule),2014,6390
Indian National Congress,2014,106938242
Indian National League,2014,11924
Indian National Lok Dal,2014,2799899
Indian Oceanic Party,2014,649
Indian Peace Party,2014,2155
Indian Peoples Green Party,2014,3488
Indian Savarn Samaj Party,2014,16903
Indian Union Muslim League,2014,1100096
Indian Unity Centre,2014,13527
Indians Victory Party,2014,398
Indigenousn People's Front Of Tripura,2014,21326
Inqalab Vikas Dal,2014,2570
JAC,1967,136631
JAC,1971,60103
JANS,2009,226
JAP,1971,139091
JBP,2009,836
JBSP,2009,4967
JC,1991,194
JCGP,2009,2397
JCP,2004,671
JCP,2009,2987
JD,1989,53518521
JD,1991,32589180
JD,1992,39220
JD,1996,27070340
JD,1998,11930209
JD(G),1991,1399702
JD(S),1991,4548
JD(S),1999,3332702
JD(S),2004,5732296
JD(S),2009,3434082
JD(U),1999,11282084
JD(U),2004,9144963
JD(U),2009,6331201
JDP,2004,135685
JDP,2009,102698
JEM,1991,34
JEM,1996,94
JF,1991,5521
JGP,2009,64482
JHJAM,2009,32219
JHJM,2009,58025
JHKP,2009,13313
JHM,1996,9404
JHP,1951,749702
JHP,1957,751830
JHP,2004,8645
JHSP,2004,1310
JJ,2004,734
JJ,2009,573
JJJKMC,2009,1100
JJP,1991,1245
JKAL,1998,20843
JKAL,1999,28889
JKAL,2004,1519
JKANC,2009,9900
JKC,1996,324
JKD,1967,183211
JKD,1977,116961
JKD,1980,254520
JKD,1984,18837
JKD,1989,367838
JKD,2009,2787
JKM,2009,12716
JKMP,1991,23929
JKN,1967,210020
JKN,1977,483192
JKN,1980,493143
JKN,1984,1010243
JKN,1989,71194
JKN,1998,784669
JKN,1999,454481
JKN,2004,493067
JKN,2009,498374
JKNPP,1999,15888
JKNPP,2004,70078
JKNPP,2009,87502
JKP,1971,272563
JKP,1977,126288
JKP,1984,646
JKP,1991,350699
JKP,1996,78907
JKP,1998,63836
JKP,1999,57676
JKP,2004,74364
JKP,2009,125900
JKP(N),1996,102111
JKP(N),1998,181018
JKP(N),1999,101441
JKP(N),2004,67782
JKP(N),2009,104600
JKPDP,2004,267457
JKPDP,2009,522760
JKPP,1996,58132
JKPP,1998,7111
JKPP,2004,1449
JKPP,2009,2498
JM,2009,7826
JMD,1977,5868
JMM,1984,332403
JMM,1989,1032276
JMM,1991,1481900
JMM,1996,1287072
JMM,1998,1324548
JMM,1999,974609
JMM,2004,1846843
JMM,2009,1665173
JMM(M),1996,299055
JMM(M),1998,240897
JMM(U),1999,154433
JMP,2004,2684
JMS,1991,138
JNP,1980,37530228
JNP,1984,16210514
JNP,1985,420082
JNP,1991,37725
JNP (JP),1989,3029743
JNP(S),1980,18574696
JP,1962,467338
JP,1991,9267096
JP,1992,27966
JP,1996,631021
JP,1998,444305
JP,1999,167649
JP,2004,517683
JP,2009,1514
JPC,2009,65403
JPP,1984,95149
JPP,1989,22625
JPP,1991,587
JPP,1996,99599
JPS,1996,15112
JPS,2009,129595
JS,1962,7415170
JSAP,1999,11024
JSMP,1998,828
JSP,2004,1189
JSP,2009,2468
JSS,2009,23925
JSTP,1996,10901
JSWP,1996,278
JTP,1998,5847
JUM,2004,2592
JUP,2009,595
JUSP,1951,63254
JVD,2009,45246
JVM,2009,963274
JVP,2004,3173
Jago Party,2014,27624
Jai Bharat Samanta Party,2014,215607
Jai Hind Party,2014,14754
Jai Hind Samaj Party,2014,27122
Jai Maha Bharath Party,2014,58014
Jai Prakash Janata Dal,2014,27619
Jai Samaikyandhra Party,2014,204235
Jai Vijaya Bharathi Party,2014,4270
Jamat-E-Seratul Mustakim,2014,10564
Jammu & Kashmir National Conference,2014,396713
Jammu & Kashmir National Panthers Party,2014,57103
Jammu & Kashmir People Conference,2014,71154
Jammu & Kashmir Peoples Democratic Party,2014,732644
Jan Morcha,2014,2901
Jan Raajya Party,2014,2543
Jan Raksha Party,2014,1318
Jan Samanta Party,2014,357
Jan Sevak Party,2014,4489
Jan Shakti Ekta Party,2014,6636
Jan-Nyay Dal,2014,4719
Janata Dal  (Secular),2014,3731481
Janata Dal  (United),2014,5992196
Janral Samaj Party,2014,944
Janta Dal Rashtravadi,2014,53864
Janta Raj Party,2014,3846
Jantantra Party,2014,2249
Janvadi Party(Socialist),2014,47690
Jawan Kisan Morcha,2014,2711
Jebamani Janata,2014,1517
Jharkhand Anushilan Party,2014,12240
Jharkhand Disom Party,2014,109843
Jharkhand Mukti Morcha,2014,1637990
Jharkhand Mukti Morcha  (Ulgulan),2014,3512
Jharkhand Party,2014,203869
Jharkhand Party  (Naren),2014,16670
Jharkhand Vikas Dal,2014,10870
Jharkhand Vikas Morcha (Prajatantrik),2014,1579772
KCJ,1984,598113
KCM,1989,352191
KCM,1991,384255
KCP,1977,526937
KCP,1996,581868
KCVP,1996,31136
KCVP,1998,19202
KCVP,1999,73012
KCVP,2009,2269
KDC,1989,322
KDC,2009,1341
KDP,1991,164
KEC,1967,321219
KEC,1971,542431
KEC,1977,491674
KEC,1980,356997
KEC,1984,258591
KEC,1989,68811
KEC,1991,319933
KEC,1996,320539
KEC,1998,327649
KEC,1999,365313
KEC,2004,353905
KEC,2009,333688
KEC(M),1996,382319
KEC(M),1998,356168
KEC(M),1999,357402
KEC(M),2004,209880
KEC(M),2009,404962
KGP,1989,19593
KJD,1951,32987
KJSP,1951,6390
KKJHS,2004,3393
KKJHS,2009,70715
KKP,1951,132574
KLP,1951,1489615
KM,2009,65151
KMM,1951,8808
KMM,1998,2723
KMM,2004,597
KMP,1971,31729
KMPP,1951,6135978
KMS,1991,2311
KNA,1951,12155
KNA,1989,108085
KNDP,2004,349183
KNMK,2009,579703
KNP,1991,576
KOKD,2009,42744
KP,1996,2883
KRD,1996,112
KRD,1998,501
KRD,1999,344
KRRS,1998,10064
KRS,1989,495565
