state,district,sex_ratio,muslim_pct,houseless_per_lakh
Tripura,Dhalai,0.98,2.182798826,32.78428469
Nagaland,Phek,0.91,0.58133131,64.25240794
Nagaland,Longleng,0.88,1.257824261,59.42476824
Manipur,Tamenglong,0.92,0.418767019,173.4790368
Odisha,Gajapati,0.97,0.269289412,42.74709813
Uttarakhand,Bageshwar,0.89,0.554063517,50.01962308
Uttarakhand,Pithoragarh,0.81,1.244210748,87.70496381
Gujarat,Kachchh,0.93,21.14132723,132.1467369
Assam,Karbi Anglong,0.96,2.121690283,66.71455894
Nagaland,Kohima,0.99,1.635894145,37.31510366
Jammu & Kashmir,Udhampur,0.89,10.76984063,32.61349406
Assam,Chirang,0.97,22.65794484,27.58408999
Manipur,Senapati,0.9,0.344152537,47.37575864
Odisha,Debagarh,0.93,0.225265583,66.87571995
Madhya Pradesh,Seoni,0.95,5.781829282,45.2458831
Chhattisgarh,Bijapur,1,0.633546213,241.3509384
Assam,Kokrajhar,0.96,28.43637208,26.94044471
Madhya Pradesh,Dindori,0.97,0.956106534,77.49913417
Chhattisgarh,Uttar Bastar Kanker,0.98,0.806472072,70.49954536
Sikkim,South,0.94,1.286346612,38.13415049
Assam,Lakhimpur,0.95,18.56531339,16.40859119
Odisha,Malkangiri,0.98,0.305124659,71.59258438
Odisha,Rayagada,0.97,0.475973514,55.68693816
Jammu & Kashmir,Reasi,0.92,49.66361264,41.9491081
Jharkhand,Pashchimi Singhbhum,0.99,2.536246837,37.27523367
Kerala,Idukki,0.97,7.412797775,30.56879602
Arunanchal Pradesh,Papum Pare,0.96,3.481846035,153.4775985
Arunanchal Pradesh,Tawang,0.99,1.574724373,346.1592332
Odisha,Koraput,0.98,0.641468434,52.54967394
Uttarakhand,Rudraprayag,0.9,0.61332728,68.51435293
Meghalaya,East Khasi Hills,0.97,1.717474531,28.08981962
Odisha,Nabarangapur,1,0.553095714,36.69285947
Odisha,Nayagarh,0.87,0.548199034,34.37928767
Uttarakhand,Champawat,0.87,3.347994208,58.15565689
Nagaland,Mon,0.93,1.376168784,61.53600256
Himachal Pradesh,Shimla,0.92,1.450842127,54.42193585
Assam,Udalguri,0.98,12.66358691,21.28253101
Rajasthan,Bikaner,0.91,9.972389281,112.9894748
Assam,Golaghat,0.97,8.464993514,30.5561596
Tamil Nadu,Dindigul,0.94,4.862173143,26.5768425
Madhya Pradesh,Chhindwara,0.96,4.815674616,53.89966723
Karnataka,Chamrajnagar,0.96,4.624844851,53.19404266
Meghalaya,West Garo Hills,0.98,16.60026333,56.273133
Chhattisgarh,Bastar,1,0.878361788,73.09657026
Jammu & Kashmir,Baramula,0.85,95.15356053,42.06186467
Chhattisgarh,Koriya,0.97,3.927353521,101.0749457
Himachal Pradesh,Mandi,0.91,0.946211005,39.90889968
Jharkhand,Khunti,0.97,2.46707465,48.50672608
Uttarakhand,Almora,0.92,1.245289202,51.72640906
Rajasthan,Barmer,0.91,12.33574178,111.8770574
Assam,Baksa,0.97,14.28834566,26.62947662
Jharkhand,Simdega,0.98,2.51893832,65.21253281
Chhattisgarh,Korba,0.98,2.502403368,56.76921037
Manipur,Churachandpur,0.94,1.052735251,173.9967827
Jharkhand,Gumla,0.96,5.016420978,55.3055804
Meghalaya,South Garo Hills,0.98,0.737701463,142.6222828
Uttar Pradesh,Lalitpur,0.92,2.76065986,44.61391365
Assam,Tinsukia,0.96,3.642739936,31.55289176
Jharkhand,Kodarma,0.95,14.94124332,39.51084733
Uttar Pradesh,Hamirpur,0.89,8.264985941,41.6559131
Assam,Kamrup,0.97,39.65517923,24.0520526
Jammu & Kashmir,Ramban,0.92,70.67564757,55.33761231
Madhya Pradesh,Panna,0.93,3.464171881,83.12674615
Tamil Nadu,Pudukkottai,0.96,7.056221016,34.23250296
Tripura,South Tripura,0.95,5.623052942,41.78077422
Jharkhand,Lohardaga,0.98,20.57472011,38.97875658
Maharashtra,Garhchiroli,0.97,1.963107046,164.0349618
Tamil Nadu,Dharmapuri,0.92,2.542003381,37.49561169
Assam,Nalbari,0.97,35.96085734,17.36563341
Tamil Nadu,Perambalur,0.9,5.78568105,39.63037598
Uttarakhand,Chamoli,0.88,1.122304363,262.5094164
Tamil Nadu,The Nilgiris,0.98,10.66802286,44.7379228
Odisha,Kendujhar,0.97,1.540294816,59.27626346
Karnataka,Uttara Kannada,0.96,13.07946386,92.19514198
Bihar,Jamui,0.96,12.36198488,22.72204408
Chhattisgarh,Jashpur,0.99,1.800699568,88.64946358
Assam,Darrang,0.97,64.33947227,22.29402262
Himachal Pradesh,Kangra,0.88,1.310994487,49.79885105
Uttar Pradesh,Sonbhadra,0.93,5.560468152,49.34071887
Madhya Pradesh,Shahdol,0.97,3.979689756,77.4813496
Sikkim,East,0.95,2.185603509,45.84195809
Jharkhand,Chatra,0.97,11.19106019,48.61509312
Karnataka,Bijapur,0.94,16.97435989,66.87086162
Madhya Pradesh,Sidhi,0.93,3.053947844,61.04524002
Odisha,Kalahandi,0.97,0.315498624,72.1049117
Manipur,Imphal East,0.93,17.58314277,22.36287937
Jharkhand,Hazaribagh,0.93,16.21492135,30.09521503
Madhya Pradesh,Balaghat,0.97,2.264914221,79.92017385
Karnataka,Chitradurga,0.95,7.758626924,75.92849705
Odisha,Subarnapur,0.96,0.256644318,57.35984123
Tamil Nadu,Virudunagar,0.96,2.462971506,32.79637211
Kerala,Wayanad,0.97,28.64928678,39.14756184
Jharkhand,Latehar,0.97,9.60249141,89.13612241
Assam,Cachar,0.96,37.70641425,33.22551835
Tamil Nadu,Thoothukkudi,0.97,4.613250325,41.99577642
Odisha,Nuapada,0.98,0.811295222,97.97143428
Tamil Nadu,Sivaganga,0.97,5.549245352,49.1374437
Odisha,Bauda,0.98,0.22826082,109.256917
Tamil Nadu,Theni,0.94,4.555024123,35.95797091
Karnataka,Koppal,0.96,11.63879936,63.81662254
Kerala,Pathanamthitta,0.98,4.599419415,35.57672714
Madhya Pradesh,Sheopur,0.91,6.018076326,155.1185487
Tamil Nadu,Ramanathapuram,0.96,15.37099771,49.87273218
Jammu & Kashmir,Shupiyan,0.85,98.5154856,19.53308416
Jharkhand,Giridih,0.94,20.79703158,34.51273659
Assam,Goalpara,0.96,57.52219587,31.34351601
Odisha,Mayurbhanj,0.97,1.337678759,72.98377847
Chhattisgarh,Kabeerdham,0.99,1.483965249,91.18252797
Odisha,Sambalpur,0.95,1.932573175,112.7654527
Chhattisgarh,Surguja,0.97,3.451098909,118.2684248
Chhattisgarh,Rajnandgaon,0.99,1.538448527,94.33145993
Odisha,Kendrapara,0.93,3.488500452,33.04727079
Maharashtra,Hingoli,0.88,10.83386773,74.06495123
Maharashtra,Parbhani,0.88,16.6857108,61.7618129
Jharkhand,Dumka,0.97,8.0869989,52.51838522
Odisha,Baleshwar,0.95,4.061746266,30.2948164
Uttar Pradesh,Chitrakoot,0.92,3.484718623,60.09700221
Madhya Pradesh,Chhatarpur,0.91,3.991829208,91.41073835
Tamil Nadu,Karur,0.94,5.006326956,51.10414066
Uttar Pradesh,Mahoba,0.89,6.558990271,67.24066679
Maharashtra,Yavatmal,0.92,8.62936399,91.97979474
Chhattisgarh,Dhamtari,0.97,1.303481828,96.40138988
Bihar,Pashchim Champaran,0.96,21.98426345,25.1077371
Tamil Nadu,Viluppuram,0.94,3.87108749,39.40589897
Odisha,Balangir,0.96,0.473681881,75.92494104
Himachal Pradesh,Hamirpur,0.9,0.816020476,46.83706857
Jammu & Kashmir,Punch,0.89,90.44617111,66.89945159
Assam,Barpeta,0.96,70.73809858,25.80268797
Uttarakhand,Tehri Garhwal,0.89,1.191409059,112.9366601
Assam,Marigaon,0.96,52.56370486,31.22966547
Kerala,Palakkad,0.97,28.93078627,31.03275735
Gujarat,The Dangs,0.97,1.57386844,151.5609463
Odisha,Bargarh,0.96,0.508150183,77.29931713
Andhra Pradesh,Prakasam,0.94,6.494698374,102.4886915
Himachal Pradesh,Sirmaur,0.93,6.268696153,105.5005615
Tamil Nadu,Ariyalur,0.88,1.052068237,50.86806889
Assam,Dibrugarh,0.96,4.86498509,50.51514135
Tamil Nadu,Krishnagiri,0.94,6.133761462,54.10124114
Karnataka,Davanagere,0.95,13.66257568,60.39587828
Madhya Pradesh,Mandla,0.98,1.569620013,109.7729179
Tamil Nadu,Namakkal,0.92,1.881326375,40.25249609
Bihar,Banka,0.95,12.33190303,30.17550447
Tamil Nadu,Erode,0.96,3.379513835,52.0929555
Madhya Pradesh,Tikamgarh,0.9,3.054527992,71.27208916
Bihar,Buxar,0.95,6.178268024,20.39438521
Karnataka,Raichur,0.96,14.10308522,89.48513385
Odisha,Anugul,0.89,0.58972179,102.761691
Madhya Pradesh,Guna,0.91,3.963129038,105.9991833
Tamil Nadu,Tiruvannamalai,0.93,3.71767331,51.84847102
West Bengal,Koch Bihar,0.95,25.54136341,24.83074301
Jammu & Kashmir,Kupwara,0.87,94.59208552,56.87341013
Bihar,Kishanganj,0.97,67.97769759,23.36725035
Jammu & Kashmir,Anantnag,0.82,97.98950952,69.52865137
Bihar,Katihar,0.96,44.46864553,20.93760756
Punjab,Barnala,0.85,2.199732338,52.39057171
Madhya Pradesh,Betul,0.96,2.386118238,135.5244065
Kerala,Kasaragod,0.96,37.24356057,32.50788794
Gujarat,Bhavnagar,0.9,7.390139791,74.74747124
Rajasthan,Churu,0.91,12.24467982,146.3560291
Madhya Pradesh,Anuppur,0.97,2.865982326,107.9765148
Tamil Nadu,Tirunelveli,0.96,9.858467006,46.99026691
Odisha,Jagatsinghapur,0.93,4.127545909,31.75102971
Andhra Pradesh,Vizianagaram,0.97,0.700498278,60.39734286
Uttarakhand,Garhwal,0.9,3.336529549,168.0559779
Maharashtra,Washim,0.86,11.91753817,89.04407097
Madhya Pradesh,Singrauli,0.94,3.952734214,106.8512985
Assam,Sonitpur,0.97,18.21808524,60.49550182
Tamil Nadu,Tiruppur,0.96,5.001226275,47.8005302
Himachal Pradesh,Una,0.88,2.739013725,67.92370288
Madhya Pradesh,Umaria,0.96,2.476277921,145.6360371
Chhattisgarh,Mahasamund,0.97,1.217133993,107.1891273
Bihar,Munger,0.93,8.072731792,24.12695163
Bihar,Madhepura,0.93,12.07735985,20.88160331
Kerala,Malappuram,0.97,70.23839511,20.22893711
Odisha,Bhadrak,0.95,6.917575549,39.16786217
Tamil Nadu,Salem,0.92,2.742259171,35.69730068
Karnataka,Kolar,0.97,13.00916883,61.63755426
Telangana,Khammam,0.96,5.679870736,136.628333
Jharkhand,Pakur,0.98,35.86795969,48.42174003
Assam,Nagaon,0.97,55.35876177,34.24502296
Assam,Hailakandi,0.95,60.31479032,49.7500364
Chhattisgarh,Raigarh,0.96,1.160119519,117.5380727
Uttar Pradesh,Jalaun,0.89,10.15287809,67.27914157
Gujarat,Surendranagar,0.9,6.245117488,147.9273095
West Bengal,Puruliya,0.96,7.755634165,54.16169673
Tamil Nadu,Coimbatore,0.96,6.102725673,34.73060646
Uttar Pradesh,Banda,0.92,8.759093258,62.29819774
Odisha,Puri,0.94,2.713438863,52.09774361
Bihar,Supaul,0.95,18.35967011,27.94880031
Madhya Pradesh,Ashoknagar,0.93,4.816991708,142.5915692
Madhya Pradesh,Damoh,0.94,3.794121114,149.6576147
Uttar Pradesh,Pilibhit,0.93,24.11050282,47.9565063
Maharashtra,Sangli,0.87,8.49025014,80.68336721
Karnataka,Udupi,0.96,8.216681205,80.94373773
Bihar,Saharsa,0.94,14.0277514,23.67597378
Karnataka,Bellary,0.97,13.08140969,92.35116275
Karnataka,Shimoga,0.97,13.3883097,129.9099189
Jharkhand,Saraikela-kharsawan,0.95,5.970390289,67.69597092
Odisha,Jajapur,0.93,5.124912981,43.18101218
Bihar,Rohtas,0.94,10.15186907,35.71044874
Odisha,Dhenkanal,0.88,0.402829954,102.4470767
Uttarakhand,Nainital,0.9,12.64837289,122.6685383
Madhya Pradesh,Rewa,0.9,3.611423759,73.99245531
West Bengal,Bankura,0.95,8.075516435,53.5216703
Puducherry,Karaikal,0.97,14.40151432,21.97560708
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.94,9.730806595,123.7701856
Karnataka,Chikmagalur,0.98,8.896174825,177.7741065
Maharashtra,Sindhudurg,0.92,3.091151543,173.247604
Himachal Pradesh,Solan,0.89,2.529294183,94.77529639
Karnataka,Gulbarga,0.96,19.99453694,121.4966454
Jharkhand,Deoghar,0.95,20.28225161,47.38374061
Madhya Pradesh,Shivpuri,0.9,2.966310362,167.1446366
Odisha,Sundargarh,0.95,3.410229207,133.1781181
Maharashtra,Gondiya,0.95,1.977834522,113.9502475
Karnataka,Hassan,0.98,6.755774673,111.1223072
Bihar,Kaimur (bhabua),0.95,9.547745182,59.51853929
Madhya Pradesh,East Nimar,0.94,8.875693575,164.3434924
Assam,Sivasagar,0.96,8.301377004,68.28547848
Karnataka,Yadgir,0.95,13.22863291,132.4225839
Madhya Pradesh,Narsimhapur,0.92,3.576302326,139.2127519
Andhra Pradesh,Anantapur,0.93,10.86596222,139.0785142
Chhattisgarh,Durg,0.97,2.497075247,76.79719798
Gujarat,Patan,0.91,10.62688002,129.7875919
Maharashtra,Aurangabad,0.85,21.25417626,82.34984527
Andhra Pradesh,Srikakulam,0.96,0.333874191,65.36905214
Gujarat,Panch Mahals,0.94,6.630190365,66.25463866
Bihar,Araria,0.97,42.94548702,30.5167684
Maharashtra,Chandrapur,0.95,4.187120941,157.9634779
Tamil Nadu,Cuddalore,0.89,4.748775286,43.28615603
Maharashtra,Jalna,0.86,13.9976805,120.3136629
Maharashtra,Buldana,0.85,13.69685468,114.4124059
Karnataka,Ramanagara,0.97,10.55858109,100.3107231
West Bengal,Jalpaiguri,0.96,11.51135367,49.67922814
Gujarat,Dohad,0.95,3.119431936,53.03029591
Madhya Pradesh,Barwani,0.95,4.2010822,123.603686
Bihar,Bhagalpur,0.94,17.68069035,26.79600733
Bihar,Nawada,0.95,11.01297526,35.91471674
Telangana,Adilabad,0.94,10.06734546,188.2360495
Tamil Nadu,Thiruvarur,0.96,7.600549563,57.66141439
Punjab,Faridkot,0.86,0.506066318,76.92208036
Chhattisgarh,Bilaspur,0.97,2.176466768,101.8159811
Jharkhand,Palamu,0.94,12.28407691,74.28336656
Karnataka,Gadag,0.95,13.4951201,143.5321303
Rajasthan,Dhaulpur,0.86,5.988979839,82.63462731
Chhattisgarh,Raipur,0.97,2.535463715,100.446077
Madhya Pradesh,Katni,0.95,2.881640071,126.6212708
Gujarat,Banas Kantha,0.9,6.841999342,113.9238316
Jharkhand,Purbi Singhbhum,0.93,8.893034148,51.61472572
Madhya Pradesh,Rajgarh,0.93,6.917261715,132.3574505
Maharashtra,Nanded,0.91,14.04076171,104.5728845
Andhra Pradesh,Chittoor,0.93,9.531957344,122.6622304
Jharkhand,Sahibganj,0.96,34.61276049,61.36105068
Maharashtra,Bid,0.8,12.39415578,141.6994417
Uttar Pradesh,Bahraich,0.95,33.52695492,51.43745318
Maharashtra,Solapur,0.88,10.21952144,118.4179931
Nagaland,Dimapur,0.97,8.239465063,84.21085977
Madhya Pradesh,Satna,0.92,2.668135231,116.0643985
Madhya Pradesh,Alirajpur,0.98,2.422499894,150.8918394
Tamil Nadu,Tiruchirappalli,0.94,7.014829427,57.34142946
Andhra Pradesh,Y.s.r.,0.92,15.754133,184.7721519
Telangana,Warangal,0.92,5.617899798,127.4278478
Maharashtra,Bhandara,0.95,2.207885472,118.8835774
Kerala,Kollam,0.98,19.29516672,33.12621543
Kerala,Thiruvananthapuram,0.97,13.71876464,23.47469746
Telangana,Nalgonda,0.93,5.407174769,144.5192328
Karnataka,Mysore,0.97,9.681329714,74.57198579
Daman & Diu,Diu,0.92,6.125897761,26.88481776
Madhya Pradesh,Hoshangabad,0.93,4.210657752,196.1574093
West Bengal,Purba Medinipur,0.95,14.58897638,33.75279025
Chhattisgarh,Janjgir-champa,0.96,0.875034806,88.04061475
Haryana,Rohtak,0.82,0.771293738,60.96848485
Karnataka,Bagalkot,0.94,11.64126298,129.2233055
Bihar,Khagaria,0.93,10.53389374,33.23562619
Goa,South Goa,0.95,9.932759544,114.4352317
Maharashtra,Amravati,0.94,14.58951097,157.7319284
Assam,Karimganj,0.97,56.36012781,55.09951281
Assam,Dhubri,0.97,79.67252154,41.81078133
Kerala,Kottayam,0.96,6.406469116,42.03487274
Gujarat,Jamnagar,0.92,14.85126514,247.7641278
Maharashtra,Latur,0.89,14.98103656,110.3823818
Madhya Pradesh,Shajapur,0.93,11.55061774,155.8160643
Punjab,Tarn Taran,0.83,0.344311096,82.0809073
Himachal Pradesh,Bilaspur,0.9,1.828482862,116.5055661
Rajasthan,Pratapgarh,0.93,2.949479632,195.5411547
Karnataka,Tumkur,0.97,9.179725119,151.1769405
Andhra Pradesh,Kurnool,0.95,16.54725848,168.3005371
Bihar,Samastipur,0.93,10.61511191,26.51607414
Gujarat,Mahesana,0.86,6.704015205,84.22339543
Andhra Pradesh,East Godavari,0.97,1.508974261,81.75704306
West Bengal,Dakshin Dinajpur,0.97,24.62530037,51.78144888
Jammu & Kashmir,Bandipore,0.88,97.39286953,34.92830774
Karnataka,Kodagu,0.98,15.73868524,293.7681125
Jammu & Kashmir,Kulgam,0.86,98.49063449,38.39965323
Rajasthan,Ganganagar,0.86,2.574082049,221.9719191
Tamil Nadu,Thanjavur,0.96,7.931119045,56.48637303
Tamil Nadu,Vellore,0.95,10.53671554,61.5293785
Gujarat,Amreli,0.89,6.54508351,195.616138
Karnataka,Haveri,0.95,18.6476164,120.92625
West Bengal,Pashchim Medinipur,0.97,10.49392935,63.71907329
Uttar Pradesh,Kheri,0.94,20.08334239,77.76202532
Bihar,Saran (chhapra),0.93,10.28499983,27.25297594
Jammu & Kashmir,Rajouri,0.87,62.71319941,167.4929757
Assam,Jorhat,0.96,5.006518618,107.3924062
Bihar,Aurangabad,0.95,9.344337741,53.54176829
Madhya Pradesh,Vidisha,0.93,10.25091252,208.9281124
Bihar,Purba Champaran,0.94,19.4210031,32.29810108
Uttar Pradesh,Sant Kabir Nagar,0.95,23.57824209,40.11233787
Kerala,Kannur,0.97,29.4285421,49.14778143
Maharashtra,Osmanabad,0.87,10.79437685,191.9067361
Bihar,Sheikhpura,0.94,5.917101181,46.35871905
Tamil Nadu,Madurai,0.94,5.558492186,52.7606005
Karnataka,Chikkaballapura,0.96,11.77671332,146.3623732
Uttar Pradesh,Mirzapur,0.91,7.840102204,76.77304894
Rajasthan,Jalor,0.9,4.319391053,253.4545832
Uttar Pradesh,Hardoi,0.91,13.59003334,63.74538982
Kerala,Kozhikode,0.97,39.242256,33.27616659
Maharashtra,Kolhapur,0.86,7.393135347,88.15787199
Bihar,Jehanabad,0.92,6.730749578,36.78976427
Uttarakhand,Udham Singh Nagar,0.9,22.5766601,68.89433089
Punjab,Kapurthala,0.88,1.25004907,89.67476643
Rajasthan,Bharatpur,0.87,14.56902241,89.26952805
Maharashtra,Ahmadnagar,0.86,7.059911396,168.5391156
Uttar Pradesh,Saharanpur,0.9,41.94725221,48.11933595
Uttar Pradesh,Jhansi,0.87,7.397266991,113.6794051
Punjab,Gurdaspur,0.83,1.203790764,70.70372615
Rajasthan,Hanumangarh,0.89,6.686963146,249.2826924
Karnataka,Dharwad,0.95,20.94364824,106.3332725
Assam,Bongaigaon,0.98,50.2207622,68.21836373
Jammu & Kashmir,Samba,0.79,7.196658493,131.0763943
Puducherry,Yanam,0.9,2.141085104,25.16808687
Haryana,Rewari,0.79,0.634543702,82.6361831
Madhya Pradesh,Morena,0.85,3.873863792,120.1442545
Madhya Pradesh,Harda,0.93,6.773421682,278.3694004
Bihar,Bhojpur,0.93,7.250347914,41.96587972
Bihar,Sitamarhi,0.94,21.6177889,32.50988587
Bihar,Madhubani,0.94,18.24922744,37.86174513
Kerala,Alappuzha,0.96,10.55297306,32.33403312
Jharkhand,Ramgarh,0.93,13.59081061,68.77716724
Telangana,Mahbubnagar,0.93,8.244996087,221.5380698
Rajasthan,Pali,0.91,7.041514586,296.3820192
Kerala,Thrissur,0.95,17.07160707,47.28950404
Tripura,North Tripura,0.97,15.2370426,143.0945015
Bihar,Nalanda,0.94,6.881753985,40.06737435
Maharashtra,Akola,0.92,19.69523228,154.8040527
West Bengal,Darjiling,0.96,5.690095911,84.41523633
Madhya Pradesh,Datia,0.87,3.620318422,182.7763189
Madhya Pradesh,Dewas,0.92,11.1439105,223.1864502
Madhya Pradesh,Mandsaur,0.94,9.366380909,207.0260539
Tamil Nadu,Kanniyakumari,0.96,4.20183343,45.33852588
Uttar Pradesh,Ambedkar Nagar,0.94,16.7513245,49.3767849
Uttar Pradesh,Siddharth Nagar,0.94,29.22962829,57.63301407
Karnataka,Bangalore Rural,0.96,9.309704185,118.1726532
Bihar,Sheohar,0.95,15.13792084,27.27635673
Andhra Pradesh,Visakhapatnam,0.96,2.012078062,133.7811662
Jammu & Kashmir,Kathua,0.84,10.42023895,209.267806
Haryana,Yamunanagar,0.83,11.41232329,75.19323343
Jharkhand,Garhwa,0.96,14.71744442,159.8144519
Telangana,Nizamabad,0.95,15.3486704,161.2097196
Rajasthan,Karauli,0.86,5.592532957,196.5372145
Tamil Nadu,Nagappattinam,0.96,7.956757091,82.52652417
Bihar,Arwal,0.95,9.16881527,47.37152258
Karnataka,Mandya,0.94,4.308469134,144.0937351
Andhra Pradesh,Karimnagar,0.94,6.480549982,165.7456076
Maharashtra,Ratnagiri,0.93,11.59065031,269.4002547
Rajasthan,Nagaur,0.9,13.74009408,286.2072416
Uttar Pradesh,Budaun,0.91,21.47032399,75.66753651
Jharkhand,Godda,0.96,22.01528528,93.56317341
Madhya Pradesh,Bhind,0.86,3.921068934,142.1604752
West Bengal,South 24 Parganas,0.97,35.56835177,66.60164144
Uttar Pradesh,Jyotiba Phule Nagar,0.91,40.77597202,66.78545675
Uttar Pradesh,Bijnor,0.88,43.04462498,68.15627501
Madhya Pradesh,Burhanpur,0.93,23.86233633,248.9948499
Punjab,Bathinda,0.87,1.173835545,133.9550962
Karnataka,Bidar,0.96,19.67850643,177.4790113
Kerala,Ernakulam,0.96,15.6714258,52.70553024
Jharkhand,Bokaro,0.93,11.70768015,79.42472834
Madhya Pradesh,West Nimar,0.95,7.21204925,243.7740451
Bihar,Purnia,0.96,38.46209925,56.48438608
Uttar Pradesh,Balrampur,0.97,37.51050071,89.07856739
Rajasthan,Udaipur,0.93,3.399371664,219.6244321
Karnataka,Dakshina Kannada,0.95,24.01819636,134.6159092
Rajasthan,Sawai Madhopur,0.87,11.65668702,195.1254576
Uttar Pradesh,Bulandshahr,0.85,22.2168908,74.78914291
Andhra Pradesh,West Godavari,0.96,2.188030072,114.1996146
Tripura,West Tripura,0.95,8.853656318,100.942263
Uttar Pradesh,Fatehpur,0.91,13.32075831,92.22355628
Madhya Pradesh,Jhabua,0.95,1.534854953,205.9415754
Uttar Pradesh,Shahjahanpur,0.92,17.54779085,85.71320236
Maharashtra,Dhule,0.9,9.162049909,208.741495
Rajasthan,Banswara,0.94,2.716795968,150.8218427
Haryana,Jind,0.84,1.725140764,121.9501226
Uttar Pradesh,Sitapur,0.95,19.9314584,77.16338477
Gujarat,Bharuch,0.93,22.14743984,253.0594403
Bihar,Gopalganj,0.96,17.02009983,47.85301552
Andhra Pradesh,Guntur,0.95,11.45236121,141.8221196
Rajasthan,Tonk,0.89,10.77486798,310.0625754
Bihar,Darbhanga,0.94,22.38734592,35.55659403
Bihar,Siwan,0.95,18.26418181,41.01530598
Rajasthan,Sirohi,0.91,2.941006189,305.7859055
Gujarat,Porbandar,0.91,5.733206479,245.6234446
Maharashtra,Satara,0.9,4.892898556,217.9948271
Rajasthan,Chittaurgarh,0.92,6.33637196,318.6478608
Odisha,Khordha,0.92,3.73322414,78.87468562
Uttar Pradesh,Rampur,0.93,50.5748519,64.17449297
West Bengal,Birbhum,0.96,37.06180098,83.2856518
Maharashtra,Wardha,0.92,4.140150403,312.9675101
West Bengal,Murshidabad,0.97,66.26831219,48.7062782
Maharashtra,Jalgaon,0.84,13.24520079,181.1619471
Haryana,Sirsa,0.88,0.735336696,217.5744235
Manipur,Bishnupur,0.93,7.873242937,138.1640192
Madhya Pradesh,Raisen,0.95,9.036592903,422.4251031
Punjab,Firozpur,0.86,0.337296718,174.6116702
Rajasthan,Jhalawar,0.91,6.814685263,295.0120081
Bihar,Gaya,0.97,11.11533905,76.26238267
Uttar Pradesh,Chandauli,0.93,11.0142281,89.77056017
Tamil Nadu,Thiruvallur,0.95,3.83822447,63.16883864
Uttarakhand,Dehradun,0.9,11.90886512,127.0706444
Madhya Pradesh,Dhar,0.93,5.316239918,264.0689214
Uttar Pradesh,Ballia,0.92,6.588113862,65.28233142
