sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
guthasukhenderreddy,Nalgonda,Indian National Congress,60,GEN,#019733,,GUTHA SUKHENDER REDDY,1189399,1,,Andhra Pradesh,472093,2014,30-04-2014,12th,Male,85907866,1
drbooranarsaiahgoud,Bhongir,Telangana Rashtra Samithi,,,#999,,DR. BOORA NARSAIAH GOUD,1211943,1,,Andhra Pradesh,448245,2014,,,,,
kadiyamsrihari,Warangal,Telangana Rashtra Samithi,63,GEN,#999,,KADIYAM SRIHARI,1174631,1,,Andhra Pradesh,661639,2014,30-04-2014,Post Graduate,Male,13495000,6
profazmeeraseetaramnaik,Mahabubabad,Telangana Rashtra Samithi,56,GEN,#999,,PROF. AZMEERA SEETARAM NAIK,1124370,1,,Andhra Pradesh,320569,2014,30-04-2014,Doctorate,Male,8008000,0
ponguletisrinivasareddy,Khammam,Yuvajana Sramika Rythu Congress Party,48,GEN,#999,,PONGULETI  SRINIVASA REDDY,1182897,1,,Andhra Pradesh,421957,2014,30-04-2014,12th,Male,346150516,0
kothapalligeetha,Aruku,Yuvajana Sramika Rythu Congress Party,43,GEN,#999,,KOTHAPALLI GEETHA,909614,1,,Andhra Pradesh,413191,2014,07-05-2014,Post Graduate,Female,65147467,0
rammohannaidukinjarapu,Srikakulam,Telugu Desam,27,GEN,#4bacc6,,RAMMOHAN NAIDU KINJARAPU,1051446,1,,Andhra Pradesh,556163,2014,07-05-2014,Post Graduate,Male,84173423,0
ashokgajapathirajupusapati,Vizianagaram,Telugu Desam,62,GEN,#4bacc6,,ASHOK GAJAPATHI RAJU PUSAPATI,1120316,1,,Andhra Pradesh,536549,2014,07-05-2014,10th,Male,39054905,0
kambhampatiharibabu,Visakhapatnam,Bharatiya Janata Party,,,#FB7B0D,,KAMBHAMPATI HARI BABU,1163558,1,,Andhra Pradesh,566832,2014,,,,,
muttamsettisrinivasaraoavanthi,Anakapalli,Telugu Desam,,,#4bacc6,,MUTTAMSETTI SRINIVASA RAO (AVANTHI),1148072,1,,Andhra Pradesh,568463,2014,,,,,
thotanarasimham,Kakinada,Telugu Desam,,,#4bacc6,,THOTA NARASIMHAM,1099999,1,,Andhra Pradesh,514402,2014,,,,,
drpandularavindrababu,Amalapuram,Telugu Desam,,,#4bacc6,,DR PANDULA RAVINDRA BABU,1120927,1,,Andhra Pradesh,594547,2014,,,,,
muralimohanmaganti,Rajahmundry,Telugu Desam,73,GEN,#4bacc6,,MURALI MOHAN MAGANTI,1154381,1,,Andhra Pradesh,630573,2014,07-05-2014,12th,Male,180822216,1
gokarajugangaraju,Narsapuram,Bharatiya Janata Party,69,GEN,#FB7B0D,,GOKARAJU GANGA RAJU,1088951,1,,Andhra Pradesh,540306,2014,07-05-2014,Graduate,Male,2883567122,1
magantivenkateswararaobabu,Eluru,Telugu Desam,,,#4bacc6,,MAGANTI VENKATESWARA RAO (BABU),1201696,1,,Andhra Pradesh,623471,2014,,,,,
konakallanarayanarao,Machilipatnam,Telugu Desam,64,GEN,#4bacc6,,KONAKALLA NARAYANA RAO,1141065,1,,Andhra Pradesh,587280,2014,07-05-2014,12th,Male,34850000,0
kesinenisrinivas,Vijayawada,Telugu Desam,,,#4bacc6,,KESINENI SRINIVAS,1195075,1,,Andhra Pradesh,592696,2014,,,,,
jayadevgalla,Guntur,Telugu Desam,48,GEN,#4bacc6,,JAYADEV GALLA,1244926,1,,Andhra Pradesh,618417,2014,07-05-2014,Graduate,Male,6830581361,0
sambasivaraorayapati,Narasaraopet,Telugu Desam,,,#4bacc6,,SAMBASIVA RAO RAYAPATI,1282058,1,,Andhra Pradesh,632464,2014,,,,,
malyadrisriram,Bapatla,Telugu Desam,60,GEN,#4bacc6,,MALYADRI SRIRAM,1184634,1,,Andhra Pradesh,578145,2014,07-05-2014,Post Graduate,Male,45359744,0
yvsubbareddy,Ongole,Yuvajana Sramika Rythu Congress Party,,,#999,,Y.V.SUBBA REDDY,1208225,1,,Andhra Pradesh,589960,2014,,,,,
spyreddy,Nandyal,Yuvajana Sramika Rythu Congress Party,64,GEN,#999,,S.P.Y REDDY,1204956,1,,Andhra Pradesh,622411,2014,07-05-2014,Graduate,Male,219578079,2
buttarenuka,Kurnool,Yuvajana Sramika Rythu Congress Party,42,GEN,#999,,BUTTA RENUKA,1065732,1,,Andhra Pradesh,472782,2014,07-05-2014,10th,Female,2426240513,1
jcdivakarreddi,Anantapur,Telugu Desam,,,#4bacc6,,J.C. DIVAKAR REDDI,1205054,1,,Andhra Pradesh,606509,2014,,,,,
kristappanimmala,Hindupur,Telugu Desam,57,GEN,#4bacc6,,KRISTAPPA NIMMALA,1177257,1,,Andhra Pradesh,604291,2014,07-05-2014,Graduate,Male,35793637,2
ysavinashreddy,Kadapa,Yuvajana Sramika Rythu Congress Party,,,#999,,Y.S. AVINASH REDDY,1200662,1,,Andhra Pradesh,671983,2014,,,,,
mekapatirajamohanreddy,Nellore,Yuvajana Sramika Rythu Congress Party,69,GEN,#999,,MEKAPATI RAJAMOHAN REDDY,1187648,1,,Andhra Pradesh,576396,2014,07-05-2014,Graduate Professional,Male,361746068,2
varaprasadraovelagapalli,Tirupati,Yuvajana Sramika Rythu Congress Party,61,GEN,#999,,VARAPRASAD RAO VELAGAPALLI,1213064,1,,Andhra Pradesh,580376,2014,07-05-2014,Doctorate,Male,129128388,0
pvmidhunreddy,Rajampet,Yuvajana Sramika Rythu Congress Party,36,GEN,#999,,P.V.MIDHUN REDDY,1158317,1,,Andhra Pradesh,601752,2014,07-05-2014,Post Graduate,Male,225984036,1
naramallisivaprasad,Chittoor,Telugu Desam,62,GEN,#4bacc6,,NARAMALLI SIVAPRASAD,1198915,1,,Andhra Pradesh,594862,2014,07-05-2014,Graduate Professional,Male,14878003,0
kirenrijiju,Arunachal West,Bharatiya Janata Party,42,GEN,#FB7B0D,,KIREN RIJIJU,335665,1,,Arunachal Pradesh,169367,2014,09-04-2014,Graduate,Male,12539868,0
ninongering,Arunachal East,Indian National Congress,55,GEN,#019733,,NINONG ERING,261291,1,,Arunachal Pradesh,118455,2014,09-04-2014,Graduate,Male,88065000,0
radheshyambiswas,Karimganj,All India United Democratic Front,59,GEN,#999,,RADHESHYAM BISWAS,886920,1,,Assam,362866,2014,12-04-2014,12th,Male,7068281,0
sushmitadev,Silchar,Indian National Congress,41,GEN,#019733,,SUSHMITA DEV,799830,1,,Assam,336451,2014,12-04-2014,Post Graduate,Female,87495844,1
birensinghengti,Autonomous District,Indian National Congress,74,GEN,#019733,,BIREN SINGH ENGTI,543280,1,,Assam,213152,2014,12-04-2014,Post Graduate,Male,35367390,0
badruddinajmal,Dhubri,All India United Democratic Front,50,GEN,#999,,BADRUDDIN AJMAL,1369624,1,,Assam,592569,2014,24-04-2014,Others,Male,432748134,1
nabakumarsaraniahira,Kokrajhar,Independent,,,#95b3d7,,NABA KUMAR SARANIA (HIRA),1223869,1,,Assam,634428,2014,,,,,
sirajuddinajmal,Barpeta,All India United Democratic Front,57,GEN,#999,,SIRAJ UDDIN AJMAL,1205863,1,,Assam,394702,2014,24-04-2014,Graduate,Male,670806607,0
bijoyachakravarty,Gauhati,Bharatiya Janata Party,,,#FB7B0D,,BIJOYA CHAKRAVARTY,1511729,1,,Assam,764985,2014,,,,,
ramendeka,Mangaldoi,Bharatiya Janata Party,59,GEN,#FB7B0D,,RAMEN DEKA,1233237,1,,Assam,486357,2014,24-04-2014,Graduate,Male,14782357,0
ramprasadsarmah,Tezpur,Bharatiya Janata Party,,,#FB7B0D,,RAM PRASAD SARMAH,980688,1,,Assam,446511,2014,,,,,
rajengohain,Nowgong,Bharatiya Janata Party,63,GEN,#FB7B0D,,RAJEN GOHAIN,1230074,1,,Assam,494146,2014,24-04-2014,Graduate Professional,Male,24736544,1
gouravgogoi,Kaliabor,Indian National Congress,31,GEN,#019733,,GOURAV GOGOI,1166490,1,,Assam,443315,2014,07-04-2014,Post Graduate,Male,5473199,0
kamakhyaprasadtasa,Jorhat,Bharatiya Janata Party,38,GEN,#FB7B0D,,KAMAKHYA PRASAD TASA,931336,1,,Assam,456420,2014,07-04-2014,Post Graduate,Male,1694785,0
rameswarteli,Dibrugarh,Bharatiya Janata Party,,,#FB7B0D,,RAMESWAR TELI,890968,1,,Assam,494364,2014,,,,,
sarbanandasonowal,Lakhimpur,Bharatiya Janata Party,52,GEN,#FB7B0D,,SARBANANDA SONOWAL,1111975,1,,Assam,612543,2014,07-04-2014,Graduate Professional,Male,14497515,0
satishchandradubey,Valmiki Nagar,Bharatiya Janata Party,,,#FB7B0D,,SATISH CHANDRA DUBEY,900114,1,,Bihar,364011,2014,,,,,
drsanjayjaiswal,Paschim Champaran,Bharatiya Janata Party,,,#FB7B0D,,DR. SANJAY JAISWAL,854800,1,,Bihar,371232,2014,,,,,
radhamohansingh,Purvi Champaran,Bharatiya Janata Party,64,GEN,#FB7B0D,,RADHA MOHAN SINGH,822671,1,,Bihar,400452,2014,12-05-2014,Graduate,Male,22558073,0
ramadevi,Sheohar,Bharatiya Janata Party,65,GEN,#FB7B0D,,RAMA DEVI,842894,1,,Bihar,372506,2014,07-05-2014,Post Graduate,Female,308591850,5
ramkumarsharma,Sitamarhi,Rashtriya Lok Samta Party,50,GEN,#999,,RAM KUMAR SHARMA,900588,1,,Bihar,411265,2014,07-05-2014,Post Graduate,Male,9265000,0
hukmdeonarayanyadav,Madhubani,Bharatiya Janata Party,,,#FB7B0D,,HUKM DEO NARAYAN YADAV,860453,1,,Bihar,358040,2014,,,,,
birendrakumarchaudhary,Jhanjharpur,Bharatiya Janata Party,60,GEN,#FB7B0D,,BIRENDRA KUMAR CHAUDHARY,941249,1,,Bihar,335481,2014,30-04-2014,Post Graduate,Male,5158792,0
ranjeetranjan,Supaul,Indian National Congress,41,GEN,#019733,,RANJEET RANJAN,970528,1,,Bihar,332927,2014,24-04-2014,12th,Female,81242965,5
tasleemuddin,Araria,Rashtriya Janata Dal,,,#999,,TASLEEM UDDIN,975811,1,,Bihar,407978,2014,,,,,
mohammadasrarulhaque,Kishanganj,Indian National Congress,67,GEN,#019733,,MOHAMMAD ASRARUL HAQUE,928490,1,,Bihar,493461,2014,24-04-2014,Post Graduate,Male,4616629,2
tariqanwar,Katihar,Nationalist Congress Party,,,#999,,TARIQ ANWAR,977830,1,,Bihar,431292,2014,,,,,
santoshkumar,Purnia,Janata Dal  (United),35,GEN,#8064a2,,SANTOSH KUMAR,1017732,1,,Bihar,418826,2014,24-04-2014,12th,Male,22316594,3
rajeshranjan@pappuyadav,Madhepura,Rashtriya Janata Dal,,,#999,,RAJESH RANJAN @ PAPPU YADAV,1034799,1,,Bihar,368937,2014,,,,,
kirtiazad,Darbhanga,Bharatiya Janata Party,55,GEN,#FB7B0D,,KIRTI AZAD,828342,1,,Bihar,314949,2014,30-04-2014,Graduate,Male,28531267,4
ajaynishad,Muzaffarpur,Bharatiya Janata Party,45,GEN,#FB7B0D,,AJAY NISHAD,948887,1,,Bihar,469295,2014,07-05-2014,Graduate,Male,145712654,0
ramakishoresingh,Vaishali,Lok Jan Shakti Party,51,GEN,#999,,RAMA KISHORE SINGH,925937,1,,Bihar,305450,2014,12-05-2014,Graduate,Male,21610218,4
janakram,Gopalganj (Sc),Bharatiya Janata Party,42,GEN,#FB7B0D,,JANAK RAM,903583,1,,Bihar,478773,2014,12-05-2014,Post Graduate,Male,10582664,2
omprakashyadav,Siwan,Bharatiya Janata Party,48,GEN,#FB7B0D,,OM PRAKASH YADAV,884021,1,,Bihar,372670,2014,12-05-2014,Graduate,Male,2213023,1
pankaj,Maharajganj,Bharatiya Janata Party,44,GEN,#FB7B0D,,PANKAJ,1902732,1,,Uttar Pradesh,471542,2014,12-05-2014,12th,Male,191819151,0
rajivprataprudy,Saran,Bharatiya Janata Party,53,GEN,#FB7B0D,,RAJIV PRATAP RUDY,863254,1,,Bihar,355120,2014,07-05-2014,Post Graduate,Male,62545997,1
ramvilaspaswan,Hajipur (Sc),Lok Jan Shakti Party,67,GEN,#999,,RAMVILAS PASWAN,904753,1,,Bihar,455652,2014,07-05-2014,Post Graduate,Male,9642023,2
nityanandrai,Ujiarpur,Bharatiya Janata Party,48,GEN,#FB7B0D,,NITYANAND RAI,858920,1,,Bihar,317352,2014,07-05-2014,Graduate,Male,146743540,1
ramchandrapaswan,Samastipur (Sc),Lok Jan Shakti Party,53,GEN,#999,,RAM CHANDRA PASWAN,863199,1,,Bihar,270401,2014,30-04-2014,10th,Male,13058612,3
bholasingh,Begusarai,Bharatiya Janata Party,75,GEN,#FB7B0D,,BHOLA SINGH,1077855,1,,Bihar,428227,2014,30-04-2014,Doctorate,Male,25248102,0
choudharymahboobalikaiser,Khagaria,Lok Jan Shakti Party,47,GEN,#999,,CHOUDHARY MAHBOOB ALI KAISER,896231,1,,Bihar,313806,2014,30-04-2014,Graduate,Male,66569502,1
shaileshkumarurphbulomandal,Bhagalpur,Rashtriya Janata Dal,38,GEN,#999,,SHAILESH KUMAR URPH BULO MANDAL,974016,1,,Bihar,367623,2014,24-04-2014,12th,Male,20216734,1
jaiprakashnarayanyadav,Banka,Rashtriya Janata Dal,60,GEN,#999,,JAI PRAKASH NARAYAN YADAV,899353,1,,Bihar,285150,2014,24-04-2014,Post Graduate,Male,27846274,2
veenadevi,Munger,Lok Jan Shakti Party,41,GEN,#999,,VEENA DEVI,914350,1,,Bihar,352911,2014,17-04-2014,8th,Female,31162836,0
kaushlendrakumar,Nalanda,Janata Dal  (United),49,GEN,#8064a2,,KAUSHLENDRA KUMAR,921761,1,,Bihar,321982,2014,17-04-2014,12th,Male,11815717,0
shatrughanasinha,Patna Sahib,Bharatiya Janata Party,,,#FB7B0D,,SHATRUGHANA SINHA,882262,1,,Bihar,485905,2014,,,,,
ramkripalyadav,Pataliputra,Bharatiya Janata Party,53,GEN,#FB7B0D,,RAM KRIPAL YADAV,978649,1,,Bihar,383262,2014,17-04-2014,Graduate,Male,13989431,1
rajkumarsingh,Arrah,Bharatiya Janata Party,61,GEN,#FB7B0D,,RAJ KUMAR SINGH,893213,1,,Bihar,391074,2014,17-04-2014,Graduate Professional,Male,48403293,0
ashwinikumarchoubey,Buxar,Bharatiya Janata Party,61,GEN,#FB7B0D,,ASHWINI KUMAR CHOUBEY,888204,1,,Bihar,319012,2014,17-04-2014,Graduate,Male,22094499,0
chhedipaswan,Sasaram (Sc),Bharatiya Janata Party,58,GEN,#FB7B0D,,CHHEDI PASWAN,846788,1,,Bihar,366087,2014,10-04-2014,Post Graduate,Male,35776803,0
upendrakushwaha,Karakat,Rashtriya Lok Samta Party,51,GEN,#999,,UPENDRA KUSHWAHA,789927,1,,Bihar,338892,2014,10-04-2014,Post Graduate,Male,24829741,4
drarunkumar,Jahanabad,Rashtriya Lok Samta Party,55,GEN,#999,,DR. ARUN KUMAR,811516,1,,Bihar,322647,2014,17-04-2014,Doctorate,Male,38846631,1
chandrakantbhauraokhaire,Aurangabad,Shivsena,62,GEN,#F05A00,,CHANDRAKANT BHAURAO KHAIRE,1769207,1,,Maharashtra,520902,2014,24-04-2014,12th,Male,90614560,8
harimanjhi,Gaya (Sc),Bharatiya Janata Party,51,GEN,#FB7B0D,,HARI MANJHI,809378,1,,Bihar,326230,2014,10-04-2014,8th,Male,10184120,1
girirajsingh,Nawada,Bharatiya Janata Party,61,GEN,#FB7B0D,,GIRIRAJ SINGH,884441,1,,Bihar,390248,2014,10-04-2014,Graduate,Male,50054771,1
chiragkumarpaswan,Jamui (Sc),Lok Jan Shakti Party,32,GEN,#999,,CHIRAG KUMAR PASWAN,775639,1,,Bihar,285354,2014,10-04-2014,12th,Male,10414470,0
shripadyessonaik,North Goa,Bharatiya Janata Party,61,GEN,#FB7B0D,,SHRIPAD YESSO NAIK,406631,1,,Goa,237903,2014,12-04-2014,Graduate,Male,37019154,0
advnarendrakeshavsawaikar,South Goa,Bharatiya Janata Party,47,GEN,#FB7B0D,,ADV. NARENDRA KESHAV SAWAIKAR,410369,1,,Goa,198776,2014,12-04-2014,Graduate Professional,Male,6260382,0
chavdavinodlakhamashi,Kachchh,Bharatiya Janata Party,,,#FB7B0D,,CHAVDA VINOD LAKHAMASHI,946240,1,,Gujarat,562855,2014,,,,,
chaudharyharibhaiparthibhai,Banaskantha,Bharatiya Janata Party,,,#FB7B0D,,CHAUDHARY HARIBHAI PARTHIBHAI,886634,1,,Gujarat,507856,2014,,,,,
liladharbhaikhodajivaghela,Patan,Bharatiya Janata Party,,,#FB7B0D,,LILADHARBHAI KHODAJI VAGHELA,955799,1,,Gujarat,518538,2014,,,,,
pateljayshreebenkanubhai,Mahesana,Bharatiya Janata Party,55,GEN,#FB7B0D,,PATEL JAYSHREEBEN KANUBHAI,1004258,1,,Gujarat,580250,2014,30-04-2014,10th,Female,13278493,0
rathoddipsinhshankarsinh,Sabarkantha,Bharatiya Janata Party,62,GEN,#FB7B0D,,RATHOD DIPSINH SHANKARSINH,1094002,1,,Gujarat,552205,2014,30-04-2014,8th,Male,20700176,0
lkadvani,Gandhinagar,Bharatiya Janata Party,,,#FB7B0D,,L.K.ADVANI,1135495,1,,Gujarat,773539,2014,,,,,
pareshrawal,Ahmedabad East,Bharatiya Janata Party,,,#FB7B0D,,PARESH RAWAL,985525,1,,Gujarat,633582,2014,,,,,
drkiritpsolanki,Ahmedabad West,Bharatiya Janata Party,,,#FB7B0D,,DR. KIRIT P SOLANKI,964609,1,,Gujarat,617104,2014,,,,,
fateparadevajibhaigovindbhai,Surendranagar,Bharatiya Janata Party,55,GEN,#FB7B0D,,FATEPARA DEVAJIBHAI GOVINDBHAI,944677,1,,Gujarat,529003,2014,30-04-2014,Literate,Male,11685000,1
kundariyamohanbhaikalyanjibhai,Rajkot,Bharatiya Janata Party,,,#FB7B0D,,KUNDARIYA MOHANBHAI KALYANJIBHAI,1057069,1,,Gujarat,621524,2014,,,,,
radadiyavithalbhaihansrajbhai,Porbandar,Bharatiya Janata Party,55,GEN,#FB7B0D,,RADADIYA VITHALBHAI  HANSRAJBHAI,809433,1,,Gujarat,508437,2014,30-04-2014,Graduate,Male,73003639,10
poonambenhematbhaimaadam,Jamnagar,Bharatiya Janata Party,,,#FB7B0D,,POONAMBEN HEMATBHAI MAADAM,852643,1,,Gujarat,484412,2014,,,,,
chudasamarajeshbhainaranbhai,Junagadh,Bharatiya Janata Party,31,GEN,#FB7B0D,,CHUDASAMA RAJESHBHAI NARANBHAI,941378,1,,Gujarat,513179,2014,30-04-2014,12th,Male,7446059,1
kachhadiyanaranbhaibhikhabhai,Amreli,Bharatiya Janata Party,58,GEN,#FB7B0D,,KACHHADIYA NARANBHAI BHIKHABHAI,808816,1,,Gujarat,436715,2014,30-04-2014,12th,Male,34164801,2
drbharatibendhirubhaishiyal,Bhavnagar,Bharatiya Janata Party,,,#FB7B0D,,DR. BHARATIBEN DHIRUBHAI SHIYAL,917402,1,,Gujarat,549529,2014,,,,,
dilippatel,Anand,Bharatiya Janata Party,,,#FB7B0D,,DILIP PATEL,970894,1,,Gujarat,490829,2014,,,,,
chauhandevusinhjesingbhaichauhandevusinh,Kheda,Bharatiya Janata Party,,,#FB7B0D,,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),955906,1,,Gujarat,568235,2014,,,,,
chauhanprabhatsinhpratapsinh,Panchmahal,Bharatiya Janata Party,72,GEN,#FB7B0D,,CHAUHAN PRABHATSINH PRATAPSINH,933461,1,,Gujarat,508274,2014,30-04-2014,10th,Male,10464000,3
jasvantsinhsumanbhaibhabhor,Dahod,Bharatiya Janata Party,,,#FB7B0D,,JASVANTSINH SUMANBHAI BHABHOR,900381,1,,Gujarat,511111,2014,,,,,
narendramodi,Vadodara,Bharatiya Janata Party,63,GEN,#FB7B0D,,NARENDRA MODI,1161577,1,,Gujarat,845464,2014,30-04-2014,Post Graduate,Male,15157582,0
ramsinhrathwa,Chhota Udaipur,Bharatiya Janata Party,,,#FB7B0D,,RAMSINH RATHWA,1100542,1,,Gujarat,607916,2014,,,,,
vasavamansukhbhaidhanjibhai,Bharuch,Bharatiya Janata Party,,,#FB7B0D,,VASAVA MANSUKHBHAI DHANJIBHAI,1060211,1,,Gujarat,548902,2014,,,,,
vasavaparbhubhainagarbhai,Bardoli,Bharatiya Janata Party,,,#FB7B0D,,VASAVA PARBHUBHAI NAGARBHAI,1206179,1,,Gujarat,622769,2014,,,,,
darshanavikramjardosh,Surat,Bharatiya Janata Party,,,#FB7B0D,,DARSHANA VIKRAM JARDOSH,947922,1,,Gujarat,718412,2014,,,,,
crpatil,Navsari,Bharatiya Janata Party,,,#FB7B0D,,C. R. PATIL,1160747,1,,Gujarat,820831,2014,,,,,
drkcpatel,Valsad,Bharatiya Janata Party,65,GEN,#FB7B0D,,DR. K.C.PATEL,1122203,1,,Gujarat,617772,2014,30-04-2014,Graduate Professional,Male,131141867,0
rattanlalkataria,Ambala,Bharatiya Janata Party,62,GEN,#FB7B0D,,RATTAN LAL KATARIA,1218995,1,,Haryana,612121,2014,10-04-2014,Post Graduate,Male,42150634,0
rajkumarsaini,Kurukshetra,Bharatiya Janata Party,60,GEN,#FB7B0D,,RAJ KUMAR SAINI,1135892,1,,Haryana,418112,2014,10-04-2014,Graduate,Male,132880476,0
charanjeetsinghrori,Sirsa,Indian National Lok Dal,,,#999,,CHARANJEET SINGH RORI,1279105,1,,Haryana,506370,2014,,,,,
dushyantchautala,Hisar,Indian National Lok Dal,26,GEN,#999,,DUSHYANT CHAUTALA,1155914,1,,Haryana,494478,2014,10-04-2014,Graduate,Male,361326990,0
ashwinikumar,Karnal,Bharatiya Janata Party,57,GEN,#FB7B0D,,ASHWINI KUMAR,1193500,1,,Haryana,594817,2014,10-04-2014,Graduate,Male,698638135,6
rameshchander,Sonipat,Bharatiya Janata Party,,,#FB7B0D,,RAMESH CHANDER,985637,1,,Haryana,347203,2014,,,,,
deependersinghhooda,Rohtak,Indian National Congress,,,#019733,,DEEPENDER SINGH HOODA,1044331,1,,Haryana,490063,2014,,,,,
dharambirs/obhaleram,Bhiwani-Mahendragarh,Bharatiya Janata Party,,,#FB7B0D,,DHARAMBIR S/O BHALE RAM,1030431,1,,Haryana,404542,2014,,,,,
inderjitsinghrao,Gurgaon,Bharatiya Janata Party,,,#FB7B0D,,INDERJIT SINGH RAO,1320619,1,,Haryana,644780,2014,,,,,
krishanpal,Faridabad,Bharatiya Janata Party,57,GEN,#FB7B0D,,KRISHAN PAL,1130726,1,,Haryana,652516,2014,10-04-2014,Graduate Professional,Male,296440144,0
shantakumar,Kangra,Bharatiya Janata Party,79,GEN,#FB7B0D,,SHANTA KUMAR,799445,1,,Himachal Pradesh,456163,2014,07-05-2014,Graduate Professional,Male,19852104,0
ramswaroopsharma,Mandi,Bharatiya Janata Party,55,GEN,#FB7B0D,,RAM SWAROOP SHARMA,726094,1,,Himachal Pradesh,362824,2014,07-05-2014,10th,Male,10178871,0
kunwarpushpendrasinghchandel,Hamirpur,Bharatiya Janata Party,,,#FB7B0D,,KUNWAR PUSHPENDRA SINGH CHANDEL,1810445,1,,Uttar Pradesh,453884,2014,,,,,
virenderkashyap,Shimla,Bharatiya Janata Party,63,GEN,#FB7B0D,,VIRENDER KASHYAP,737757,1,,Himachal Pradesh,385973,2014,07-05-2014,Post Graduate,Male,5228095,0
muzaffarhussainbaig,Baramulla,Jammu & Kashmir Peoples Democratic Party,67,GEN,#999,,MUZAFFAR HUSSAIN BAIG,465992,1,,Jammu & Kashmir,175277,2014,07-05-2014,Post Graduate,Male,200707183,0
tariqhameedkarra,Srinagar,Jammu & Kashmir Peoples Democratic Party,58,GEN,#999,,TARIQ HAMEED KARRA,312212,1,,Jammu & Kashmir,157923,2014,30-04-2014,Graduate Professional,Male,984556436,0
mehboobamufti,Anantnag,Jammu & Kashmir Peoples Democratic Party,54,GEN,#999,,MEHBOOBA MUFTI,375279,1,,Jammu & Kashmir,200429,2014,24-04-2014,Graduate Professional,Female,5200000,1
thupstanchhewang,Ladakh,Bharatiya Janata Party,67,GEN,#FB7B0D,,THUPSTAN CHHEWANG,118029,1,,Jammu & Kashmir,31111,2014,07-05-2014,Graduate Professional,Male,19852701,0
drjitendrasingh,Udhampur,Bharatiya Janata Party,57,GEN,#FB7B0D,,DR. JITENDRA SINGH,1041758,1,,Jammu & Kashmir,487369,2014,17-04-2014,Graduate Professional,Male,38464932,0
jugalkishore,Jammu,Bharatiya Janata Party,51,GEN,#FB7B0D,,JUGAL KISHORE,1253593,1,,Jammu & Kashmir,619995,2014,10-04-2014,10th,Male,26824308,0
prakashbabannahukkeri,Chikkodi,Indian National Congress,,,#019733,,PRAKASH BABANNA HUKKERI,1071103,1,,Karnataka,474373,2014,,,,,
angadisureshchannabasappa,Belgaum,Bharatiya Janata Party,,,#FB7B0D,,ANGADI SURESH CHANNABASAPPA,1078547,1,,Karnataka,554417,2014,,,,,
gaddigoudarparvtagoudachandanagouda,Bagalkot,Bharatiya Janata Party,,,#FB7B0D,,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,1079310,1,,Karnataka,571548,2014,,,,,
rameshjigajinagi,Bijapur,Bharatiya Janata Party,64,GEN,#FB7B0D,,RAMESH JIGAJINAGI,966757,1,,Karnataka,471757,2014,17-04-2014,Graduate,Male,89429828,2
