state,constituency,party,name,age,category,gender,votes,polled_votes,year,poll_date,education,assets,criminal_cases,color
Assam,Lakhimpur,Bharatiya Janata Party,SARBANANDA SONOWAL,52,GEN,Male,612543,1111975,2014,07-04-2014,Graduate Professional,14497515,0,#FB7B0D
Maharashtra,Chandrapur,Bharatiya Janata Party,AHIR HANSRAJ GANGARAM,59,GEN,Male,508049,1109743,2014,10-04-2014,10th,15548000,11,#FB7B0D
Uttar Pradesh,Jalaun,Bharatiya Janata Party,BHANU PRATAP SINGH VERMA,55,GEN,Male,548631,1109166,2014,30-04-2014,Post Graduate,5774068,0,#FB7B0D
Andhra Pradesh,Nagarkurnool,Indian National Congress,YELLAIAH NANDI,71,GEN,Male,420075,1108968,2014,30-04-2014,Graduate,7048969,0,#019733
West Bengal,Raiganj,Communist Party of India  (Marxist),MD. SALIM,56,GEN,Male,317515,1108193,2014,24-04-2014,Post Graduate,7868013,0,#DE0000
Madhya Pradesh,Chhindwara,Indian National Congress,KAMAL NATH,67,GEN,Male,559755,1107498,2014,10-04-2014,Graduate,2069080434,0,#019733
Uttar Pradesh,Muzaffarnagar,Bharatiya Janata Party,(DR.) SANJEEV KUMAR BALYAN,41,GEN,Male,653391,1107434,2014,10-04-2014,Doctorate,10794222,1,#FB7B0D
Tamil Nadu,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,KAMARAJ. K,48,GEN,Male,533383,1107241,2014,24-04-2014,Post Graduate,35459256,0,#9DBC2A
Punjab,Firozpur,Shiromani Akali Dal,SHER SINGH GHUBAYA,51,GEN,Male,487932,1105412,2014,30-04-2014,10th,96121057,0,#999
Uttar Pradesh,Firozabad,Samajwadi Party,AKSHAY YADAV,27,GEN,Male,534583,1104606,2014,24-04-2014,Graduate,100883304,0,#B15928
Rajasthan,Bhilwara,Bharatiya Janata Party,SUBHASH BAHERIA,57,GEN,Male,630317,1104090,2014,17-04-2014,Graduate,142870042,0,#FB7B0D
Nct Of Delhi,South Delhi,Bharatiya Janata Party,RAMESH BIDHURI,52,GEN,Male,497980,1102410,2014,10-04-2014,Graduate Professional,147493056,4,#FB7B0D
Karnataka,Tumkur,Indian National Congress,MUDDAHANUMEGOWDA.S.P.,59,GEN,Male,429868,1101484,2014,17-04-2014,Graduate Professional,30273812,0,#019733
Uttarakhand,Nainital-Udhamsingh Nagar,Bharatiya Janata Party,BHAGAT SINGH KOSHYARI,72,GEN,Male,636769,1101435,2014,07-05-2014,Post Graduate,5562704,0,#FB7B0D
Tamil Nadu,Dharmapuri,Pattali Makkal Katchi,ANBUMANI RAMADOSS,45,GEN,Male,468194,1101345,2014,24-04-2014,Graduate Professional,314378451,8,#999
Gujarat,Chhota Udaipur,Bharatiya Janata Party,RAMSINH RATHWA,62,GEN,Male,607916,1100542,2014,30-04-2014,Post Graduate,39769675,0,#FB7B0D
Punjab,Ludhiana,Indian National Congress,RAVNEET SINGH BITTU,38,GEN,Male,300459,1100457,2014,30-04-2014,12th,31509170,0,#019733
Andhra Pradesh,Kakinada,Telugu Desam,THOTA NARASIMHAM,53,GEN,Male,514402,1099999,2014,07-05-2014,Graduate,17495976,0,#4bacc6
Punjab,Sangrur,Aam Aadmi Party,BHAGWANT MANN,41,GEN,Male,533237,1099467,2014,30-04-2014,12th,43057512,0,#999
Karnataka,Chitradurga,Indian National Congress,B.N.CHANDRAPPA,58,GEN,Male,467511,1096499,2014,17-04-2014,Post Graduate,48303759,0,#019733
Tamil Nadu,Arani,All India Anna Dravida Munnetra Kazhagam,V.ELUMALAI,58,GEN,Male,502721,1096046,2014,24-04-2014,Graduate Professional,70492462,0,#9DBC2A
Uttar Pradesh,Amroha,Bharatiya Janata Party,KANWAR SINGH TANWAR,52,GEN,Male,528880,1095860,2014,17-04-2014,5th,1788430770,0,#FB7B0D
Rajasthan,Pali,Bharatiya Janata Party,P P CHOUDHARY,60,GEN,Male,711772,1095587,2014,17-04-2014,Graduate Professional,353503467,0,#FB7B0D
Andhra Pradesh,Zahirabad,Telangana Rashtra Samithi,B.B. PATIL,58,GEN,Male,508661,1094806,2014,30-04-2014,Graduate,1023173039,0,#999
Gujarat,Sabarkantha,Bharatiya Janata Party,RATHOD DIPSINH SHANKARSINH,62,GEN,Male,552205,1094002,2014,30-04-2014,8th,20700176,0,#FB7B0D
West Bengal,Maldaha Dakshin,Indian National Congress,ABU HASEM KHAN CHOWDHURY,70,GEN,Male,380291,1092407,2014,24-04-2014,Doctorate,11560825,0,#019733
Chhattisgarh,Bilaspur,Bharatiya Janata Party,LAKHAN LAL SAHU,43,GEN,Male,561387,1090457,2014,24-04-2014,Post Graduate,8661133,0,#FB7B0D
Maharashtra,Shirur,Shivsena,ADHALRAO SHIVAJI DATTATREY,59,GEN,Male,643415,1089506,2014,17-04-2014,Post Graduate,253598315,10,#F05A00
Tamil Nadu,Arakkonam,All India Anna Dravida Munnetra Kazhagam,"HARI, G.",53,GEN,Male,493534,1089052,2014,24-04-2014,Post Graduate,32966706,4,#9DBC2A
Andhra Pradesh,Narsapuram,Bharatiya Janata Party,GOKARAJU GANGA RAJU,69,GEN,Male,540306,1088951,2014,07-05-2014,Graduate,2883567122,1,#FB7B0D
Tamil Nadu,Chidambaram,All India Anna Dravida Munnetra Kazhagam,"CHANDRAKASI, M",45,GEN,Male,429536,1088423,2014,24-04-2014,Graduate,7243646,0,#9DBC2A
Rajasthan,Jalore,Bharatiya Janata Party,DEVJI PATEL,37,GEN,Male,580508,1087272,2014,17-04-2014,10th,51846777,0,#FB7B0D
Punjab,Anandpur Sahib,Shiromani Akali Dal,PREM SINGH CHANDUMAJRA,64,GEN,Male,347394,1086563,2014,30-04-2014,Post Graduate,141599902,0,#999
Maharashtra,Nagpur,Bharatiya Janata Party,GADKARI NITIN JAIRAM,56,GEN,Male,587767,1085058,2014,10-04-2014,Graduate Professional,153704475,4,#FB7B0D
Odisha,Keonjhar,Biju Janata Dal,SAKUNTALA LAGURI,34,GEN,Female,434471,1083869,2014,17-04-2014,10th,101531625,0,#000000
Tamil Nadu,Dindigul,All India Anna Dravida Munnetra Kazhagam,UDHAYA KUMAR .M,45,GEN,Male,510462,1083364,2014,24-04-2014,Post Graduate,27810000,0,#9DBC2A
Madhya Pradesh,Ratlam,Bharatiya Janata Party,DILEEPSINGH BHURIA,68,GEN,Male,545970,1082681,2014,24-04-2014,10th,12259882,0,#FB7B0D
Odisha,Bhadrak,Biju Janata Dal,ARJUN CHARAN SETHI,73,GEN,Male,502338,1081339,2014,17-04-2014,Post Graduate,6730000,0,#000000
Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,DR. J. JAYAVARDHAN,26,GEN,Male,438404,1081163,2014,24-04-2014,Graduate Professional,33959072,0,#9DBC2A
Maharashtra,Madha,Nationalist Congress Party,MOHITE PATIL VIJAYSINH SHANKARRAO,69,GEN,Male,489989,1079619,2014,17-04-2014,10th,170253390,1,#999
Karnataka,Bagalkot,Bharatiya Janata Party,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,61,GEN,Male,571548,1079310,2014,17-04-2014,Graduate Professional,36362500,0,#FB7B0D
Rajasthan,Jodhpur,Bharatiya Janata Party,GAJENDRASINGH SHEKHAWAT,46,GEN,Male,713515,1078598,2014,17-04-2014,Post Graduate,143491494,0,#FB7B0D
Karnataka,Belgaum,Bharatiya Janata Party,ANGADI SURESH CHANNABASAPPA,58,GEN,Male,554417,1078547,2014,17-04-2014,Graduate Professional,417003065,1,#FB7B0D
Uttar Pradesh,Kheri,Bharatiya Janata Party,AJAY KUMAR,55,GEN,Male,398578,1077868,2014,17-04-2014,Graduate Professional,26505977,2,#FB7B0D
Bihar,Begusarai,Bharatiya Janata Party,BHOLA SINGH,75,GEN,Male,428227,1077855,2014,30-04-2014,Doctorate,25248102,0,#FB7B0D
Uttar Pradesh,Mathura,Bharatiya Janata Party,HEMA MALINI,65,GEN,Female,574633,1076868,2014,24-04-2014,Doctorate,1782015620,0,#FB7B0D
Madhya Pradesh,Dhar,Bharatiya Janata Party,SAVITRI THAKUR,35,GEN,Female,558387,1076816,2014,24-04-2014,10th,9606464,0,#FB7B0D
Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,"PARTHIPAN, R.",50,GEN,Male,571254,1075583,2014,24-04-2014,Graduate,22047681,0,#9DBC2A
Karnataka,Bangalore Central,Bharatiya Janata Party,P.C. MOHAN,50,GEN,Male,557130,1074589,2014,17-04-2014,12th,475796999,2,#FB7B0D
Madhya Pradesh,Vidisha,Bharatiya Janata Party,SUSHMA SWARAJ,62,GEN,Female,714348,1073473,2014,24-04-2014,Graduate Professional,175516422,0,#FB7B0D
Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,KAMLA PATLE,48,GEN,Male,518909,1073347,2014,24-04-2014,12th,18224350,0,#FB7B0D
Tripura,Tripura West,Communist Party of India  (Marxist),SANKAR PRASAD DATTA,56,GEN,Male,671665,1072749,2014,07-04-2014,Post Graduate,1320900,1,#DE0000
Karnataka,Chikkodi,Indian National Congress,PRAKASH BABANNA HUKKERI,67,GEN,Male,474373,1071103,2014,17-04-2014,12th,75717628,0,#019733
Uttar Pradesh,Agra,Bharatiya Janata Party,DR. RAM SHANKAR KATHERIA,49,GEN,Male,583716,1070400,2014,24-04-2014,Doctorate,14634885,21,#FB7B0D
Tamil Nadu,Krishnagiri,All India Anna Dravida Munnetra Kazhagam,ASHOK KUMAR.K,60,GEN,Male,480491,1068391,2014,24-04-2014,10th,1176436,3,#9DBC2A
Uttar Pradesh,Barabanki,Bharatiya Janata Party,PRIYANKA SINGH RAWAT,28,GEN,Female,454214,1068168,2014,30-04-2014,Post Graduate,13175500,0,#FB7B0D
Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,RAJENDRAN S,57,GEN,Male,482704,1067641,2014,24-04-2014,Graduate,6200000,0,#9DBC2A
Tamil Nadu,Tiruvannamalai,All India Anna Dravida Munnetra Kazhagam,VANAROJA R,55,GEN,Female,500751,1067447,2014,24-04-2014,Post Graduate,3700000,0,#9DBC2A
Maharashtra,Baramati,Nationalist Congress Party,SUPRIYA SULE,44,GEN,Female,521562,1066556,2014,17-04-2014,Graduate,1139090851,0,#999
Maharashtra,Jalna,Bharatiya Janata Party,DANVE RAOSAHEB DADARAO,60,GEN,Male,591428,1066259,2014,24-04-2014,Graduate,184411862,4,#FB7B0D
Rajasthan,Sikar,Bharatiya Janata Party,SUMEDHANAND SARASWATI,62,GEN,Male,499428,1065750,2014,17-04-2014,Others,34311,0,#FB7B0D
Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,BUTTA RENUKA,42,GEN,Female,472782,1065732,2014,07-05-2014,10th,2426240513,1,#999
Uttar Pradesh,Aligarh,Bharatiya Janata Party,SATISH KUMAR,42,GEN,Male,514622,1064357,2014,10-04-2014,10th,52180006,1,#FB7B0D
West Bengal,Balurghat,All India Trinamool Congress,ARPITA GHOSH,47,GEN,Female,409641,1063053,2014,24-04-2014,Graduate,544790,0,#0C6965
Maharashtra,Ahmadnagar,Bharatiya Janata Party,GANDHI DILIPKUMAR MANSUKHLAL,64,GEN,Male,605185,1062318,2014,17-04-2014,10th,65316725,10,#FB7B0D
Rajasthan,Alwar,Bharatiya Janata Party,CHAND NATH,58,GEN,Male,642278,1062305,2014,24-04-2014,Graduate,199653,0,#FB7B0D
Uttar Pradesh,Bijnor,Bharatiya Janata Party,KUNWAR BHARTENDRA,50,GEN,Male,486913,1060346,2014,10-04-2014,Post Graduate,24840646,2,#FB7B0D
Uttar Pradesh,Dhaurahra,Bharatiya Janata Party,REKHA,32,GEN,Female,360357,1060271,2014,30-04-2014,10th,10435468,0,#FB7B0D
Gujarat,Bharuch,Bharatiya Janata Party,VASAVA MANSUKHBHAI DHANJIBHAI,56,GEN,Male,548902,1060211,2014,30-04-2014,Post Graduate,6571062,0,#FB7B0D
Tamil Nadu,Namakkal,All India Anna Dravida Munnetra Kazhagam,SUNDARAM P.R,62,GEN,Male,563272,1058755,2014,24-04-2014,Graduate,126539914,0,#9DBC2A
Maharashtra,Latur,Bharatiya Janata Party,DR. SUNIL BALIRAM GAIKWAD,43,GEN,Male,616509,1057156,2014,17-04-2014,Doctorate,17463251,0,#FB7B0D
Gujarat,Rajkot,Bharatiya Janata Party,KUNDARIYA MOHANBHAI KALYANJIBHAI,62,GEN,Male,621524,1057069,2014,30-04-2014,8th,39512950,0,#FB7B0D
Uttar Pradesh,Sambhal,Bharatiya Janata Party,SATYAPAL SINGH,40,GEN,Male,360242,1057002,2014,17-04-2014,Post Graduate,19904379,0,#FB7B0D
Uttar Pradesh,Fatehpur,Bharatiya Janata Party,NIRANJAN JYOTI,47,GEN,Female,485994,1056688,2014,30-04-2014,12th,4123779,1,#FB7B0D
Maharashtra,Thane,Shivsena,VICHARE RAJAN BABURAO,52,GEN,Male,595364,1054189,2014,24-04-2014,10th,102091612,13,#F05A00
Odisha,Mayurbhanj,Biju Janata Dal,RAMA CHANDRA HANSDAH,39,GEN,Male,393779,1053399,2014,17-04-2014,Graduate,3630888,0,#000000
Chhattisgarh,Korba,Bharatiya Janata Party,DR. BANSHILAL MAHTO,73,GEN,Male,439002,1052720,2014,24-04-2014,Graduate Professional,72303762,0,#FB7B0D
Andhra Pradesh,Srikakulam,Telugu Desam,RAMMOHAN NAIDU KINJARAPU,27,GEN,Male,556163,1051446,2014,07-05-2014,Post Graduate,84173423,0,#4bacc6
Maharashtra,Hingoli,Indian National Congress,RAJEEV SHANKARRAO SATAV,39,GEN,Male,467397,1051164,2014,17-04-2014,Graduate Professional,49681499,0,#019733
West Bengal,Barrackpore,All India Trinamool Congress,DINESH TRIVEDI,63,GEN,Male,479206,1051130,2014,12-05-2014,Post Graduate,53582340,0,#0C6965
Uttar Pradesh,Pilibhit,Bharatiya Janata Party,MANEKA SANJAY GANDHI,57,GEN,Female,546934,1050547,2014,17-04-2014,12th,374132826,1,#FB7B0D
Maharashtra,Ramtek,Shivsena,KRUPAL BALAJI TUMANE,48,GEN,Male,519892,1050316,2014,10-04-2014,Graduate,46564362,1,#F05A00
Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,V.SATHYABAMA,43,GEN,Female,442778,1050190,2014,24-04-2014,Post Graduate,28108573,2,#9DBC2A
Jharkhand,Ranchi,Bharatiya Janata Party,RAM TAHAL CHOUDHARY,72,GEN,Male,448729,1049783,2014,17-04-2014,10th,10743950,0,#FB7B0D
Odisha,Balasore,Biju Janata Dal,RABINDRA KUMAR JENA,46,GEN,Male,433768,1049450,2014,17-04-2014,Post Graduate,570139716,0,#000000
Jharkhand,Godda,Bharatiya Janata Party,NISHIKANT DUBEY,42,GEN,Male,380500,1049442,2014,24-04-2014,Post Graduate,155633719,5,#FB7B0D
Uttar Pradesh,Hathras,Bharatiya Janata Party,RAJESH KUMAR DIWAKER,43,GEN,Male,544277,1049273,2014,24-04-2014,Graduate Professional,5651457,0,#FB7B0D
Jharkhand,Jamshedpur,Bharatiya Janata Party,BIDYUT BARAN MAHATO,46,GEN,Male,464153,1049140,2014,17-04-2014,12th,14135054,2,#FB7B0D
Uttar Pradesh,Basti,Bharatiya Janata Party,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,40,GEN,Male,357680,1048534,2014,07-05-2014,Post Graduate,5350882,2,#FB7B0D
Madhya Pradesh,Betul,Bharatiya Janata Party,JYOTI DHURVE,47,GEN,Female,643651,1047719,2014,24-04-2014,Post Graduate,26232000,2,#FB7B0D
Maharashtra,Sangli,Bharatiya Janata Party,SANJAYKAKA PATIL,49,GEN,Male,611563,1046659,2014,17-04-2014,10th,108791027,0,#FB7B0D
Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,"THAMBIDURAI,M.",67,GEN,Male,540722,1046534,2014,24-04-2014,Doctorate,132457262,2,#9DBC2A
Andhra Pradesh,Adilabad,Telangana Rashtra Samithi,GODAM NAGESH,49,GEN,Male,430847,1045839,2014,30-04-2014,Post Graduate,10378857,0,#999
Karnataka,Bellary,Bharatiya Janata Party,B. SREERAMULU,43,GEN,Male,534406,1045772,2014,17-04-2014,Graduate,151392844,8,#FB7B0D
Haryana,Rohtak,Indian National Congress,DEEPENDER SINGH HOODA,36,GEN,Male,490063,1044331,2014,10-04-2014,Post Graduate,358749354,0,#019733
Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,SUKHBIR SINGH JAUNAPURIA,56,GEN,Male,548179,1043040,2014,24-04-2014,12th,714124612,0,#FB7B0D
Punjab,Gurdaspur,Bharatiya Janata Party,VINOD KHANNA,68,GEN,Male,482255,1042699,2014,30-04-2014,Graduate,669343376,0,#FB7B0D
Odisha,Dhenkanal,Biju Janata Dal,TATHAGATA SATPATHY,57,GEN,Male,453277,1042101,2014,17-04-2014,Others,35434099,7,#000000
Jammu & Kashmir,Udhampur,Bharatiya Janata Party,DR. JITENDRA SINGH,57,GEN,Male,487369,1041758,2014,17-04-2014,Graduate Professional,38464932,0,#FB7B0D
Karnataka,Dharwad,Bharatiya Janata Party,PRALHAD JOSHI,51,GEN,Male,545395,1041226,2014,17-04-2014,Graduate,41979658,1,#FB7B0D
Punjab,Jalandhar,Indian National Congress,SANTOKH SINGH CHAUDHARY,67,GEN,Male,380479,1040762,2014,30-04-2014,Graduate Professional,104040531,0,#019733
Punjab,Khadoor Sahib,Shiromani Akali Dal,RANJIT SINGH BRAHMPURA,76,GEN,Male,467332,1040518,2014,30-04-2014,8th,177814755,0,#999
Uttar Pradesh,Gorakhpur,Bharatiya Janata Party,ADITYANATH,41,GEN,Male,539127,1040199,2014,12-05-2014,Graduate,7217674,3,#FB7B0D
Uttar Pradesh,Ghosi,Bharatiya Janata Party,HARINARAYAN RAJBHAR,73,GEN,Male,379797,1039656,2014,12-05-2014,Literate,23403964,0,#FB7B0D
Odisha,Puri,Biju Janata Dal,PINAKI MISRA,54,GEN,Male,523161,1039389,2014,17-04-2014,Graduate Professional,1370991203,0,#000000
Nagaland,Nagaland,Naga Peoples Front,NEIPHIU RIO,63,GEN,Male,713372,1038910,2014,09-04-2014,Graduate,315834264,0,#999
Bihar,Madhepura,Rashtriya Janata Dal,RAJESH RANJAN @ PAPPU YADAV,46,GEN,Male,368937,1034799,2014,30-04-2014,Graduate,81242966,24,#999
Uttar Pradesh,Ambedkar Nagar,Bharatiya Janata Party,HARI OM PANDEY,58,GEN,Male,432104,1034404,2014,07-05-2014,Post Graduate,15318114,0,#FB7B0D
Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,SHOBHA KARANDLAJE,47,GEN,Female,581168,1034108,2014,17-04-2014,Post Graduate,72089452,0,#FB7B0D
Andhra Pradesh,Nizamabad,Telangana Rashtra Samithi,KALVAKUNTLA KAVITHA,36,GEN,Female,439307,1033924,2014,30-04-2014,Graduate Professional,61955750,8,#999
Uttar Pradesh,Lucknow,Bharatiya Janata Party,RAJ NATH SINGH,62,GEN,Male,561106,1033783,2014,30-04-2014,Post Graduate,29240729,0,#FB7B0D
Maharashtra,Yavatmal-Washim,Shivsena,GAWALI BHAVANA PUNDLIKRAO,41,GEN,Female,477905,1032949,2014,10-04-2014,Graduate,60886040,4,#F05A00
Punjab,Faridkot,Aam Aadmi Party,PROF. SADHU SINGH,73,GEN,Male,450751,1032107,2014,30-04-2014,Post Graduate,5879516,0,#999
Madhya Pradesh,Hoshangabad,Bharatiya Janata Party,UDAY PRATAP SINGH,49,GEN,Male,669128,1031175,2014,10-04-2014,Graduate,133375092,1,#FB7B0D
Punjab,Fatehgarh Sahib,Aam Aadmi Party,HARINDER SINGH KHALSA,67,GEN,Male,367293,1030954,2014,30-04-2014,Post Graduate,35588128,0,#999
Tamil Nadu,Perambalur,All India Anna Dravida Munnetra Kazhagam,"MARUTHARAJAA, R.P.",51,GEN,Male,462693,1030826,2014,24-04-2014,Post Graduate,24570213,0,#9DBC2A
Uttar Pradesh,Varanasi,Bharatiya Janata Party,NARENDRA MODI,63,GEN,Male,581022,1030685,2014,12-05-2014,Post Graduate,16591582,0,#FB7B0D
Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,DHARAMBIR S/O BHALE RAM,59,GEN,Male,404542,1030431,2014,10-04-2014,Graduate,50057200,0,#FB7B0D
Uttar Pradesh,Badaun,Samajwadi Party,DHARMENDRA YADAV,37,GEN,Male,498378,1027594,2014,17-04-2014,Post Graduate,24987715,0,#B15928
Maharashtra,Gadchiroli-Chimur,Bharatiya Janata Party,ASHOK MAHADEORAO NETE,50,GEN,Male,535982,1027129,2014,10-04-2014,12th,12125676,0,#FB7B0D
Tamil Nadu,Sivaganga,All India Anna Dravida Munnetra Kazhagam,SENTHILNATHAN PR,46,GEN,Male,475993,1027036,2014,24-04-2014,Graduate Professional,49050835,0,#9DBC2A
Uttar Pradesh,Sitapur,Bharatiya Janata Party,RAJESH VERMA,54,GEN,Male,417546,1026972,2014,30-04-2014,Post Graduate,41418622,0,#FB7B0D
Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,BHARATHI MOHAN R.K,47,GEN,Male,513729,1025538,2014,24-04-2014,12th,7378589,1,#9DBC2A
Jharkhand,Kodarma,Bharatiya Janata Party,RAVINDRA KR. RAY,50,GEN,Male,365410,1024906,2014,10-04-2014,Doctorate,10564046,0,#FB7B0D
Uttar Pradesh,Faizabad,Bharatiya Janata Party,LALLU SINGH,59,GEN,Male,491761,1022716,2014,07-05-2014,Post Graduate,15127861,1,#FB7B0D
Andhra Pradesh,Peddapalle,Telangana Rashtra Samithi,BALKA SUMAN,31,GEN,Male,565496,1022184,2014,30-04-2014,Post Graduate,7351329,1,#999
Odisha,Nabarangpur,Biju Janata Dal,BALABHADRA MAJHI,53,GEN,Male,373887,1022172,2014,10-04-2014,Graduate,52977088,0,#000000
Tamil Nadu,Tenkasi,All India Anna Dravida Munnetra Kazhagam,VASANTHI.M,52,GEN,Female,424586,1017938,2014,24-04-2014,Post Graduate,24014922,0,#9DBC2A
Uttar Pradesh,Bareilly,Bharatiya Janata Party,SANTOSH KUMAR GANGWAR,64,GEN,Male,518258,1017891,2014,17-04-2014,Graduate Professional,38602862,0,#FB7B0D
Bihar,Purnia,Janata Dal  (United),SANTOSH KUMAR,35,GEN,Male,418826,1017732,2014,24-04-2014,12th,22316594,3,#8064a2
Chhattisgarh,Kanker,Bharatiya Janata Party,VIKRAM DEV USENDI,48,GEN,Male,465215,1016943,2014,17-04-2014,10th,23376000,0,#FB7B0D
Madhya Pradesh,Ujjain,Bharatiya Janata Party,PROF. CHINTAMANI MALVIYA,44,GEN,Male,641101,1016405,2014,24-04-2014,Doctorate,18888754,0,#FB7B0D
Andhra Pradesh,Mahbubnagar,Telangana Rashtra Samithi,AP JITHENDER REDDY,60,GEN,Male,334228,1014800,2014,30-04-2014,Graduate,140831576,4,#999
Rajasthan,Jaipur Rural,Bharatiya Janata Party,RAJYAVARDHAN SINGH RATHORE,44,GEN,Male,632930,1013691,2014,17-04-2014,Graduate,83734044,0,#FB7B0D
Maharashtra,Wardha,Bharatiya Janata Party,RAMDAS CHANDRABHANJI TADAS,60,GEN,Male,537518,1013445,2014,10-04-2014,10th,33628998,5,#FB7B0D
Maharashtra,Nanded,Indian National Congress,ASHOK SHANKARRAO CHAVAN,55,GEN,Male,493075,1013350,2014,17-04-2014,Post Graduate,388758910,0,#019733
Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,MAHENDRAN.C,42,GEN,Male,417092,1012667,2014,24-04-2014,Post Graduate,231430367,0,#9DBC2A
Tamil Nadu,Thanjavur,All India Anna Dravida Munnetra Kazhagam,PARASURAMAN.K,53,GEN,Male,510307,1012258,2014,24-04-2014,12th,146049347,0,#9DBC2A
Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,SHARAD TRIPATHI,42,GEN,Male,348892,1011649,2014,07-05-2014,Post Graduate,3697671,0,#FB7B0D
Tamil Nadu,Virudhunagar,All India Anna Dravida Munnetra Kazhagam,RADHAKRISHNAN T,59,GEN,Male,406694,1010930,2014,24-04-2014,10th,43736485,0,#9DBC2A
Madhya Pradesh,Rajgarh,Bharatiya Janata Party,RODMAL NAGAR,53,GEN,Male,596727,1010724,2014,17-04-2014,Graduate,28569974,0,#FB7B0D
Odisha,Sundargarh,Bharatiya Janata Party,JUAL @ JUEL ORAM,53,GEN,Male,340508,1010711,2014,10-04-2014,Others,24202170,1,#FB7B0D
Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,BHOLA SINGH,38,GEN,Male,604449,1009710,2014,10-04-2014,Graduate,12577537,0,#FB7B0D
Maharashtra,Raver,Bharatiya Janata Party,KHADASE RAKSHA NIKHIL,26,GEN,Female,605452,1009213,2014,24-04-2014,Graduate,144222841,0,#FB7B0D
Tamil Nadu,Erode,All India Anna Dravida Munnetra Kazhagam,SELVAKUMARA CHINNAYAN S,55,GEN,Male,466995,1008582,2014,24-04-2014,Post Graduate,47459708,0,#9DBC2A
Uttar Pradesh,Mirzapur,Apna Dal,ANUPRIYA SINGH PATEL,33,GEN,Female,436536,1007627,2014,12-05-2014,Post Graduate,26858156,2,#999
Punjab,Amritsar,Indian National Congress,CAPTAIN AMARINDER SINGH,72,GEN,Male,482876,1007196,2014,30-04-2014,Graduate,863564071,3,#019733
Uttar Pradesh,Jaunpur,Bharatiya Janata Party,KRISHNA PRATAP 'K.P.',37,GEN,Male,367149,1007143,2014,12-05-2014,Doctorate,40656909,0,#FB7B0D
Karnataka,Koppal,Bharatiya Janata Party,KARADI SANGANNA AMARAPPA,59,GEN,Male,486383,1006508,2014,17-04-2014,10th,12127000,1,#FB7B0D
Rajasthan,Jhunjhunu,Bharatiya Janata Party,SANTOSH AHLAWAT,57,GEN,Female,488182,1006465,2014,17-04-2014,Post Graduate,35897048,0,#FB7B0D
Uttar Pradesh,Baghpat,Bharatiya Janata Party,DR. SATYA PAL SINGH,58,GEN,Male,423475,1004263,2014,10-04-2014,Doctorate,67402076,0,#FB7B0D
Gujarat,Mahesana,Bharatiya Janata Party,PATEL JAYSHREEBEN KANUBHAI,55,GEN,Female,580250,1004258,2014,30-04-2014,10th,13278493,0,#FB7B0D
Maharashtra,Amravati,Shivsena,ADSUL ANANDRAO VITHOBA,66,GEN,Male,467212,1004061,2014,10-04-2014,Graduate,32596257,1,#F05A00
Rajasthan,Nagaur,Bharatiya Janata Party,C R CHOUDHARY,66,GEN,Male,414791,1004019,2014,17-04-2014,Post Graduate,17921949,0,#FB7B0D
Andhra Pradesh,Secundrabad,Bharatiya Janata Party,BANDARU DATTATREYA,66,GEN,Male,438271,1003769,2014,30-04-2014,Graduate,98255148,3,#FB7B0D
Madhya Pradesh,Jabalpur,Bharatiya Janata Party,RAKESH SINGH,53,GEN,Male,564609,1002184,2014,10-04-2014,Graduate,27823610,1,#FB7B0D
Tamil Nadu,Ramanathapuram,All India Anna Dravida Munnetra Kazhagam,ANWHAR RAAJHAA.A,65,GEN,Male,405945,1001048,2014,24-04-2014,Graduate,33582876,0,#9DBC2A
Karnataka,Uttara Kannada,Bharatiya Janata Party,ANANTKUMAR HEGDE,46,GEN,Male,546939,1001038,2014,17-04-2014,12th,32367360,0,#FB7B0D
Uttar Pradesh,Mainpuri,Samajwadi Party,MULAYAM SINGH YADAV,74,GEN,Male,595918,999265,2014,24-04-2014,Post Graduate,159671544,0,#B15928
Uttar Pradesh,Misrikh,Bharatiya Janata Party,ANJU BALA,34,GEN,Female,412575,998314,2014,30-04-2014,Graduate,37618214,0,#FB7B0D
Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,RAM CHARITRA NISHAD,46,GEN,Male,438210,997902,2014,12-05-2014,12th,8641278,0,#FB7B0D
