#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
13,Saharanpur Nagar,3,Abhinandan Pathak,VAJP,292,2012,219492,0.13
14,Saharanpur Nagar,3,Shiv Kumar Gupta,RVLP,220,2012,219492,0.1
15,Saharanpur Nagar,3,Deepak Jatav,LJP,190,2012,219492,0.09
16,Saharanpur Nagar,3,Pawan,JAKP,184,2012,219492,0.08
17,Saharanpur Nagar,3,Saahiram,RLM,163,2012,219492,0.07
18,Saharanpur Nagar,3,Geetali Kaushik,RPI(A),112,2012,219492,0.05
1,Saharanpur,4,Jagpal,BSP,80670,2012,203882,39.57
2,Saharanpur,4,Ch. Abdul Wahid,INC,63557,2012,203882,31.17
3,Saharanpur,4,Abdul Sarfraz Khan,SP,43018,2012,203882,21.1
4,Saharanpur,4,Vikram Singh,BJP,10739,2012,203882,5.27
5,Saharanpur,4,Sarafat,IND,1127,2012,203882,0.55
6,Saharanpur,4,Harpal Singh,IND,1044,2012,203882,0.51
7,Saharanpur,4,Ashalata,IND,937,2012,203882,0.46
8,Saharanpur,4,Mahaveer Singh Saini,IND,908,2012,203882,0.45
9,Saharanpur,4,Akshay Kumar,AITC,418,2012,203882,0.21
10,Saharanpur,4,Pavan,IND,388,2012,203882,0.19
11,Saharanpur,4,Rahul Bharti,PECP,282,2012,203882,0.14
12,Saharanpur,4,Nand Lal Singh,IND,215,2012,203882,0.11
13,Saharanpur,4,Saleem Ahmad,NCP,209,2012,203882,0.1
14,Saharanpur,4,Satya Prakash,RKSP,187,2012,203882,0.09
15,Saharanpur,4,Rakesh Kumar,RLM,183,2012,203882,0.09
1,Deoband,5,Rajendra Singh Rana,SP,66682,2012,195818,34.05
2,Deoband,5,Manoj Chaudhary,BSP,63632,2012,195818,32.5
3,Deoband,5,Anil Kumar Tanwar,INC,45495,2012,195818,23.23
4,Deoband,5,Rajpal Singh,BJP,9903,2012,195818,5.06
5,Deoband,5,Om Kumar,MD,2469,2012,195818,1.26
6,Deoband,5,Subhash,IND,1155,2012,195818,0.59
7,Deoband,5,Mukesh,VAJP,1128,2012,195818,0.58
8,Deoband,5,Munfat Rana,IND,807,2012,195818,0.41
9,Deoband,5,Ranbeer Singh,IND,761,2012,195818,0.39
10,Deoband,5,Mohd. Masud,IND,753,2012,195818,0.38
11,Deoband,5,Sushma Devi,IND,593,2012,195818,0.3
12,Deoband,5,Anwar Ali,RPI(A),532,2012,195818,0.27
13,Deoband,5,Rao Killan Khan,RLM,329,2012,195818,0.17
14,Deoband,5,Harish,RMD,320,2012,195818,0.16
15,Deoband,5,Sushil Kumar Tyagi,JAKP,293,2012,195818,0.15
16,Deoband,5,Anish,LJP,292,2012,195818,0.15
17,Deoband,5,M. Kaleem,RLNP,258,2012,195818,0.13
18,Deoband,5,Janak Singh,PECP,233,2012,195818,0.12
19,Deoband,5,Madan,RJSWP,183,2012,195818,0.09
1,Rampur Maniharan,6,Ravinder Kumar Molhu,BSP,77274,2012,195468,39.53
2,Rampur Maniharan,6,Vinod Kumar Tejyan,INC,50668,2012,195468,25.92
3,Rampur Maniharan,6,Vishvadayal Chotan,SP,47492,2012,195468,24.3
4,Rampur Maniharan,6,Rakesh Kumar Ganguli,BJP,16395,2012,195468,8.39
5,Rampur Maniharan,6,Ved Rani,RLM,1020,2012,195468,0.52
6,Rampur Maniharan,6,Mohar Singh,PECP,771,2012,195468,0.39
7,Rampur Maniharan,6,Bharat Bhushan,AITC,763,2012,195468,0.39
8,Rampur Maniharan,6,Chatter Singh Dhanghar,VAJP,564,2012,195468,0.29
9,Rampur Maniharan,6,Balwant Singh,SDPI,292,2012,195468,0.15
10,Rampur Maniharan,6,Parveen Kumar,RJSWP,229,2012,195468,0.12
1,Gangoh,7,Pardeep Kumar,INC,65149,2012,229081,28.44
2,Gangoh,7,Ruder Sain,SP,61126,2012,229081,26.68
3,Gangoh,7,Shagufta Khan,BSP,41110,2012,229081,17.95
4,Gangoh,7,Nahid Hasan,IND,33288,2012,229081,14.53
5,Gangoh,7,Shashi Bala Pundir,BJP,15357,2012,229081,6.7
6,Gangoh,7,Naxshatra Pal,MD,6319,2012,229081,2.76
7,Gangoh,7,Subhash,AITC,2770,2012,229081,1.21
8,Gangoh,7,Shiv Kumar,VAJP,1237,2012,229081,0.54
9,Gangoh,7,Kawar Pal,IND,1140,2012,229081,0.5
10,Gangoh,7,Dharmendra Kumar,JAKP,395,2012,229081,0.17
11,Gangoh,7,Rajnesh Nautiyal,ASP,369,2012,229081,0.16
12,Gangoh,7,Ashok,SHS,324,2012,229081,0.14
13,Gangoh,7,Pankaj Kumar,RJSWP,290,2012,229081,0.13
14,Gangoh,7,Dushyant Kumar,RLM,207,2012,229081,0.09
1,Kairana,8,Hukum Singh,BJP,80293,2012,177767,45.17
2,Kairana,8,Anwar Hasan,BSP,60750,2012,177767,34.17
3,Kairana,8,Ayyub Jang,SP,21267,2012,177767,11.96
4,Kairana,8,Abdul Aziz,IND,5862,2012,177767,3.3
5,Kairana,8,Firoj Khan,LD,4108,2012,177767,2.31
6,Kairana,8,Neeraj Kumar,IND,1618,2012,177767,0.91
7,Kairana,8,Radha,BHVSP,1029,2012,177767,0.58
8,Kairana,8,Ugar Singh,IND,973,2012,177767,0.55
9,Kairana,8,Tejpal,IND,733,2012,177767,0.41
10,Kairana,8,Gurdeep,JD(U),648,2012,177767,0.36
11,Kairana,8,Mo.) Akram Chouhan,IND,251,2012,177767,0.14
12,Kairana,8,Yakub,PECP,235,2012,177767,0.13
1,Thana Bhawan,9,Suresh Kumar,BJP,53719,2012,175117,30.68
2,Thana Bhawan,9,Ashraf Ali Khan,RLD,53454,2012,175117,30.52
3,Thana Bhawan,9,Abdul Waris Khan,BSP,50001,2012,175117,28.55
4,Thana Bhawan,9,Kiran Pal Kashyap,SP,10198,2012,175117,5.82
5,Thana Bhawan,9,Jai Singh,VAJP,1777,2012,175117,1.01
6,Thana Bhawan,9,Imtayaz Ali Khan,IND,1321,2012,175117,0.75
7,Thana Bhawan,9,Hari Om Sharma,JLKP,766,2012,175117,0.44
8,Thana Bhawan,9,Seema Malik,PECP,744,2012,175117,0.42
9,Thana Bhawan,9,Mohan,MD,514,2012,175117,0.29
10,Thana Bhawan,9,Ummed Hasan,RLM,492,2012,175117,0.28
11,Thana Bhawan,9,Sukh Parsanna Dass,AIRSP,461,2012,175117,0.26
12,Thana Bhawan,9,Sanspal Singh,JD(U),460,2012,175117,0.26
13,Thana Bhawan,9,Babu Singh,LD,400,2012,175117,0.23
14,Thana Bhawan,9,Rajesh Kumar,RJSWP,354,2012,175117,0.2
15,Thana Bhawan,9,Raj Bahadur,IJP,279,2012,175117,0.16
16,Thana Bhawan,9,Bhupendra,MKUP,177,2012,175117,0.1
1,Shamli,10,Pankaj Kumar Malik,INC,53947,2012,168304,32.05
2,Shamli,10,Virendra Singh,SP,50206,2012,168304,29.83
3,Shamli,10,Balbir Singh,BSP,45597,2012,168304,27.09
4,Shamli,10,Satyendra Verma,BJP,9105,2012,168304,5.41
5,Shamli,10,Saleem,PECP,3455,2012,168304,2.05
6,Shamli,10,Sunil,LJP,918,2012,168304,0.55
7,Shamli,10,Ajit Prasad,IND,749,2012,168304,0.45
8,Shamli,10,Opin Kumar,IND,611,2012,168304,0.36
9,Shamli,10,Shiv Kumar,IND,403,2012,168304,0.24
10,Shamli,10,Krishan Pal,IND,334,2012,168304,0.2
11,Shamli,10,Rasid,RLM,292,2012,168304,0.17
12,Shamli,10,Yogendra Kumar Sharma,IND,291,2012,168304,0.17
13,Shamli,10,Balram Singh,BHVSP,271,2012,168304,0.16
14,Shamli,10,Vinod Kumar,IND,256,2012,168304,0.15
15,Shamli,10,Arvind,AITC,239,2012,168304,0.14
16,Shamli,10,Praveen,IND,217,2012,168304,0.13
17,Shamli,10,Udaiveer,LD,193,2012,168304,0.11
18,Shamli,10,Yogesh,JAKP,185,2012,168304,0.11
19,Shamli,10,Akabar,RJSWP,172,2012,168304,0.1
20,Shamli,10,Dilashad,RPD,167,2012,168304,0.1
21,Shamli,10,Mohd.) Gufran Kazmi,IND,153,2012,168304,0.09
22,Shamli,10,Anish,VIP,152,2012,168304,0.09
23,Shamli,10,Archana,MKUP,145,2012,168304,0.09
24,Shamli,10,Ilyas,JD(U),110,2012,168304,0.07
25,Shamli,10,Mangeram,IND,70,2012,168304,0.04
26,Shamli,10,Brijpal Singh,IND,66,2012,168304,0.04
1,Budhana,11,Nawazish Alam Khan,SP,68210,2012,192413,35.45
2,Budhana,11,Rajpal Singh Baliyan,RLD,57622,2012,192413,29.95
3,Budhana,11,Yog Raj Singh,BSP,41233,2012,192413,21.43
4,Budhana,11,Umesh Malik,BJP,15948,2012,192413,8.29
5,Budhana,11,Surendra,VAJP,2262,2012,192413,1.18
6,Budhana,11,Vinod Kumar,IND,1292,2012,192413,0.67
7,Budhana,11,Aslam Sammani,RLM,1146,2012,192413,0.6
8,Budhana,11,Charan Singh,BHVSP,1140,2012,192413,0.59
9,Budhana,11,Shamshad Ahmad,AIRSP,900,2012,192413,0.47
10,Budhana,11,Vinay Kumar Baliyan,IND,710,2012,192413,0.37
11,Budhana,11,Jogindra,LD,503,2012,192413,0.26
12,Budhana,11,Imlak Ali,AITC,489,2012,192413,0.25
13,Budhana,11,Ashok,RPD,452,2012,192413,0.23
14,Budhana,11,Lokesh,IJP,280,2012,192413,0.15
15,Budhana,11,Naresh,RMGP,226,2012,192413,0.12
1,Charthawal,12,Noor Saleem Rana,BSP,53481,2012,172399,31.02
2,Charthawal,12,Vijay Kumar,BJP,40775,2012,172399,23.65
3,Charthawal,12,Mukesh Kumar,SP,34292,2012,172399,19.89
4,Charthawal,12,Saiduzzama,INC,26523,2012,172399,15.38
5,Charthawal,12,Pradeep Baliyan,PECP,9559,2012,172399,5.54
6,Charthawal,12,Tapender,IND,1963,2012,172399,1.14
7,Charthawal,12,Vijay Saini,AITC,1860,2012,172399,1.08
8,Charthawal,12,Rajrani,IND,1390,2012,172399,0.81
9,Charthawal,12,Lalit Mohan Sharma,SHS,633,2012,172399,0.37
10,Charthawal,12,Yogender Pal,IND,401,2012,172399,0.23
11,Charthawal,12,Jasveer Singh,MKUP,322,2012,172399,0.19
12,Charthawal,12,Naseem,NLP,274,2012,172399,0.16
13,Charthawal,12,Rajeev Malik,LD,264,2012,172399,0.15
14,Charthawal,12,Rijwan,VIP,260,2012,172399,0.15
15,Charthawal,12,Balesh,RLM,238,2012,172399,0.14
16,Charthawal,12,Dushyant Pundir,JD(U),164,2012,172399,0.1
1,Purqazi,13,Anil Kumar,BSP,53491,2012,167467,31.94
2,Purqazi,13,Deepak Kumar,INC,44583,2012,167467,26.62
3,Purqazi,13,Uma Kiran,SP,40578,2012,167467,24.23
4,Purqazi,13,Prachi Aryaa,BJP,22987,2012,167467,13.73
5,Purqazi,13,Santram,IND,2551,2012,167467,1.52
6,Purqazi,13,Bala,IND,829,2012,167467,0.5
7,Purqazi,13,Sanjeev,AITC,510,2012,167467,0.3
8,Purqazi,13,Km.Rakesh Sodai,BSP(A),413,2012,167467,0.25
9,Purqazi,13,Hariom,MKUP,391,2012,167467,0.23
10,Purqazi,13,Deepak Kumar,JD(U),348,2012,167467,0.21
11,Purqazi,13,Sarlu,LJP,340,2012,167467,0.2
12,Purqazi,13,Amar Singh,AIRSP,264,2012,167467,0.16
13,Purqazi,13,Prakash Chand Raja,RLM,182,2012,167467,0.11
1,Muzaffar Nagar,14,Chitranjan Swaroop,SP,59169,2012,169256,34.96
2,Muzaffar Nagar,14,Ashok Kansal,BJP,44167,2012,169256,26.09
3,Muzaffar Nagar,14,Arvind Raj Sharma,BSP,31529,2012,169256,18.63
4,Muzaffar Nagar,14,Somansh Prakash,INC,21171,2012,169256,12.51
5,Muzaffar Nagar,14,Mohammad Saleem Ansari,PECP,7293,2012,169256,4.31
6,Muzaffar Nagar,14,Sanjay,JD(U),1324,2012,169256,0.78
7,Muzaffar Nagar,14,Badar Khan,IND,832,2012,169256,0.49
8,Muzaffar Nagar,14,Seema,IND,613,2012,169256,0.36
9,Muzaffar Nagar,14,Rakam Singh,IND,582,2012,169256,0.34
10,Muzaffar Nagar,14,Naseem Ahamad Ansari,IND,420,2012,169256,0.25
11,Muzaffar Nagar,14,Jakir Husain,AITC,352,2012,169256,0.21
12,Muzaffar Nagar,14,Shiksha,VAJP,340,2012,169256,0.2
13,Muzaffar Nagar,14,Sitara Begum Ansari,NNP,319,2012,169256,0.19
14,Muzaffar Nagar,14,Yogendra Kumar,ABHM,308,2012,169256,0.18
15,Muzaffar Nagar,14,Mange Ram Kashyap,MKUP,242,2012,169256,0.14
16,Muzaffar Nagar,14,Jaivir,LJP,236,2012,169256,0.14
17,Muzaffar Nagar,14,Prem Singh,RMD,224,2012,169256,0.13
18,Muzaffar Nagar,14,Mohd. Shabrej,RLM,135,2012,169256,0.08
1,Khatauli,15,Kartar Singh Bhadana,RLD,46722,2012,170229,27.45
2,Khatauli,15,Tara Chand Shastri,BSP,40847,2012,170229,24
3,Khatauli,15,Shyam Lal,SP,39358,2012,170229,23.12
4,Khatauli,15,Sudhir Kumar,BJP,19029,2012,170229,11.18
5,Khatauli,15,Pramod,IND,7021,2012,170229,4.12
6,Khatauli,15,Shahnawaz,IND,6818,2012,170229,4.01
7,Khatauli,15,Vijaypal Singh,IND,1250,2012,170229,0.73
8,Khatauli,15,Shahid,BSKP,993,2012,170229,0.58
9,Khatauli,15,Mohd. Zia,IND,992,2012,170229,0.58
10,Khatauli,15,Brhamdutt,MD,932,2012,170229,0.55
11,Khatauli,15,Sanjeev Kumar,IND,838,2012,170229,0.49
12,Khatauli,15,Ali Hassan,IND,762,2012,170229,0.45
13,Khatauli,15,Ramveer,IND,743,2012,170229,0.44
14,Khatauli,15,Lavakush Kumar,IND,721,2012,170229,0.42
15,Khatauli,15,Bhagat Ram,JD(U),587,2012,170229,0.34
16,Khatauli,15,Manoj,IND,583,2012,170229,0.34
17,Khatauli,15,Professor] Jitendra,IND,488,2012,170229,0.29
18,Khatauli,15,Bhushan,IND,386,2012,170229,0.23
19,Khatauli,15,Phool Singh,IND,375,2012,170229,0.22
20,Khatauli,15,Pavan,MKUP,311,2012,170229,0.18
21,Khatauli,15,Mustaq Ali,MUL,240,2012,170229,0.14
22,Khatauli,15,Shahoor Hasan,IND,233,2012,170229,0.14
1,Meerapur,16,Jamil Ahmad Qasmi,BSP,56802,2012,168742,33.66
2,Meerapur,16,Mithlesh Pal,RLD,44069,2012,168742,26.12
3,Meerapur,16,Veerpal Nirwal,BJP,25689,2012,168742,15.22
4,Meerapur,16,Mahrajuddin,SP,21083,2012,168742,12.49
5,Meerapur,16,Billu Alias Jaisingh,PECP,13650,2012,168742,8.09
6,Meerapur,16,Sanjeev Kumar,AITC,1807,2012,168742,1.07
7,Meerapur,16,Noor Ali,CPI,1249,2012,168742,0.74
8,Meerapur,16,Samsher Singh,IJP,1071,2012,168742,0.63
9,Meerapur,16,Satbir,JSP,704,2012,168742,0.42
10,Meerapur,16,Sethpal Singh,RMD,665,2012,168742,0.39
11,Meerapur,16,Saleem,NLP,461,2012,168742,0.27
12,Meerapur,16,Adesh Kumar,AIRSP,372,2012,168742,0.22
13,Meerapur,16,Naveen Kumar,JAKP,349,2012,168742,0.21
14,Meerapur,16,Deepak,JD(U),302,2012,168742,0.18
15,Meerapur,16,Natthan Singh,LJP,255,2012,168742,0.15
16,Meerapur,16,Jasweer,MKUP,214,2012,168742,0.13
1,Nazibabad,17,Tasleem,BSP,62713,2012,186974,33.54
2,Nazibabad,17,Rajeev Kumar Agarwal,BJP,51130,2012,186974,27.35
3,Nazibabad,17,Abrar Alam,RLD,30885,2012,186974,16.52
4,Nazibabad,17,Shahid Ali Khan,SP,28597,2012,186974,15.29
5,Nazibabad,17,Rampal Singh,CPM,2796,2012,186974,1.5
6,Nazibabad,17,Asarpat Singh,IND,1677,2012,186974,0.9
7,Nazibabad,17,Vijay Singh,AITC,1449,2012,186974,0.77
8,Nazibabad,17,Abhay Pratap,JD(U),1033,2012,186974,0.55
9,Nazibabad,17,Santram Singh,BSKP,996,2012,186974,0.53
10,Nazibabad,17,Rahul,IND,935,2012,186974,0.5
11,Nazibabad,17,Krishna Dutt,IND,905,2012,186974,0.48
12,Nazibabad,17,Mohd. Qasim,IND,781,2012,186974,0.42
13,Nazibabad,17,Zameer Hasan,MUL,725,2012,186974,0.39
14,Nazibabad,17,Shailendra Kumar,RANP,703,2012,186974,0.38
15,Nazibabad,17,Laddan,LJP,478,2012,186974,0.26
15,Nazibabad,17,Matloob,IJP,478,2012,186974,0.26
17,Nazibabad,17,Naubahar,JAKP,240,2012,186974,0.13
18,Nazibabad,17,Lakhveer Singh,RLM,232,2012,186974,0.12
19,Nazibabad,17,Fareed,SSD,221,2012,186974,0.12
1,Nagina,18,Manoj Kumar Paras,SP,83997,2012,182443,46.04
2,Nagina,18,Omwati Devi,BSP,57451,2012,182443,31.49
3,Nagina,18,Lovekush Kumar,BJP,23008,2012,182443,12.61
4,Nagina,18,Madhawa Ram,PECP,7164,2012,182443,3.93
5,Nagina,18,Phool Singh Choudhry,INC,5307,2012,182443,2.91
6,Nagina,18,Nardev Singh,IND,2237,2012,182443,1.23
7,Nagina,18,Babli Urf Gulshan Jahan,AITC,767,2012,182443,0.42
8,Nagina,18,Savitri,ASP,725,2012,182443,0.4
9,Nagina,18,Ramesh,RMD,503,2012,182443,0.28
10,Nagina,18,Asarpat Singh,IND,492,2012,182443,0.27
11,Nagina,18,Dayaram,RLNP,415,2012,182443,0.23
12,Nagina,18,Chhoti,MKUP,377,2012,182443,0.21
1,Barhapur,19,Mohd.Ghazi,BSP,68436,2012,202301,33.83
2,Barhapur,19,Indra Dev Singh,BJP,41061,2012,202301,20.3
3,Barhapur,19,Husain Ahmad,INC,39083,2012,202301,19.32
4,Barhapur,19,Sadhna Singh,MD,29881,2012,202301,14.77
5,Barhapur,19,Kafeel,SP,8652,2012,202301,4.28
6,Barhapur,19,Dayawati,LJP,2213,2012,202301,1.09
7,Barhapur,19,Lalit Kumar,RPD,1483,2012,202301,0.73
8,Barhapur,19,Vijay Pal,RMD,1314,2012,202301,0.65
9,Barhapur,19,Sanjeev Kumar,IND,1053,2012,202301,0.52
10,Barhapur,19,Jogendra,AITC,1038,2012,202301,0.51
11,Barhapur,19,Birju,PECP,1027,2012,202301,0.51
12,Barhapur,19,Mohd. Kafeel,RLNP,978,2012,202301,0.48
13,Barhapur,19,Mohd. Faraheem,NNP,883,2012,202301,0.44
14,Barhapur,19,Sanjay Gahlaut,RLM,857,2012,202301,0.42
15,Barhapur,19,Jagesh Pal,PHSP,804,2012,202301,0.4
16,Barhapur,19,Brahampal,BSKP,571,2012,202301,0.28
17,Barhapur,19,Abdul Wahab,IND,440,2012,202301,0.22
18,Barhapur,19,Chaman,ARVP,438,2012,202301,0.22
18,Barhapur,19,Rajaram,JD(U),438,2012,202301,0.22
20,Barhapur,19,Devwati,VAJP,397,2012,202301,0.2
21,Barhapur,19,Karan Singh Saini,JSP,376,2012,202301,0.19
22,Barhapur,19,Vigyan Prakash,RANP,339,2012,202301,0.17
23,Barhapur,19,Khushal,IND,319,2012,202301,0.16
24,Barhapur,19,Gaurav Pratap Singh,IND,220,2012,202301,0.11
1,Dhampur,20,Th. Mool Chand Chauhan,SP,53365,2012,161124,33.12
2,Dhampur,20,Ashok Kumar Rana,BSP,52801,2012,161124,32.77
3,Dhampur,20,Anwar Jamil,INC,36995,2012,161124,22.96
4,Dhampur,20,Rajendra Singh,BJP,9962,2012,161124,6.18
5,Dhampur,20,Bhupendra Kumar,PECP,1841,2012,161124,1.14
6,Dhampur,20,Sarwar Naginwi,ANC,1064,2012,161124,0.66
7,Dhampur,20,Haseeb Ahmad,AIMF,916,2012,161124,0.57
8,Dhampur,20,Suresh Kumar,RMD,804,2012,161124,0.5
9,Dhampur,20,Shokin Singh,IJP,642,2012,161124,0.4
10,Dhampur,20,Rais Ahmad,LJP,509,2012,161124,0.32
11,Dhampur,20,Abdul Khalique,SDPI,425,2012,161124,0.26
12,Dhampur,20,Naresh Kumar,LD,349,2012,161124,0.22
13,Dhampur,20,Kahkashan Parveen,AITC,340,2012,161124,0.21
14,Dhampur,20,Badshah,NLP,305,2012,161124,0.19
15,Dhampur,20,Naubahar Singh,RLNP,271,2012,161124,0.17
16,Dhampur,20,Zareena Begum,RLM,238,2012,161124,0.15
17,Dhampur,20,Jahan Aara,SSD,150,2012,161124,0.09
18,Dhampur,20,Arun Kumar,JD(U),147,2012,161124,0.09
1,Nehtaur,21,Om Kumar,BSP,51389,2012,164385,31.26
2,Nehtaur,21,Raj Kumar,SP,31991,2012,164385,19.46
3,Nehtaur,21,Munshi Ram,RLD,27397,2012,164385,16.67
4,Nehtaur,21,Subhash Chand Balmiki,BJP,20872,2012,164385,12.7
5,Nehtaur,21,Sarika,IJP,18066,2012,164385,10.99
6,Nehtaur,21,Shobha Rani,MD,9580,2012,164385,5.83
7,Nehtaur,21,Dhan Pal Singh,MUL,2356,2012,164385,1.43
8,Nehtaur,21,Satyapalsingh,RMD,1215,2012,164385,0.74
9,Nehtaur,21,Kurey Singh,AITC,645,2012,164385,0.39
10,Nehtaur,21,Mahesh Kumar,RLNP,551,2012,164385,0.34
11,Nehtaur,21,Asha Devi,RLM,323,2012,164385,0.2
1,Bijnor,22,Kunvar Bharatendra,BJP,68969,2012,209385,32.94
2,Bijnor,22,Mahboob,BSP,51133,2012,209385,24.42
3,Bijnor,22,Shahnawaz Rana,RLD,47462,2012,209385,22.67
4,Bijnor,22,Ruchi Vira,SP,25173,2012,209385,12.02
5,Bijnor,22,Bala,MD,4673,2012,209385,2.23
6,Bijnor,22,Virendra Kumar,IND,1629,2012,209385,0.78
7,Bijnor,22,Kamal,IND,1425,2012,209385,0.68
8,Bijnor,22,Shehzad Ali,IND,1178,2012,209385,0.56
9,Bijnor,22,Krishan Kumar,IND,959,2012,209385,0.46
10,Bijnor,22,Surendara Singh,IJP,842,2012,209385,0.4
11,Bijnor,22,Anwar Babu,AITC,825,2012,209385,0.39
12,Bijnor,22,Dharmendra Singh,IND,682,2012,209385,0.33
13,Bijnor,22,Chatenram,IND,678,2012,209385,0.32
14,Bijnor,22,Hukam Singh,IND,555,2012,209385,0.27
15,Bijnor,22,Mehfooz,RLM,493,2012,209385,0.24
16,Bijnor,22,Totaram,PHSP,363,2012,209385,0.17
17,Bijnor,22,Nasir,RLNP,362,2012,209385,0.17
18,Bijnor,22,Mehendra,IND,352,2012,209385,0.17
19,Bijnor,22,Anil,VAJP,323,2012,209385,0.15
20,Bijnor,22,Ghanshyam,JAKP,313,2012,209385,0.15
21,Bijnor,22,Fakhruddin,SSD,299,2012,209385,0.14
22,Bijnor,22,Zakir Ali Rana,IND,260,2012,209385,0.12
23,Bijnor,22,Kamar Haidar,ARVP,249,2012,209385,0.12
24,Bijnor,22,Netram,BSKP,188,2012,209385,0.09
1,Chandpur,23,Iqbal,BSP,54941,2012,188165,29.2
2,Chandpur,23,Shairbaz Khan,SP,39928,2012,188165,21.22
3,Chandpur,23,Kavita Singh,BJP,36941,2012,188165,19.63
4,Chandpur,23,Arvind Kumar,MD,31495,2012,188165,16.74
5,Chandpur,23,Swami Omvesh,RLD,16016,2012,188165,8.51
6,Chandpur,23,Surendra Singh,PECP,2078,2012,188165,1.1
7,Chandpur,23,Shahid Hussain Ansari,IND,2077,2012,188165,1.1
8,Chandpur,23,Satya Pal,RMD,1121,2012,188165,0.6
9,Chandpur,23,Mohd Farooq,AITC,1046,2012,188165,0.56
10,Chandpur,23,Lokendra,RPI(A),965,2012,188165,0.51
11,Chandpur,23,A. Kalam,MKUP,496,2012,188165,0.26
12,Chandpur,23,Shabana Parveen,IND,492,2012,188165,0.26
13,Chandpur,23,Rajpal Singh,RLM,356,2012,188165,0.19
14,Chandpur,23,Dinesh,RANP,213,2012,188165,0.11
1,Noorpur,24,Lokendra Singh,BJP,47566,2012,176579,26.94
2,Noorpur,24,Mohd.Usmaan,BSP,42093,2012,176579,23.84
3,Noorpur,24,Qutbuddin,SP,34798,2012,176579,19.71
4,Noorpur,24,Gohar Iqbal,MD,32141,2012,176579,18.2
5,Noorpur,24,Yashpal Singh,RLD,10571,2012,176579,5.99
6,Noorpur,24,Nipender,RMD,3179,2012,176579,1.8
7,Noorpur,24,Pritam Singh,LD,1888,2012,176579,1.07
8,Noorpur,24,Siyad Ali,ARVP,1661,2012,176579,0.94
9,Noorpur,24,Zaheer Ahamad,RPD,832,2012,176579,0.47
10,Noorpur,24,Afjaal,RLM,788,2012,176579,0.45
11,Noorpur,24,Dharmendra,RLNP,561,2012,176579,0.32
12,Noorpur,24,Napndra,RANP,501,2012,176579,0.28
